"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"H7C1B","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","55bfa58afdf99b339da508c2","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"Nothing I can think of. ",59,"United States","English","Associates Degree","Humanities","Female","no","chrome",1920,969,"Windows 10","2022-08-26T04:03:42.687Z","success","summer22",3.5,0,16.39245
"CT1PY","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","62d59ab6f7d966eece474824","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"",19,"United States","English","Secondary School/Highschool","Natural Sciences","Female","","chrome",1440,821,"Mac OS","2022-07-20T06:18:17.696Z","success","summer22",2,7,8.6733
"XZ8SA","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","5b5c8d4e10aec90001ed4bee","prolific","asynch","TRUE","I tried my best on each question",3,5,3,"",23,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Female","","chrome",1920,929,"Windows 10","2022-08-26T19:24:44.175Z","success","summer22",3,12,13.8541666666667
"3N2D2","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","62373694c3277138c1284e44","prolific","asynch","TRUE","I tried my best on each question",3,5,5,"Nice study",43,"USA","English","Graduate Degree","Math or Computer Sciences","Male","No","chrome",1517,694,"Windows 10","2022-08-26T03:37:16.740Z","success","summer22",1,3,15.9865166666667
"US0G1","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","612f9ab8267718084ed741f5","prolific","asynch","TRUE","I tried my best on each question",3,5,3,"",50,"United States","English","Secondary School/Highschool","Humanities","Female","","chrome",1920,1049,"Windows 10","2022-08-25T15:17:57.148Z","success","summer22",2,11,15.6882333333333
"YZN1M","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","5e433ee571d7421d7e44d259","prolific","asynch","TRUE","I tried my best on each question",3,4,3,"",27,"US","English","Graduate Degree","Biomedical & Health Sciences","Female","no","chrome",1920,969,"Windows 10","2022-07-20T20:00:50.554Z","success","summer22",1,11,7.18823333333333
"WMGCF","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","62fdcda607c1d770ba1c6da8","prolific","asynch","TRUE","I tried my best on each question",2,5,2,"I was unable to click on any response in the right hand column of answers, the first and third question should have been answered ""F"", the 4th, ""O"", and the one asking about starting at 12 is L. I am using Chrome browser, fullscreen (as required), Windows 10 home, 4k monitor (1 of dual 4k monitors).",37,"USA","English","Graduate Degree","Fine Arts","Male","N/A","chrome",1459,791,"Windows 10","2022-08-27T02:24:38.872Z","success","summer22",1,8,10.7980166666667
"CQD99","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","61036710e1eb1d931b7a34a6","prolific","asynch","TRUE","I tried my best on most questions",4,4,5,"I thought it was interesting and a fun way to test graphic reading skills.",20,"us","English","some college","Math or Computer Sciences","Female","no","chrome",1200,691,"Mac OS","2022-08-26T04:01:34.373Z","success","summer22",1,1,7.22695
"S0VP4","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","62f5cd47d89022b1e35f514a","prolific","asynch","TRUE","I tried my best on most questions",3,4,3,"I'm puzzled by the possibility that someone who writes schedules wouldn't simply write the start and end times next to each shift, keeping the identifying shift letters in alphabetical order.",51,"United States","English","Bachelors Degree","Biomedical & Health Sciences","Male","No.","chrome",1893,894,"Mac OS","2022-08-27T02:23:14.558Z","success","summer22",1,0,22.9381166666667
"8KUFV","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","62a0f65404d6ac8611d67c12","prolific","asynch","TRUE","I tried my best on each question",3,4,5,"",45,"USA","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","","chrome",1536,722,"Windows 10","2022-08-25T15:50:45.945Z","success","summer22",1,10,8.86205
