"subject","mode","pretty_condition","question","score"
"2LJXR","asynch","cross",11,-7
"2LJXR","asynch","cross",12,-8
"2LJXR","asynch","cross",13,-9
"48TKQ","asynch","cross",1,-1
"48TKQ","asynch","cross",2,-2
"48TKQ","asynch","cross",3,-2.5
"48TKQ","asynch","cross",4,-3
"48TKQ","asynch","cross",5,-2
"48TKQ","asynch","cross",6,-3
"48TKQ","asynch","cross",7,-2
"48TKQ","asynch","cross",8,-2.5
"48TKQ","asynch","cross",9,-3.5
"48TKQ","asynch","cross",10,-4.5
"48TKQ","asynch","cross",11,-5
"48TKQ","asynch","cross",12,-6
"48TKQ","asynch","cross",13,-6.5
"Q1O31","asynch","cross",1,-1
"Q1O31","asynch","cross",2,-2
"Q1O31","asynch","cross",3,-2.5
"Q1O31","asynch","cross",4,-3
"Q1O31","asynch","cross",5,-2
"Q1O31","asynch","cross",6,-3
"Q1O31","asynch","cross",7,-4
"Q1O31","asynch","cross",8,-5
"Q1O31","asynch","cross",9,-6
"Q1O31","asynch","cross",10,-7
"Q1O31","asynch","cross",11,-8
"Q1O31","asynch","cross",12,-9
"Q1O31","asynch","cross",13,-8
"LHSML","asynch","arrow",1,-1
"LHSML","asynch","arrow",2,-2
"LHSML","asynch","arrow",3,-3
"LHSML","asynch","arrow",4,-3.5
"LHSML","asynch","arrow",5,-2.5
"LHSML","asynch","arrow",6,-3.5
"LHSML","asynch","arrow",7,-4.5
"LHSML","asynch","arrow",8,-5.5
"LHSML","asynch","arrow",9,-6.5
"LHSML","asynch","arrow",10,-7.5
"LHSML","asynch","arrow",11,-8.5
"LHSML","asynch","arrow",12,-9.5
"LHSML","asynch","arrow",13,-10.5
"ZA61G","asynch","arrow",1,-1
"ZA61G","asynch","arrow",2,-2
"ZA61G","asynch","arrow",3,-3
"ZA61G","asynch","arrow",4,-4
"ZA61G","asynch","arrow",5,-4.5
"ZA61G","asynch","arrow",6,-5.5
"ZA61G","asynch","arrow",7,-6.5
"ZA61G","asynch","arrow",8,-6
"ZA61G","asynch","arrow",9,-7
"ZA61G","asynch","arrow",10,-8
"ZA61G","asynch","arrow",11,-8.5
"ZA61G","asynch","arrow",12,-9
"ZA61G","asynch","arrow",13,-10
"2ANWJ","asynch","arrow",1,1
"2ANWJ","asynch","arrow",2,2
"2ANWJ","asynch","arrow",3,3
"2ANWJ","asynch","arrow",4,4
"2ANWJ","asynch","arrow",5,5
"2ANWJ","asynch","arrow",6,6
"2ANWJ","asynch","arrow",7,7
"2ANWJ","asynch","arrow",8,8
"2ANWJ","asynch","arrow",9,9
"2ANWJ","asynch","arrow",10,10
"2ANWJ","asynch","arrow",11,11
"2ANWJ","asynch","arrow",12,12
"2ANWJ","asynch","arrow",13,13
"NQOP0","asynch","arrow",1,-1
"NQOP0","asynch","arrow",2,-1
"NQOP0","asynch","arrow",3,-2
"NQOP0","asynch","arrow",4,-3
"NQOP0","asynch","arrow",5,-2
"NQOP0","asynch","arrow",6,-3
"NQOP0","asynch","arrow",7,-4
"NQOP0","asynch","arrow",8,-5
"NQOP0","asynch","arrow",9,-6
"NQOP0","asynch","arrow",10,-7
"NQOP0","asynch","arrow",11,-8
"NQOP0","asynch","arrow",12,-9
"NQOP0","asynch","arrow",13,-10
"OYBTD","asynch","arrow",1,1
"OYBTD","asynch","arrow",2,2
"OYBTD","asynch","arrow",3,3
"OYBTD","asynch","arrow",4,4
"OYBTD","asynch","arrow",5,5
"OYBTD","asynch","arrow",6,6
"OYBTD","asynch","arrow",7,7
"OYBTD","asynch","arrow",8,8
"OYBTD","asynch","arrow",9,9
"OYBTD","asynch","arrow",10,10
"OYBTD","asynch","arrow",11,11
"OYBTD","asynch","arrow",12,12
"OYBTD","asynch","arrow",13,13
"PN0SV","asynch","arrow",1,-1
"PN0SV","asynch","arrow",2,-2
"PN0SV","asynch","arrow",3,-3
"PN0SV","asynch","arrow",4,-4
"PN0SV","asynch","arrow",5,-5
"PN0SV","asynch","arrow",6,-6
