"subject","mode","pretty_condition","question","score"
"48TKQ","asynch","cross",11,1
"48TKQ","asynch","cross",12,1
"48TKQ","asynch","cross",13,1
"Q1O31","asynch","cross",1,0
"Q1O31","asynch","cross",2,0
"Q1O31","asynch","cross",3,0
"Q1O31","asynch","cross",4,0
"Q1O31","asynch","cross",5,1
"Q1O31","asynch","cross",6,1
"Q1O31","asynch","cross",7,1
"Q1O31","asynch","cross",8,1
"Q1O31","asynch","cross",9,1
"Q1O31","asynch","cross",10,1
"Q1O31","asynch","cross",11,1
"Q1O31","asynch","cross",12,1
"Q1O31","asynch","cross",13,1
"LHSML","asynch","arrow",1,0
"LHSML","asynch","arrow",2,0
"LHSML","asynch","arrow",3,0
"LHSML","asynch","arrow",4,0
"LHSML","asynch","arrow",5,1
"LHSML","asynch","arrow",6,1
"LHSML","asynch","arrow",7,1
"LHSML","asynch","arrow",8,1
"LHSML","asynch","arrow",9,1
"LHSML","asynch","arrow",10,1
"LHSML","asynch","arrow",11,1
"LHSML","asynch","arrow",12,1
"LHSML","asynch","arrow",13,1
"ZA61G","asynch","arrow",1,0
"ZA61G","asynch","arrow",2,0
"ZA61G","asynch","arrow",3,0
"ZA61G","asynch","arrow",4,0
"ZA61G","asynch","arrow",5,0
"ZA61G","asynch","arrow",6,0
"ZA61G","asynch","arrow",7,0
"ZA61G","asynch","arrow",8,0
"ZA61G","asynch","arrow",9,0
"ZA61G","asynch","arrow",10,0
"ZA61G","asynch","arrow",11,0
"ZA61G","asynch","arrow",12,0
"ZA61G","asynch","arrow",13,0
"2ANWJ","asynch","arrow",1,1
"2ANWJ","asynch","arrow",2,2
"2ANWJ","asynch","arrow",3,3
"2ANWJ","asynch","arrow",4,4
"2ANWJ","asynch","arrow",5,5
"2ANWJ","asynch","arrow",6,6
"2ANWJ","asynch","arrow",7,6
"2ANWJ","asynch","arrow",8,7
"2ANWJ","asynch","arrow",9,8
"2ANWJ","asynch","arrow",10,9
"2ANWJ","asynch","arrow",11,10
"2ANWJ","asynch","arrow",12,11
"2ANWJ","asynch","arrow",13,12
"NQOP0","asynch","arrow",1,0
"NQOP0","asynch","arrow",2,0
"NQOP0","asynch","arrow",3,0
"NQOP0","asynch","arrow",4,0
