"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"FBPNS","xray","spring18","311",4,9,13,1,1,2,"3","1","Orthogonal-XInside-YFull",469299,790879,158464,310835,1,"Other","Third","Social Sciences (incl. CogSci)","RUSSIA","Female",26
"13RHM","yankee","spring18","311",5,8,13,0,1,1,"3","1","Orthogonal-XInside-YFull",571744,1000024,155453,416291,1,"English","First","Social Sciences (incl. CogSci)","JAPAN","Female",19
"GQ35Z","charlie","spring18","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",528083,760792,162584,365499,1,"Other","First","Social Sciences (incl. CogSci)","Israel","Male",19
"PQN6T","thine","spring18","111",1,1,2,2,4,6,"1","1","full",327184,424958,74110,253074,1,"English","Third","Biomedical & Health Sciences","India","Female",20
"67NP2","golf","spring18","121",4,3,7,0,7,7,"1","2","Orthogonal-XInside-YFull",719292,847520,281681,437611,1,"English","Third","Math or Computer Sciences","India","Male",20
"AV66J","zulu","spring18","211",5,9,14,0,2,2,"2","1","Orthogonal-XInside-YFull",728879,1207898,205649,523230,1,"English","First","Natural Sciences","United States","Male",19
"BK993","yankee","spring18","311",5,10,15,0,2,2,"3","1","Orthogonal-XInside-YFull",311744,416846,119231,192513,1,"English","First","Social Sciences (incl. CogSci)","USA","Male",18
"CKDM5","yankee","spring18","311",5,9,14,0,2,2,"3","1","Orthogonal-XInside-YFull",477560,1005428,156666,320894,1,"English","First","Engineering","United States","Male",18
"781AU","alpha","spring18","111",0,2,2,3,7,10,"1","1","Orthogonal-XInside-YFull",706776,991689,312613,394163,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"MCVE6","yankee","spring18","311",2,8,10,2,2,4,"3","1","Orthogonal-XInside-YFull",313039,561422,109001,204038,1,"English","Fourth","Social Sciences (incl. CogSci)","U.S","Female",21
"BKTUJ","heaven","spring18","111",0,2,2,5,9,14,"1","1","full",722877,844727,375530,347347,1,"English","Third","Biomedical & Health Sciences","USA","Female",20
"F9531","xray","spring18","311",5,10,15,0,2,2,"3","1","Orthogonal-XInside-YFull",556836,845510,187661,369175,1,"English","Second","Natural Sciences","USA","Male",20
"QGQ61","echo","spring18","121",5,9,14,0,2,2,"1","2","Orthogonal-XInside-YFull",337569,989894,124213,213356,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"TVQKD","sox","spring18","121",1,7,8,0,1,1,"1","2","full",645007,800518,299796,345211,1,"English","Fourth","Social Sciences (incl. CogSci)","usa","Female",21
"QY1F7","sox","spring18","121",3,3,6,0,4,4,"1","2","full",485595,624486,148815,336780,1,"Other","Second","Humanities","U.S.","Female",20
"41Y1H","xray","spring18","311",1,2,3,2,8,10,"3","1","Orthogonal-XInside-YFull",580577,771143,165336,415241,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","USA","Female",20
"YE3VQ","bravo","spring18","121",1,3,4,0,3,3,"1","2","Orthogonal-XInside-YFull",478185,631069,159801,318384,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","China","Female",21
