"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","totaltime_m","pretty_condition"
"4MS2Q","SGC4B","1112","wi22sona","2218","39766","sona","asynch","TRUE","I tried my best on each question",1,5,5,"",12,"United States","English","Second","Social Sciences (incl. CogSci)","Male","No.","chrome",1591,1034,"Mac OS","2022-03-09T19:05:28.763Z","success","winter22",1,6.75403333333333,"arrow"
"0XMTM","SGC4B","1112","wi22sona","2217","41108","sona","asynch","TRUE","I tried my best on each question",4,4,3,"interesting graph",20,"Hong Kong","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1536,754,"Windows 10","2022-03-05T22:36:36.246Z","success","winter22",1,7.52743333333333,"arrow"
"OR6SC","SGC4B","1112","wi22sona","2218","38535","sona","asynch","TRUE","I tried my best on each question",5,2,1,"I hate the triangular structure, it is so hard to tell from a glance how shifts interact with others.",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1536,792,"Windows 10","2022-03-09T19:17:22.289Z","success","winter22",1,8.08048333333333,"arrow"
"0UMRY","SGC4B","1113","wi22sona","2217","38533","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",19,"United States","Mandarin","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1429,720,"Mac OS","2022-03-04T21:16:49.377Z","success","winter22",1,8.54048333333333,"cross"
"6MML6","SGC4B","1112","wi22sona","2218","33325","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,979,"Windows 10","2022-03-09T19:22:30.383Z","success","winter22",1,6.58841666666667,"arrow"
"GSWTD","SGC4B","1113","wi22sona","2217","37087","sona","asynch","TRUE","I tried my best on most questions",3,2,4,"I think an answer choice ""none of the above"" would make the experience a little bit less stressful because I did not know if I had to choose an answer to move on to the next question, but I ended up finding out that I did not have to select an answer since for some of the questions I think the answer was ""none of the above"".",19,"United States","English","Second","Natural Sciences","Male","I do not have any impairments or disabilities.","chrome",1536,714,"Windows 10","2022-03-04T09:03:15.527Z","success","winter22",3,19.0165833333333,"cross"
"OYBTD","SGC4B","1112","wi22sona","2218","31149","sona","asynch","TRUE","I tried my best on each question",2,5,3,"",23,"China","Mandarin","Fourth","Math or Computer Sciences","Male","","chrome",1440,730,"Mac OS","2022-03-09T15:10:50.313Z","success","winter22",1,6.94423333333333,"arrow"
"FR51H","SGC4B","1113","wi22sona","2217","27576","sona","asynch","TRUE","I tried my best on each question",3,2,4,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1504,860,"Windows 10","2022-03-06T00:19:24.183Z","success","winter22",2,15.7055333333333,"cross"
"4KY4F","SGC4B","1113","wi22sona","2217","40969","sona","asynch","TRUE","I tried my best on each question",3,4,5,"",19,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-06T02:22:04.980Z","success","winter22",1,10.3194833333333,"cross"
"GLOTN","SGC4B","1112","wi22sona","2217","40654","sona","asynch","TRUE","I tried my best on each question",4,3,3,"",20,"United States of America","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1397,726,"Mac OS","2022-03-04T03:19:47.772Z","success","winter22",1,3.98701666666667,"arrow"
"LHSML","SGC4B","1112","wi22sona","2218","41426","sona","asynch","TRUE","I tried my best on each question",4,4,3,"",19,"United States","English","First","Social Sciences (incl. CogSci)","Male","","chrome",1536,760,"Windows 10","2022-03-09T12:34:48.488Z","success","winter22",1,7.71673333333333,"arrow"
"THE8C","SGC4B","1112","wi22sona","2218","40429","sona","asynch","TRUE","I tried my best on most questions",4,3,4,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","Major Depressive Disorder","chrome",1536,700,"Windows 10","2022-03-09T20:46:16.968Z","success","winter22",1,6.91985,"arrow"
"AHV3D","SGC4B","1112","wi22sona","2218","38500","sona","asynch","TRUE","I tried my best on each question",4,3,3,"",21,"USA","Spanish","Third","Biomedical & Health Sciences","Female","","chrome",1276,680,"Mac OS","2022-03-09T17:18:52.421Z","success","winter22",2,8.21998333333333,"arrow"
"PV5ZW","SGC4B","1112","wi22sona","2217","38407","sona","asynch","TRUE","I tried my best on each question",2,5,2,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-05T04:03:58.488Z","success","winter22",1,7.74288333333333,"arrow"
"OVSVB","SGC4B","1112","wi22sona","2217","38295","sona","asynch","TRUE","I tried my best on each question",4,3,5,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1366,768,"Windows 10","2022-03-06T07:18:45.227Z","success","winter22",1,6.99953333333333,"arrow"
"K2NYT","SGC4B","1113","wi22sona","2218","37600","sona","asynch","TRUE","I tried my best on each question",4,2,1,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T10:56:15.371Z","success","winter22",1,15.4771833333333,"cross"
"48TKQ","SGC4B","1113","wi22sona","2218","42863","sona","asynch","TRUE","I tried my best on most questions",1,4,3,"",20,"USA","X-Other","Second","Biomedical & Health Sciences","Female","","chrome",1680,939,"Mac OS","2022-03-09T12:51:12.744Z","success","winter22",1,4.78081666666667,"cross"
"JZPOR","SGC4B","1113","wi22sona","2217","36441","sona","asynch","TRUE","I tried my best on each question",5,1,2,"",23,"United States","English","Fifth","Social Sciences (incl. CogSci)","Female","ADHD and learning disabilities in math and spelling.","chrome",1367,715,"Mac OS","2022-03-03T21:55:26.536Z","success","winter22",1,12.2623166666667,"cross"
"88UNV","SGC4B","1113","wi22sona","2218","39846","sona","asynch","TRUE","I tried my best on most questions",4,3,4,"",22,"United States","Spanish","Fourth","Biomedical & Health Sciences","Female","","chrome",1512,866,"Mac OS","2022-03-09T15:53:24.394Z","success","winter22",1,19.17635,"cross"
"2ANWJ","SGC4B","1112","wi22sona","2218","43331","sona","asynch","TRUE","I tried my best on each question",2,4,1,"N/A",18,"United States","English","First","Social Sciences (incl. CogSci)","Male","no","chrome",1707,948,"Windows 10","2022-03-09T11:57:13.743Z","success","winter22",1,13.8635666666667,"arrow"
"FCZJV","SGC4B","1112","wi22sona","2218","38703","sona","asynch","TRUE","I tried my best on each question",2,1,5,"I think it would be easier to read the x-axis if the hours had thicker tick marks and the half-hour points had thinner ones.",21,"United States","Cantonese","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,763,"Windows 10","2022-03-09T10:39:22.227Z","success","winter22",1,22.52405,"arrow"
"U82D6","SGC4B","1112","wi22sona","2218","43277","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"Not sure.",19,"United States","Arabic","Second","Social Sciences (incl. CogSci)","Male","No.","chrome",1440,789,"Mac OS","2022-03-09T21:01:53.877Z","success","winter22",1,14.2770833333333,"arrow"
"F62AO","SGC4B","1112","wi22sona","2217","36387","sona","asynch","TRUE","I tried my best on each question",4,5,4,"It was a little bit difficult calculating the breaks that were at the same time.",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","No.","chrome",1920,969,"Windows 10","2022-03-05T20:29:56.607Z","success","winter22",1,8.22678333333333,"arrow"
"Q12RB","SGC4B","1113","wi22sona","2217","34276","sona","asynch","TRUE","I tried my best on each question",5,2,4,"",20,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1403,766,"Mac OS","2022-03-05T01:59:21.594Z","success","winter22",1,8.7271,"cross"
"NQOP0","SGC4B","1112","wi22sona","2218","42551","sona","asynch","TRUE","I tried my best on each question",1,5,5,"",21,"Japan","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1504,860,"Windows 10","2022-03-09T13:12:52.462Z","success","winter22",1,14.1155666666667,"arrow"
"EMEDX","SGC4B","1112","wi22sona","2218","43242","sona","asynch","TRUE","I tried my best on each question",4,4,2,"Learning how to use the graph was a bit difficult. I think an explanation of how the graph works would be useful.",18,"United States of America","English","First","Engineering","Male","no","chrome",1440,821,"Mac OS","2022-03-09T19:19:43.530Z","success","winter22",1,11.674,"arrow"
"O9681","SGC4B","1113","wi22sona","2217","34741","sona","asynch","TRUE","I tried my best on each question",3,3,4,"",21,"United Arab Emirates","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,751,"Mac OS","2022-03-05T06:08:34.640Z","success","winter22",1,9.00441666666667,"cross"
"XMDE7","SGC4B","1112","wi22sona","2218","40332","sona","asynch","TRUE","I tried my best on most questions",4,2,1,"",21,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Male","","chrome",1440,821,"Mac OS","2022-03-09T19:49:28.931Z","success","winter22",1,6.10028333333333,"arrow"
"21N5X","SGC4B","1112","wi22sona","2217","42901","sona","asynch","TRUE","I tried my best on most questions",3,2,2,"",19,"United States","English","Second","Humanities","Female","no","chrome",1366,768,"Windows 10","2022-03-06T02:51:27.581Z","success","winter22",2,30.3286833333333,"arrow"
"JGS6S","SGC4B","1113","wi22sona","2217","32684","sona","asynch","TRUE","I tried my best on each question",4,4,5,"I'm not sure how scoring is counted but on questions where you ask ""which shift lines up with X"" for some shift X, you also allow us to select that shift. I never know whether or not to include the original shift (e.g. X ends at the same time as X). Very interesting quiz!",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1707,888,"Windows 10","2022-03-06T03:10:08.200Z","success","winter22",1,15.0785166666667,"cross"
"O19GK","SGC4B","1112","wi22sona","2217","42262","sona","asynch","TRUE","I tried my best on each question",2,4,1,"",18,"Brazil","X-Other","First","Natural Sciences","Female","","chrome",1280,689,"Mac OS","2022-03-06T19:46:09.770Z","success","winter22",1,7.77191666666667,"arrow"
"BPNLB","SGC4B","1112","wi22sona","2217","35577","sona","asynch","TRUE","I tried my best on each question",3,3,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1368,801,"Windows 10","2022-03-05T23:46:03.018Z","success","winter22",1,11.1624666666667,"arrow"
"7Z166","SGC4B","1112","wi22sona","2217","33935","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-05T21:20:48.876Z","success","winter22",1,15.9624833333333,"arrow"
"O2YJH","SGC4B","1112","wi22sona","2217","37588","sona","asynch","TRUE","I tried my best on each question",3,4,2,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Other-Not Listed","I have ADHD but I had taken medication earlier today","chrome",1536,721,"Windows 10","2022-03-05T05:19:08.681Z","success","winter22",1,11.8353166666667,"arrow"
"HS3VB","SGC4B","1112","wi22sona","2218","42477","sona","asynch","TRUE","I tried my best on each question",3,3,4,"I did not realize how the graph was oriented for time vs duration initially, which made my first answers incorrect. ",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1418,703,"Mac OS","2022-03-09T20:25:33.573Z","success","winter22",3,8.68045,"arrow"
"LJCT0","SGC4B","1112","wi22sona","2218","35394","sona","asynch","TRUE","I tried my best on most questions",2,5,4,"",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,969,"Windows 10","2022-03-09T19:42:10.733Z","success","winter22",3,9.7933,"arrow"
"V2YWG","SGC4B","1113","wi22sona","2217","42891","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",20,"United States","X-Other","Third","Biomedical & Health Sciences","Female","No","chrome",1440,789,"Mac OS","2022-03-03T19:28:49.458Z","success","winter22",2.5,16.8676166666667,"cross"
"7UK5N","SGC4B","1113","wi22sona","2218","39828","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",21,"united states","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1349,689,"Mac OS","2022-03-09T07:39:47.606Z","success","winter22",1,7.69235,"cross"
"6SRFD","SGC4B","1113","wi22sona","2217","31711","sona","asynch","TRUE","I tried my best on each question",4,2,3,"It was a little confusing navigating when shifts started to when they ended",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,789,"Mac OS","2022-03-06T07:26:04.090Z","success","winter22",1,11.1901333333333,"cross"
"4EOL2","SGC4B","1112","wi22sona","2218","43090","sona","asynch","TRUE","I tried my best on each question",3,3,3,"",21,"United States","Cantonese","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,694,"Mac OS","2022-03-09T21:13:16.624Z","success","winter22",1,13.02365,"arrow"
"H9SXZ","SGC4B","1113","wi22sona","2217","10678","sona","asynch","TRUE","I tried my best on most questions",2,4,1,"none",21,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","none","chrome",1440,821,"Mac OS","2022-03-04T09:30:39.502Z","success","winter22",2,13.6140666666667,"cross"
"DB4YJ","SGC4B","1112","wi22sona","2217","30639","sona","asynch","TRUE","I tried my best on each question",4,4,5,"",22,"United States","Cantonese","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",2560,1338,"Mac OS","2022-03-05T00:19:36.782Z","success","winter22",1,11.67635,"arrow"
"RRKFH","SGC4B","1113","wi22sona","2217","42379","sona","asynch","TRUE","I tried my best on most questions",3,2,2,"",19,"USA","English","Second","Social Sciences (incl. CogSci)","Male","No","chrome",1536,754,"Windows 10","2022-03-03T21:39:00.450Z","success","winter22",1,8.52313333333333,"cross"
"OAKMT","SGC4B","1112","wi22sona","2218","42299","sona","asynch","TRUE","I tried my best on each question",2,3,5,"This task was really fun and interesting as I have never tried anything like this before. ",20,"Pakistan","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1600,789,"Windows 7","2022-03-09T19:09:00.463Z","success","winter22",1,12.2326,"arrow"
"F0WGD","SGC4B","1113","wi22sona","2218","36231","sona","asynch","TRUE","I tried my best on each question",2,5,5,"It took me a long time to figure out how to use the chart but after I got the pattern it was easy.",19,"United States of America","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1280,721,"Mac OS","2022-03-09T18:43:44.985Z","success","winter22",1,12.8223,"cross"
"X9V96","SGC4B","1113","wi22sona","2217","36181","sona","asynch","TRUE","I tried my best on each question",4,5,3,"",22,"USA","English","Fourth","Biomedical & Health Sciences","Female","no","chrome",1920,969,"Windows 10","2022-03-06T02:25:39.194Z","success","winter22",1,9.65225,"cross"
"DBWSG","SGC4B","1112","wi22sona","2217","41327","sona","asynch","TRUE","I tried my best on each question",4,3,2,"",18,"US","English","First","Humanities","Female","","chrome",1440,821,"Mac OS","2022-03-06T01:08:11.714Z","success","winter22",1,5.44751666666667,"arrow"
"Y7K5L","SGC4B","1112","wi22sona","2218","43340","sona","asynch","TRUE","I tried my best on most questions",4,2,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-09T20:12:10.537Z","success","winter22",1,10.0055333333333,"arrow"
"ZLES9","SGC4B","1112","wi22sona","2218","41595","sona","asynch","TRUE","I tried my best on most questions",4,2,3,"I thought each shift is 12 hrs, and some questions does not seem quite right. However, I realized like halfway through...",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,969,"Windows 10","2022-03-09T20:42:20.870Z","success","winter22",3,27.4144166666667,"arrow"
"ZR3GD","SGC4B","1112","wi22sona","2218","41458","sona","asynch","TRUE","I tried my best on most questions",3,3,3,"Maybe explain how the graph works/ clarify it ",18,"United States","English","First","Fine Arts","Female","no","chrome",1440,750,"Mac OS","2022-03-09T18:02:35.364Z","success","winter22",1,9.38455,"arrow"
"PDCV3","SGC4B","1113","wi22sona","2217","42296","sona","asynch","TRUE","I tried my best on each question",2,4,5,"",18,"U.S.","Spanish","First","Biomedical & Health Sciences","Female","No.","chrome",1440,821,"Mac OS","2022-03-06T10:17:16.272Z","success","winter22",1,8.27795,"cross"
"OP042","SGC4B","1113","wi22sona","2218","42168","sona","asynch","TRUE","I tried my best on each question",5,1,3,"I don't understand breaks at all.",18,"United States","X-Other","First","Math or Computer Sciences","Male","ADHD","chrome",1440,736,"Mac OS","2022-03-09T10:09:19.069Z","success","winter22",1,6.29858333333333,"cross"
"C5Q1H","SGC4B","1112","wi22sona","2217","43219","sona","asynch","TRUE","I tried my best on most questions",3,3,4,"I accidentally clicked submit thinking I had selected two answers but only selected one, I would definitely encourage participants to review their submission when clicking the submit button to allow for less user error",19,"United States of America","French","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1920,969,"Windows 10","2022-03-05T22:17:28.260Z","success","winter22",1,8.94906666666667,"arrow"
"KT181","SGC4B","1113","wi22sona","2217","38436","sona","asynch","TRUE","I tried my best on each question",4,2,3,"",22,"United States","Spanish","Fourth","Natural Sciences","Female","","chrome",1440,712,"Mac OS","2022-03-05T22:43:14.078Z","success","winter22",1,5.48,"cross"
"9UWCZ","SGC4B","1113","wi22sona","2217","40975","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"",22,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-04T03:48:32.725Z","success","winter22",1,3.26026666666667,"cross"
"VHT5F","SGC4B","1112","wi22sona","2218","42299","sona","asynch","TRUE","I tried my best on each question",2,3,5,"this task was really interesting
",20,"Pakistan","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1600,789,"Windows 7","2022-03-09T19:37:50.382Z","success","winter22",1,6.5871,"arrow"
"AJYVC","SGC4B","1113","wi22sona","2217","41586","sona","asynch","TRUE","I tried my best on each question",3,3,1,"",21,"US","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1536,754,"Windows 10","2022-03-05T21:15:21.384Z","success","winter22",1,10.0278166666667,"cross"
"XEUT2","SGC4B","1113","wi22sona","2217","42728","sona","asynch","TRUE","I tried my best on most questions",4,2,4,"",18,"United States","English","First","Math or Computer Sciences","Male","","chrome",1920,969,"Windows 10","2022-03-04T04:29:22.596Z","success","winter22",3,16.8146166666667,"cross"
"R7C8N","SGC4B","1112","wi22sona","2217","42032","sona","asynch","TRUE","I tried my best on each question",4,4,4,"N/A",19,"United States","English","Second","Biomedical & Health Sciences","Female","No","chrome",1440,764,"Mac OS","2022-03-06T00:36:31.659Z","success","winter22",1,7.39346666666667,"arrow"
"NCUFD","SGC4B","1112","wi22sona","2218","38551","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-09T18:10:51.877Z","success","winter22",2,17.30185,"arrow"
"ZGUR4","SGC4B","1113","wi22sona","2218","37400","sona","asynch","TRUE","I tried my best on each question",3,5,4,"I am interested to know what you are testing!",22,"USA","English","Fifth","Social Sciences (incl. CogSci)","Male","No","chrome",1536,708,"Windows 10","2022-03-09T18:41:22.204Z","success","winter22",1,11.5258,"cross"
"AJVDQ","SGC4B","1112","wi22sona","2217","36174","sona","asynch","TRUE","I tried my best on each question",2,4,4,"n/a",22,"US","X-Other","Fourth","Social Sciences (incl. CogSci)","Female","No.","chrome",1440,713,"Mac OS","2022-03-05T22:16:37.570Z","success","winter22",2,11.2696666666667,"arrow"
"XUNLH","SGC4B","1112","wi22sona","2217","43141","sona","asynch","TRUE","I tried my best on each question",3,4,4,"",19,"United States","English","Second","Math or Computer Sciences","Male","","chrome",2048,1042,"Windows 10","2022-03-05T23:00:39.545Z","success","winter22",2,6.84591666666667,"arrow"
"U9OS0","SGC4B","1112","wi22sona","2217","42935","sona","asynch","TRUE","I tried my best on most questions",2,4,1,"",21,"Japan","X-Other","Third","Humanities","Male","I'm not good at reading English well.","chrome",1280,735,"Windows 10","2022-03-06T05:03:17.776Z","success","winter22",2,11.4103,"arrow"
"2587H","SGC4B","1113","wi22sona","2217","39663","sona","asynch","TRUE","I tried my best on most questions",2,2,4,"",21,"United States","Spanish","Fourth","Biomedical & Health Sciences","Female","No","chrome",1440,841,"Windows 10","2022-03-05T22:58:47.282Z","success","winter22",1.5,6.22666666666667,"cross"
"Q6N18","SGC4B","1113","wi22sona","2217","32872","sona","asynch","TRUE","I tried my best on most questions",4,4,3,"",20,"US","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1278,703,"Mac OS","2022-03-03T21:21:49.344Z","success","winter22",1,10.034,"cross"
"TTK8X","SGC4B","1113","wi22sona","2217","38715","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"",19,"United States","Korean","Second","Social Sciences (incl. CogSci)","Female","No.","chrome",1280,689,"Windows 10","2022-03-06T05:48:12.870Z","success","winter22",1,7.49118333333333,"cross"
"2LJXR","SGC4B","1113","wi22sona","2218","43330","sona","asynch","TRUE","I tried my best on each question",4,3,2,"",24,"U.S.A","Korean","Third","Humanities","Female","No","chrome",1440,693,"Mac OS","2022-03-09T11:20:41.901Z","success","winter22",1,8.69521666666667,"cross"
"DAA74","SGC4B","1113","wi22sona","2217","33081","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-06T07:35:25.654Z","success","winter22",1,9.55158333333333,"cross"
"BW93M","SGC4B","1112","wi22sona","2217","41492","sona","asynch","TRUE","I tried my best on most questions",4,3,1,"",21,"Unites States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,742,"Mac OS","2022-03-06T19:58:26.594Z","success","winter22",1,6.66731666666667,"arrow"
"HBEJC","SGC4B","1112","wi22sona","2217","41370","sona","asynch","TRUE","I tried my best on each question",2,3,5,"",18,"United States","English","First","Biomedical & Health Sciences","Female","","chrome",1440,701,"Mac OS","2022-03-05T23:50:37.338Z","success","winter22",1,10.9417,"arrow"
"W9B36","SGC4B","1112","wi22sona","2217","37977","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",23,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,732,"Mac OS","2022-03-06T05:40:05.038Z","success","winter22",1,6.17246666666667,"arrow"
"4UK5M","SGC4B","1113","wi22sona","2217","30371","sona","asynch","TRUE","I tried my best on most questions",2,4,3,"",21,"China","Mandarin","Fourth","Engineering","Male","No","chrome",1920,937,"Windows 10","2022-03-05T05:33:07.931Z","success","winter22",1,9.02966666666667,"cross"
"ZG3VV","SGC4B","1112","wi22sona","2218","35231","sona","asynch","TRUE","I tried my best on each question",2,5,4,"",23,"USA","X-Other","Fifth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-09T07:16:28.799Z","success","winter22",1,20.3390333333333,"arrow"
"TGCCQ","SGC4B","1113","wi22sona","2217","33694","sona","asynch","TRUE","I tried my best on each question",3,3,4,"Slightly confusing graph ",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,766,"Mac OS","2022-03-04T01:39:26.333Z","success","winter22",3,19.52305,"cross"
"HJ73Z","SGC4B","1112","wi22sona","2218","42165","sona","asynch","TRUE","I tried my best on most questions",2,3,3,"",19,"United States","English","Second","Biomedical & Health Sciences","Male","","chrome",1920,947,"Windows 10","2022-03-09T21:12:48.723Z","success","winter22",1.5,7.63673333333333,"arrow"
"MTTJL","SGC4B","1113","wi22sona","2217","36289","sona","asynch","TRUE","I tried my best on each question",3,4,2,"",21,"China","Mandarin","Second","Math or Computer Sciences","Male","","chrome",1368,769,"Windows 10","2022-03-04T05:01:47.032Z","success","winter22",1,5.63921666666667,"cross"
"HECHY","SGC4B","1113","wi22sona","2217","43202","sona","asynch","TRUE","I tried my best on each question",4,4,1,"I considered skipping the harder questions after I felt like it was taking too much time and I was getting bored, but I didn't. ",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",1536,721,"Windows 10","2022-03-05T00:05:28.906Z","success","winter22",2,15.1934666666667,"cross"
"Y5UVE","SGC4B","1112","wi22sona","2217","40949","sona","asynch","TRUE","I tried my best on each question",3,3,2,"",20,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1440,821,"Mac OS","2022-03-05T23:14:40.981Z","success","winter22",1,10.5447333333333,"arrow"
"YO7KR","SGC4B","1113","wi22sona","2218","42953","sona","asynch","TRUE","I tried my best on most questions",5,3,2,"",19,"United States","English","First","Biomedical & Health Sciences","Female","n/a","chrome",1439,764,"Mac OS","2022-03-09T07:41:31.701Z","success","winter22",1,12.8002166666667,"cross"
"N4119","SGC4B","1113","wi22sona","2218","37515","sona","asynch","TRUE","I tried my best on each question",3,2,3,"",20,"USA","English","Third","Natural Sciences","Female","","chrome",1422,684,"Windows 10","2022-03-09T08:04:46.178Z","success","winter22",1,6.88711666666667,"cross"
"Q1O31","SGC4B","1113","wi22sona","2218","39299","sona","asynch","TRUE","I tried my best on most questions",2,5,5,"",23,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1481,904,"Mac OS","2022-03-09T11:42:32.560Z","success","winter22",1,6.08575,"cross"
"MTVVC","SGC4B","1113","wi22sona","2217","36475","sona","asynch","TRUE","I tried my best on each question",3,3,3,"",24,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1600,789,"Windows 10","2022-03-05T18:56:42.101Z","success","winter22",1,15.6535333333333,"cross"
"42N56","SGC4B","1112","wi22sona","2218","40265","sona","asynch","TRUE","I tried my best on each question",3,5,4,"",22,"USA","English","Third","Biomedical & Health Sciences","Male","no","chrome",1920,1001,"Mac OS","2022-03-09T19:26:33.815Z","success","winter22",1,7.37378333333333,"arrow"
"D18Z4","SGC4B","1112","wi22sona","2218","43262","sona","asynch","TRUE","I tried my best on most questions",4,3,2,"Nothing really comes to mind for this question.",18,"USA","English","First","Math or Computer Sciences","Male","No","chrome",1536,809,"Windows 10","2022-03-09T20:50:56.199Z","success","winter22",1,13.4691666666667,"arrow"
"MOOMN","SGC4B","1112","wi22sona","2217","38940","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"n/a",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,738,"Mac OS","2022-03-03T22:01:59.151Z","success","winter22",1,7.3246,"arrow"
"7SYZM","SGC4B","1113","wi22sona","2218","38011","sona","asynch","TRUE","I tried my best on most questions",3,3,5,"",20,"USA","Spanish","Second","Humanities","Female","No","chrome",1366,768,"Windows 10","2022-03-09T21:25:14.986Z","success","winter22",2,13.6543166666667,"cross"
"SGV7F","SGC4B","1112","wi22sona","2217","36289","sona","asynch","TRUE","I tried my best on each question",3,3,4,"",21,"China","Mandarin","Second","Math or Computer Sciences","Male","","chrome",1368,769,"Windows 10","2022-03-04T05:08:05.035Z","success","winter22",1,2.49113333333333,"arrow"
"NNM19","SGC4B","1112","wi22sona","2217","38436","sona","asynch","TRUE","I tried my best on each question",3,2,3,"The start/end times was a bit confusing.",22,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,712,"Mac OS","2022-03-04T00:50:33.468Z","success","winter22",1.5,15.2763666666667,"arrow"
"S0TJN","SGC4B","1112","wi22sona","2218","40962","sona","asynch","TRUE","I tried my best on each question",3,4,5,"",24,"china","Mandarin","Third","Natural Sciences","Female","","chrome",1600,752,"Windows 10","2022-03-09T20:17:49.893Z","success","winter22",3,11.67125,"arrow"
"AYOKT","SGC4B","1113","wi22sona","2217","36200","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",24,"macau","Cantonese","Fourth","Natural Sciences","Female","","chrome",1440,789,"Mac OS","2022-03-05T23:02:12.692Z","success","winter22",1,11.4561333333333,"cross"
"TZV3W","SGC4B","1112","wi22sona","2218","43114","sona","asynch","TRUE","I tried my best on each question",4,5,3,"",18,"United States","Spanish","First","Engineering","Female","","chrome",1440,730,"Mac OS","2022-03-09T10:15:47.892Z","success","winter22",2,11.65935,"arrow"
