"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","totaltime_m","pretty_condition"
"637XQ","SGC4B","1113","wi22sona","2217","40654","sona","asynch","TRUE","I tried my best on each question",4,4,3,"",20,"United States of America","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1397,726,"Mac OS","2022-03-04T02:43:07.534Z","success","winter22",1,7.01366666666667,"cross"
"4R2H3","SGC4B","1112","wi22sona","2218","31079","sona","asynch","TRUE","I tried my best on most questions",3,3,3,"",22,"us","English","Fourth","Math or Computer Sciences","Male","","chrome",1680,907,"Windows 7","2022-03-09T20:49:36.068Z","success","winter22",2.5,3.93728333333333,"arrow"
"FUE06","SGC4B","1112","wi22sona","2218","33142","sona","asynch","TRUE","I tried my best on each question",3,3,5,"",20,"USA","English","Third","Humanities","Female","","chrome",1440,789,"Mac OS","2022-03-09T19:21:07.344Z","success","winter22",1,11.2317333333333,"arrow"
"N2UOM","SGC4B","1113","wi22sona","2217","30063","sona","asynch","TRUE","I tried my best on each question",1,5,3,"",22,"U.S.","English","Fourth","Math or Computer Sciences","Male","no","chrome",1600,781,"Windows 10","2022-03-07T20:32:42.873Z","success","winter22",1,6.19325,"cross"
"NYN9R","SGC4B","1113","wi22sona","2217","41300","sona","asynch","TRUE","I tried my best on most questions",3,3,3,"",20,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,717,"Mac OS","2022-03-03T06:12:31.838Z","success","winter22",1,5.25758333333333,"cross"
"QXWAO","SGC4B","1113","wi22sona","2217","42271","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",19,"United States","Mandarin","Second","Engineering","Female","","chrome",1440,789,"Mac OS","2022-03-05T21:27:55.880Z","success","winter22",1,8.47225,"cross"
"R4RE9","SGC4B","1112","wi22sona","2217","41463","sona","asynch","TRUE","I tried my best on most questions",5,3,1,"",22,"Morocco","Arabic","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,749,"Mac OS","2022-03-06T00:58:01.852Z","success","winter22",1,12.8203,"arrow"
"K882Z","SGC4B","1112","wi22sona","2217","36531","sona","asynch","TRUE","I tried my best on each question",3,3,4,"",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,821,"Mac OS","2022-03-06T05:29:43.357Z","success","winter22",1,15.2875,"arrow"
"E6WKX","SGC4B","1113","wi22sona","2218","40480","sona","asynch","TRUE","I tried my best on each question",4,2,4,"",22,"United States","Cantonese","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-09T21:25:02.207Z","success","winter22",1,5.7678,"cross"
"YMH3D","SGC4B","1112","wi22sona","2218","40432","sona","asynch","TRUE","I tried my best on each question",4,2,5,"",25,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1277,721,"Mac OS","2022-03-09T19:45:52.298Z","success","winter22",1,5.7666,"arrow"
"T96G5","SGC4B","1113","wi22sona","2217","38197","sona","asynch","TRUE","I tried my best on each question",3,4,5,"",20,"U.S","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-06T02:24:27.373Z","success","winter22",1,12.7845166666667,"cross"
"FXOS5","SGC4B","1112","wi22sona","2218","31338","sona","asynch","TRUE","I tried my best on each question",3,3,3,"",22,"USA","English","Fifth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,821,"Mac OS","2022-03-09T19:38:33.177Z","success","winter22",1,10.7823666666667,"arrow"
"9NOEY","SGC4B","1113","wi22sona","2217","34072","sona","asynch","TRUE","I tried my best on each question",3,2,3,"it took me a second to figure out what exactly I was looking at, and some of the shifts were a little confusing.  For shifts that were in-between line intersections, I tried figuring out how long they were based off of what time they start and how long they were based off the y axis",20,"U.S.A","Mandarin","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1920,975,"Windows 10","2022-03-04T02:30:51.600Z","success","winter22",1,8.55275,"cross"
"WOWT2","SGC4B","1113","wi22sona","2217","34088","sona","asynch","TRUE","I tried my best on most questions",5,1,1,"",21,"US","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","none","chrome",1280,720,"Windows 10","2022-03-06T05:23:45.860Z","success","winter22",3,10.33205,"cross"
"XQO37","SGC4B","1112","wi22sona","2217","41980","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"I was concerned that I did not select some of the options I should've",20,"United States","English","Third","Biomedical & Health Sciences","Female","no","chrome",1440,821,"Mac OS","2022-03-05T21:00:24.216Z","success","winter22",1,14.0708166666667,"arrow"
"JALHA","SGC4B","1113","wi22sona","2218","36091","sona","asynch","TRUE","I tried my best on each question",3,4,5,"One test round might be helpful to improve accuracy",25,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1283,706,"Mac OS","2022-03-09T17:03:39.961Z","success","winter22",1,6.33516666666667,"cross"
"JYWY5","SGC4B","1112","wi22sona","2217","41327","sona","asynch","TRUE","I tried my best on most questions",3,2,3,"",18,"US","English","First","Humanities","Female","","chrome",1440,821,"Mac OS","2022-03-03T19:32:44.447Z","success","winter22",1,9.45218333333333,"arrow"
"NUMHG","SGC4B","1112","wi22sona","2217","38331","sona","asynch","TRUE","I tried my best on most questions",4,3,3,"",20,"United States","Spanish","Third","Humanities","Female","","chrome",1440,789,"Mac OS","2022-03-05T02:13:38.627Z","success","winter22",3,15.6407,"arrow"
"GMMOE","SGC4B","1112","wi22sona","2217","33593","sona","asynch","TRUE","I tried my best on each question",3,4,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,722,"Windows 10","2022-03-04T03:12:19.031Z","success","winter22",1,15.3477166666667,"arrow"
"0KQWY","SGC4B","1112","wi22sona","2218","36857","sona","asynch","TRUE","I tried my best on each question",3,3,3,"",19,"Italy","English","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1366,689,"Mac OS","2022-03-09T19:36:38.149Z","success","winter22",1,8.68813333333333,"arrow"
"HEONU","SGC4B","1113","wi22sona","2217","38481","sona","asynch","TRUE","I tried my best on each question",2,5,4,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-04T22:57:54.405Z","success","winter22",1,6.04755,"cross"
"AOCJ0","SGC4B","1112","wi22sona","2217","38895","sona","asynch","TRUE","I tried my best on each question",2,4,4,"I got confused by the x-axis label.",21,"China","Mandarin","Fourth","Math or Computer Sciences","Male","no","chrome",1920,969,"Windows 10","2022-03-04T10:08:24.449Z","success","winter22",1.5,7.64605,"arrow"
"JAOHQ","SGC4B","1113","wi22sona","2217","32513","sona","asynch","TRUE","I tried my best on each question",3,4,2,"The triangles are definitely a bit hard to read",21,"Mexico","Spanish","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1536,754,"Windows 10","2022-03-04T06:18:00.256Z","success","winter22",1,9.96075,"cross"
"0TYDS","SGC4B","1113","wi22sona","2217","29610","sona","asynch","TRUE","I tried my best on each question",4,3,4,"The chart was a bit confusing.",22,"U.S.","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","N/A","chrome",1223,734,"Mac OS","2022-03-05T21:23:44.147Z","success","winter22",1,6.61521666666667,"cross"
