"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"USA","I tried my best on each question","4","2","1","","",7.54585,"1","chrome","2560","1304","45","TRI",5.429329004329,2.18224789915966,6.30724789915966,0,0,6,6,2,0.461538461538462,5.81016666666667,26.8161538461538,11.875,73.445,6,3,1,0,3,1,3,0,1,1,"Triangular",11.875,0,-1,"Orthogonal",26.585,1,"Triangular",19.259,0,"?",12.047,2,0.5,2.4907,4,1.5,3.31946666666667
"8TYAE","11111221","ORTH-45","SGC4C","summer22","asynch","Female",74,"English",NA,"United States","I tried my best on most questions","5","3","4","I was confused about which diagonal to use as duration.","Age",17.74555,"1","chrome","1536","722","45","ORTH",2.679329004329,1.15115815556992,3.9359243697479,0,0,3,4,0,0.307692307692308,12.8466,59.292,18.268,204.7,4,3,2,0,4,2,4,0,1,1,"Triangular",18.268,0,-0.5,"?",63.3,0,"Orthogonal",51.844,0,"Orthogonal",38.197,2,2.5,3.0955,2,-2.5,9.7511
"8U9S4","11311221","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"usa","I tried my best on each question","3","1","2","","no...though i'm clearly unable to properly read a weird triangular shift map",6.88436666666667,"3","chrome","1536","722","45","TRI",2.28690476190476,-0.447023809523809,5.94117647058824,0,1,3,3,3,0.230769230769231,3.63401666666667,16.7723846153846,7.039,36.386,3,1,4,0,5,4,2,3,1,1,"Triangular",17.716,0,0,"reference",29.898,1,"Triangular",18.146,0,"?",14.8,1,2.5,1.49606666666667,2,0.5,2.13795
"8V2SA","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","US","I tried my best on each question","2","4","5","","no",8.30923333333333,"1","chrome","1440","821","0","TRI",12.8397435897436,-0.707175177763413,8.58974358974359,0,0,11,11,12,0.846153846153846,4.17796666666667,19.2829230769231,5.963,62.677,11,0,2,0,0,2,0,0,0,0.5,"Tversky",26.805,1,1,"Triangular",14.837,1,"Triangular",26.646,1,"Triangular",14.286,3,4,1.65023333333333,8,8,2.52773333333333
"8V8HJ","111","ORTH-0","SGC3A","fall21","asynch","Female",19,"Spanish","Second","U.S.A","NULL","NULL","NULL","NULL","NULL","NULL",11.4741,"NULL","NULL","NULL","NULL","0","ORTH",-0.752846173434409,8.59940476190476,1.84482062055591,0,0,0,0,-9,0,7.98016666666667,36.8315384615385,8.124,93.837,0,9,2,0,2,2,2,0,0,-1,"Orthogonal",36.623,0,-1,"Orthogonal",51.685,0,"Orthogonal",20.279,0,"Orthogonal",45.236,0,-3,3.46346666666667,0,-6,4.5167
"8W8HA","11111221","ORTH-45","SGC4C","summer22","asynch","Male",34,"English",NA,"United States","I tried my best on each question","4","4","3","It was very interesting to see the scheduling arranged in that specific grid formation. It made it pretty easy to visualize the timing of each shift.","No impairments or disabilities.",19.3251,"2","chrome","1920","1007","45","ORTH",11.3666666666667,0.597586726998492,7.75641025641026,0,0,11,12,11,0.923076923076923,14.513,66.9830769230769,8.386,218.212,12,1,0,0,0,0,0,0,1,1,"Triangular",26.955,1,1,"Triangular",141.307,1,"Triangular",19.952,1,"Triangular",119.776,5,5,7.11348333333333,7,6,7.39951666666667
"91UX7","11111331","ORTH-90","SGC4C","summer22","asynch","Female",55,"English",NA,"USA","I tried my best on each question","5","2","3","","no",11.51825,"1","chrome","1600","781","90","ORTH",-1.16475093533917,3.19699148890325,3.58998599439776,0,0,0,0,-4.5,0,6.83181666666667,31.5314615384615,7.252,72.051,0,4,4,0,5,4,5,0,0,-1,"Orthogonal",26.733,0,-0.5,"?",30.568,0,"Orthogonal",47.013,0,"Tversky",47.074,0,0,1.77686666666667,0,-4.5,5.05495
"98R7E","111","ORTH-0","SGC3A","fall21","asynch","Female",20,"Spanish","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8169333333333,"NULL","NULL","NULL","NULL","0","ORTH",12.9333333333333,-0.540508511096746,8.08974358974359,0,0,12,12,12.5,0.923076923076923,5.14233333333333,23.7338461538462,6.654,65.962,12,0,1,0,0,1,0,0,1,1,"Triangular",34.264,1,1,"Triangular",22.122,1,"Triangular",41.083,1,"Triangular",17.538,5,5,1.76708333333333,7,7.5,3.37525
"9BACG","11111331","ORTH-90","SGC4C","summer22","asynch","Female",31,"English",NA,"United States","I tried my best on each question","5","2","3","It was very hard to decipher the graph","N/A",7.21173333333333,"1","chrome","1280","688","90","ORTH",0.0586734344087286,6.07223389355742,2.11148728722258,0,0,0,1,-5.5,0.0769230769230769,4.02131666666667,18.5599230769231,6.788,39.495,1,7,3,0,2,3,2,0,0,-1,"Orthogonal",20.762,0,-1,"Orthogonal",16.947,0,"Orthogonal",15.16,1,"Triangular",20.49,0,-3,2.12495,1,-2.5,1.89636666666667
"9CODD","11311331","TRI-90","SGC4C","summer22","asynch","Female",27,"English",NA,"United States","I tried my best on each question","1","5","5","","",11.4856333333333,"4","chrome","1536","746","90","TRI",11.4869047619048,0.209491488903254,8.01831501831502,0,0,10,10,10.5,0.769230769230769,8.76316666666667,40.4453846153846,7.774,106.57,10,0,1,0,2,2,1,0,1,1,"Triangular",25.746,1,1,"Triangular",61.935,1,"Triangular",27.705,1,"Triangular",102.917,4,4.5,2.48881666666667,6,6,6.27435
"9PEND","11111221","ORTH-45","SGC4C","summer22","asynch","Female",53,"English",NA,"USA","I tried my best on each question","5","1","3","I really didn't understand that at all. Also, the angle of the chart was really uncomfortable for me. I think I probably got all of those wrong, and I am concerned you are going to think that it is because I did not try, but I just found that graph really confusing, and I don't think that the instructions helped at all.","I have a headache right now. I don't know how much that hurt my performance, but it sure didn't help.",13.5343833333333,"1","chrome","1280","720","45","ORTH",4.866829004329,-0.00717517776341302,5.86607142857143,0,0,5,6,3.5,0.461538461538462,7.54405,34.8186923076923,9.793,72.206,6,2,2,0,3,2,3,0,1,1,"Triangular",21.632,0,0.5,"Tversky",28.252,0,"Orthogonal",47.239,1,"Triangular",27.763,2,2.5,2.71258333333333,4,1,4.83146666666667
"9S5Z0","111","ORTH-0","SGC3A","fall21","asynch","Male",23,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",23.40185,"NULL","NULL","NULL","NULL","0","ORTH",-0.648084268672504,11.7946428571429,-0.146250808015514,0,0,0,0,-12.5,0,16.6867333333333,77.0156923076923,11.599,262.081,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",44.119,0,-1,"Orthogonal",87.521,0,"Orthogonal",32.503,0,"Orthogonal",262.081,0,-5,3.19853333333333,0,-7.5,13.4882
"A2QWX","11311221","TRI-45","SGC4C","summer22","asynch","Female",56,"English",NA,"United States","I tried my best on each question","4","3","5","","no",15.9702833333333,"1","chrome","1536","746","45","TRI",9.37083333333333,-0.47384184443008,7.83333333333333,0,0,9,10,9.5,0.769230769230769,12.7790166666667,58.9800769230769,13.698,164.832,10,0,1,0,2,1,2,0,1,1,"Triangular",23.768,0,-0.5,"?",72.52,1,"Triangular",41.093,1,"Triangular",164.832,4,3.5,2.88928333333333,6,6,9.88973333333333
"A3ZGA","11111331","ORTH-90","SGC4C","summer22","asynch","Female",57,"English",NA,"United States","I tried my best on each question","5","3","5","Very tricky and requires concentration and difficult","no",34.7661166666667,"1","chrome","1517","734","90","ORTH",3.69057388689742,1.56141456582633,4.75966925231631,0,0,2,2,-2,0.153846153846154,27.8104,128.355692307692,57.996,391.982,2,3,3,0,5,3,5,0,0,0.5,"Tversky",165.159,0,-1,"Orthogonal",110.445,0,"Orthogonal",126.539,0,"?",111.495,1,-0.5,8.86718333333333,1,-1.5,18.9432166666667
"A9JCU","111","ORTH-0","SGC3A","fall21","asynch","Male",18,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.7825,"NULL","NULL","NULL","NULL","0","ORTH",0.169072594072594,8.77724358974359,-0.587427278603749,0,0,0,1,-9,0.0769230769230769,7.61801666666667,35.1600769230769,5.359,84.91,1,9,0,0,3,0,2,1,0,-1,"Orthogonal",18.744,0,-0.5,"?",84.91,0,"Orthogonal",8.251,0,"Orthogonal",78.79,0,-4,2.56351666666667,1,-5,5.0545
"A9XC1","11311331","TRI-90","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","3","4","4","The graph was not very clear. One axis being labeled ""start and end times"" was confusing.","No",7.07165,"1","chrome","1536","810","90","TRI",0.254729584141349,8.95641025641026,0.205397543632838,0,0,1,1,-9,0.0769230769230769,4.97591666666667,22.9657692307692,4.518,52.892,1,10,1,0,1,1,1,0,0,-1,"Orthogonal",13.471,1,1,"Triangular",52.892,0,"Orthogonal",13.476,0,"Orthogonal",51.429,1,-1,2.05738333333333,0,-8,2.91853333333333
"AOTXC","113","TRI-0","SGC4D","winter22","asynch","Other-Not Listed",21,"English","Fourth","USA","I tried my best on most questions","4","3","3","","",6.74275,"1.5","chrome","1920","969","0","TRI",8.725,0.0642533936651584,5.63508672699849,0,0,9,9,7.5,0.692307692307692,4.61805,21.3140769230769,7.103,39.93,9,1,1,0,2,1,2,0,1,1,"Triangular",23.068,1,1,"Triangular",25.874,1,"Triangular",32.85,0,"Orthogonal",19.904,4,4.5,1.77191666666667,5,3,2.84613333333333
"APAMB","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Third","USA","I tried my best on each question","2","3","3","","no",15.1600666666667,"1","chrome","1440","821","0","TRI",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,11.02135,50.8677692307692,9.366,128.071,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",30.273,0,-1,"Orthogonal",128.071,0,"Orthogonal",29.253,0,"Orthogonal",91.164,0,-5,4.64308333333333,0,-8,6.37826666666667
"APZGR","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","4","4","2","The visualization was kind of hard to understand at first, especially because the label on the bottom stated that it was representative of times shifted started AND ended— at first I thought I was supposed to look for points on the graph to reveal when a shift ended instead of mentally calculating it using each point's duration and start time.","",13.5192333333333,"2","chrome","1440","689","0","TRI",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,8.40731666666667,38.803,5.394,91.86,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",11.387,0,-1,"Orthogonal",91.86,0,"Orthogonal",22.745,0,"Orthogonal",49.865,0,-5,3.35256666666667,0,-8,5.05475
"AR3NV","11311221","TRI-45","SGC4C","summer22","asynch","Female",31,"English",NA,"U.S.A.","I tried my best on each question","4","3","1","It was hard to understand how the graph showed start and end times on the same side.","N/A",14.6685833333333,"2.5","chrome","1366","768","45","TRI",12,-0.481684981684982,7.08974358974359,0,0,12,12,12,0.923076923076923,11.0035833333333,50.7857692307692,6.732,136.146,12,0,0,0,1,0,0,1,1,1,"Triangular",24.697,1,1,"Triangular",56.346,1,"Triangular",23.238,1,"Triangular",136.146,5,5,3.7119,7,7,7.29168333333333
"AZUU5","11311331","TRI-90","SGC4C","summer22","asynch","Female",28,"English",NA,"United States","I tried my best on each question","5","1","4","I'm not sure if the chart was supposed to be that confusing. I was a little confused that it said ""start and end time"" but then the other axis said ""duration"" so I was confused when something fell on (for example) 8pm but said something like 4 hours on the duration, since the other axis made it seem like each shift's start and end time were the same.","No",16.9390666666667,"1","chrome","1280","720","90","TRI",2.32399683649684,0.0796245421245422,5.08901515151515,0,0,0,0,0.5,0,11.4426666666667,52.8123076923077,8.132,121.369,0,0,5,0,8,5,4,4,0,0.5,"Tversky",43.714,0,0.5,"Tversky",99.685,0,"Tversky",54.256,0,"blank",89.535,0,1.5,3.85401666666667,0,-1,7.58865
"B57QL","113","TRI-0","SGC4D","winter22","asynch","Male",27,"Arabic",NA,"USA","I tried my best on each question","2","3","3","","NO",4.60528333333333,"1","chrome","1440","725","0","TRI",2.53300547491724,-0.178603749191984,4.72824357015533,0,0,3,3,0,0.230769230769231,2.89891666666667,13.3796153846154,1.511,24.028,3,2,3,0,5,3,5,0,1,1,"Triangular",15.275,0,0.5,"Tversky",24.028,0,"Orthogonal",20.146,0,"Tversky",16.914,2,1.5,1.45673333333333,1,-1.5,1.44218333333333
"BECZE","11111331","ORTH-90","SGC4C","summer22","asynch","Male",47,"English",NA,"United States","I tried my best on each question","4","2","3","Nothing comes to mind. ","No, none. ",16.0032333333333,"2","chrome","1366","768","90","ORTH",-0.970060331825038,4.98651960784314,1.05007272139625,0,0,0,0,-6.5,0,7.41513333333333,34.2236923076923,5.701,91.037,0,6,1,0,6,1,2,4,0,-1,"Orthogonal",17.681,0,0,"blank",29.025,0,"Orthogonal",24.259,0,"?",26.668,0,-2,2.66703333333333,0,-4.5,4.7481
"BH9QU","11111221","ORTH-45","SGC4C","summer22","asynch","Male",24,"English",NA,"United States","I tried my best on each question","4","5","4","","no",27.9848166666667,"4","chrome","1920","947","45","ORTH",12.8666666666667,-0.683365653953889,8.08974358974359,0,0,12,12,12.5,0.923076923076923,14.4134833333333,66.5237692307692,7.642,259.503,12,0,1,0,0,1,0,0,1,1,"Triangular",32.529,1,1,"Triangular",226.366,1,"Triangular",30.33,1,"Triangular",259.503,5,5,5.18555,7,7.5,9.22793333333333
"BK0TH","111","ORTH-0","SGC3A","fall21","asynch","Male",20,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.3078666666667,"NULL","NULL","NULL","NULL","0","ORTH",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.70368333333333,30.9400769230769,6.663,53.918,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",46.408,0,-1,"Orthogonal",51.285,0,"Orthogonal",18.7,0,"Orthogonal",42.128,0,-5,2.8618,0,-8,3.84188333333333
"BMTZS","11111221","ORTH-45","SGC4C","summer22","asynch","Male",64,"English",NA,"US","I tried my best on each question","3","5","4","","no",9.75605,"3","chrome","1478","691","45","ORTH",3.091829004329,0.423809523809524,5.31985294117647,0,0,4,4,2,0.307692307692308,5.8959,27.2118461538462,7.886,83.601,4,2,3,0,4,3,3,1,1,1,"Triangular",10.73,0,-1,"Orthogonal",47.157,0,"Tversky",38.268,0,"Orthogonal",19.572,2,2,1.89185,2,0,4.00405
"BQ01X","11311221","TRI-45","SGC4C","summer22","asynch","Female",64,"English",NA,"United States","I tried my best on each question","3","5","3","","no",19.78135,"1","chrome","1366","697","45","TRI",1.37740592740593,1.41607142857143,3.30357142857143,0,0,2,2,-1,0.153846153846154,13.6619833333333,63.0553076923077,12.796,140.476,2,2,2,0,7,2,4,3,0,0.5,"Tversky",54.173,0,-1,"Orthogonal",78.751,0,"Tversky",21.208,0,"blank",40.361,2,1,5.92883333333333,0,-2,7.73315
"BYKF0","111","ORTH-0","SGC3A","fall21","asynch","Female",20,"Other","Second","turkey","NULL","NULL","NULL","NULL","NULL","NULL",11.4661,"NULL","NULL","NULL","NULL","0","ORTH",0.426425535249065,11.7873303167421,-0.858920491273433,0,0,0,0,-12.5,0,8.4443,38.9736923076923,10.235,117.958,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",21.479,0,-0.5,"?",117.958,0,"Orthogonal",17.476,0,"Orthogonal",45.974,0,-4.5,3.80313333333333,0,-8,4.64116666666667
"C61LK","11111221","ORTH-45","SGC4C","summer22","asynch","Male",22,"English",NA,"USA","I tried my best on most questions","4","3","1","","",15.6457,"4","chrome","1920","969","45","ORTH",7.17391456582633,0.704729584141349,4.13508672699849,0,0,5,8,5,0.615384615384615,12.2870333333333,56.7093846153846,8.443,132.836,8,1,0,0,4,0,4,0,1,1,"Triangular",9.335,1,1,"Triangular",132.836,0,"frenzy",41.429,1,"Triangular",126.37,4,3,3.1405,4,2,9.14653333333333
"C6F6M","11311331","TRI-90","SGC4C","summer22","asynch","Female",53,"English",NA,"United States","I tried my best on each question","4","3","3","","No",8.03661666666667,"1","chrome","1536","746","90","TRI",8.43216783216783,-0.707175177763413,7.22850678733032,0,0,7,7,7,0.538461538461538,5.47795,25.2828461538462,8.076,75.938,7,0,3,0,3,3,3,0,0,0.5,"Tversky",22.261,0,-0.5,"?",44.252,0,"Tversky",21.405,0,"?",27.377,2,2.5,1.8892,5,4.5,3.58875
"CBCXK","111112","ORTH-45","SGC4C","summer22","asynch","Male",43,"English",NA,"United States","I tried my best on each question","3","5","5","Nothing comes to mind.","no",15.1563166666667,"3","chrome","1549","885","45","ORTH",-0.681417602005837,13,0.187082525317819,0,0,0,0,-13,0,10.28945,47.4897692307692,8.573,140.375,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",32.62,0,-1,"Orthogonal",140.375,0,"Orthogonal",24.56,0,"Orthogonal",58.399,0,-5,6.42536666666667,0,-8,3.86408333333333
"CC9FZ","113","TRI-0","SGC4D","winter22","asynch","Female",21,"X-Other","Third","usa","I tried my best on most questions","3","4","2","color code maybe?","Dyslexia and ADHD",11.6154833333333,"1","chrome","1368","801","0","TRI",-1.03926073926074,7.19807692307692,-0.334693492781728,0,0,0,0,-9.5,0,6.09791666666667,28.1442307692308,0.785,89.913,0,8,0,0,5,0,3,2,0,-1,"Orthogonal",17.105,0,-0.5,"?",89.913,0,"Orthogonal",13.83,0,"Orthogonal",29.105,0,-4,2.8248,0,-5.5,3.27311666666667
"CE3VH","11311331","TRI-90","SGC4C","summer22","asynch","Female",27,"English",NA,"USA","I tried my best on each question","4","2","5","","",21.1977166666667,"1","chrome","1366","768","90","TRI",6.23008658008658,-0.0555268261150614,6.97759103641457,0,0,7,7,5,0.538461538461538,9.20033333333333,42.4630769230769,8.597,184.252,7,2,2,0,2,2,2,0,1,1,"Triangular",34.896,0,0.5,"Tversky",102.437,0,"Orthogonal",19.403,0,"Orthogonal",184.252,3,4,3.73865,4,1,5.46168333333333
"CEDLM","11311331","TRI-90","SGC4C","summer22","asynch","Male",40,"English",NA,"United States","I tried my best on each question","4","4","5","","None",10.7083833333333,"2","chrome","1920","969","90","TRI",10.7564102564103,-0.800764921353157,7.85714285714286,0,0,9,10,10.5,0.769230769230769,7.59891666666667,35.0719230769231,6.683,77.148,10,0,2,0,1,2,1,0,0,0.5,"Tversky",77.148,1,1,"Triangular",26.627,1,"Triangular",65.346,1,"Triangular",44.634,2,2.5,3.61575,8,8,3.98316666666667
"CGLFH","11311221","TRI-45","SGC4C","summer22","asynch","Female",42,"English",NA,"United States","I tried my best on each question","3","3","3","","",9.4944,"1","chrome","1440","789","45","TRI",7.08349567099567,-0.407175177763413,6.06474358974359,0,0,6,6,4.5,0.461538461538462,6.09028333333333,28.109,7.735,76.915,6,0,2,0,5,2,5,0,1,1,"Triangular",12.99,0,-0.5,"?",76.915,0,"Tversky",29.582,0,"?",21.053,3,3,2.33935,3,1.5,3.75093333333333
"CKA0U","113","TRI-0","SGC4D","winter22","asynch","Male",21,"English","Third","United States","I tried my best on each question","2","5","3","","",9.04665,"1","chrome","1920","979","0","TRI",-0.605660026248262,11.8605769230769,0.832915858651153,0,0,0,0,-11.5,0,6.09178333333333,28.1159230769231,7.146,65.025,0,12,1,0,0,1,0,0,0,-1,"Orthogonal",38.423,0,-1,"Orthogonal",65.025,0,"Orthogonal",19.667,0,"Orthogonal",31.973,0,-5,2.8105,0,-6.5,3.28128333333333
"CLEWH","11311331","TRI-90","SGC4C","summer22","asynch","Female",64,"English",NA,"USA","I tried my best on each question","4","3","2","The graph is hard to read","",16.3055,"3.5","chrome","1536","754","90","TRI",8.05716783216783,-0.557175177763413,7.75641025641026,0,0,7,8,8.5,0.615384615384615,11.4328333333333,52.7669230769231,12.268,202.141,8,0,3,0,2,3,2,0,0,0.5,"Tversky",40.221,0,-0.5,"?",202.141,0,"Tversky",62.968,1,"Triangular",122.928,2,2.5,5.56121666666667,6,6,5.87161666666667
"CQD99","11111331","ORTH-90","SGC4C","summer22","asynch","Female",20,"English",NA,"us","I tried my best on most questions","4","4","5","I thought it was interesting and a fun way to test graphic reading skills.","no",7.22695,"1","chrome","1200","691","90","ORTH",0.000562917474682192,8.62724358974359,-0.735778926955398,0,0,1,1,-10,0.0769230769230769,5.4252,25.0393846153846,7.767,42.794,1,10,0,0,2,0,2,0,0,-1,"Orthogonal",11.012,1,1,"Triangular",16.868,0,"Orthogonal",36.613,0,"Orthogonal",41.327,1,-2.5,1.6067,0,-7.5,3.8185
"CRYHH","11111331","ORTH-90","SGC4C","summer22","asynch","Female",34,"English",NA,"United States","I tried my best on each question","4","5","4","N/A","Current allergy-induced visual impairment in left eye (slightly blurry vision)",10.5534333333333,"1","chrome","1517","730","90","ORTH",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.35108333333333,33.9280769230769,5.768,116.485,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",20.006,0,-1,"Orthogonal",116.485,0,"Orthogonal",26.89,0,"Orthogonal",33.984,0,-5,3.552,0,-8,3.79908333333333
"CSJL3","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","USA","I tried my best on most questions","3","3","4","Interesting wording, was confused at times by what the question was asking. ","No",8.64423333333333,"2","chrome","1440","821","0","TRI",-0.514750935339171,11.8461538461538,-0.789107950872657,0,0,0,0,-12.5,0,5.28751666666667,24.4039230769231,7.444,50,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",21.016,0,-0.5,"?",50,0,"Orthogonal",29.675,0,"Orthogonal",27.851,0,-4.5,1.67833333333333,0,-8,3.60918333333333
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","4","2","3","","",8.6733,"2","chrome","1440","821","45","TRI",7.1702380952381,-0.976190476190476,6.7,0,0,7,7,7.5,0.538461538461538,6.15505,28.4079230769231,10.083,65.844,7,0,2,0,4,2,1,3,1,1,"Triangular",31.813,0,0,"blank",65.844,1,"Triangular",14.014,0,"Tversky",48.532,3,3.5,3.04596666666667,4,4,3.10908333333333
"D38LF","11311221","TRI-45","SGC4C","summer22","asynch","Male",33,"English",NA,"USA","I tried my best on each question","4","4","3","","",6.90921666666667,"1","chrome","1920","937","45","TRI",10.303081232493,-0.520760611937082,6.12615815556992,0,0,8,9,8.5,0.692307692307692,5.48238333333333,25.3033076923077,4.51,49.527,9,0,1,0,3,1,2,1,1,1,"Triangular",11.714,1,1,"Triangular",42.405,1,"Triangular",10.2,1,"Triangular",49.527,3,2.5,2.17173333333333,6,6,3.31065
"DA399","11311221","TRI-45","SGC4C","summer22","asynch","Female",37,"English",NA,"United States","I tried my best on each question","4","4","5","I'm not sure honestly. ","ADHD (but I took my meds today so it shouldn't have affected much)",9.86051666666667,"1","chrome","1920","969","45","TRI",5.44242424242424,-0.402413273001508,6.81985294117647,0,0,6,6,5,0.461538461538462,6.6656,30.7643076923077,5.311,101.881,6,1,3,0,3,3,3,0,1,1,"Triangular",19.593,0,0.5,"Tversky",20.256,1,"Triangular",50.994,0,"Orthogonal",45.135,3,4,2.05115,3,1,4.61445
"DFTRY","11311331","TRI-90","SGC4C","summer22","asynch","Female",22,"English",NA,"united states","I tried my best on each question","5","1","3","this was hard for me and I did not know how to read the graph","no",9.27201666666667,"1","chrome","1536","750","90","TRI",-0.364588597676833,4.61222527472527,1.20196347769877,0,0,1,1,-7,0.0769230769230769,6.45401666666667,29.7877692307692,8.374,64.932,1,6,1,0,5,1,5,0,0,-1,"Orthogonal",30.177,0,-0.5,"?",41.163,0,"Orthogonal",33.735,0,"?",24.072,0,-2,3.14211666666667,1,-5,3.3119
"DGJQ3","111","ORTH-0","SGC3A","fall21","asynch","Female",21,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",4.81588333333333,"NULL","NULL","NULL","NULL","0","ORTH",3.19748168498168,0.067824822236587,5.80175339366516,0,0,3,3,2.5,0.230769230769231,2.70636666666667,12.4909230769231,4.14,23.244,3,1,5,0,4,5,4,0,0,0.5,"Tversky",21.534,1,1,"Triangular",14.485,0,"Tversky",19.731,0,"?",4.14,2,3.5,1.13791666666667,1,-1,1.56845
"DHOKS","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Fourth","U.S.A","I tried my best on each question","5","1","3","","",10.7913333333333,"1","chrome","1440","718","0","TRI",-0.702250935339171,8.50641025641026,0.755992781728076,0,0,0,0,-8,0,6.93355,32.001,5.916,68.155,0,8,2,0,3,2,2,1,0,-1,"Orthogonal",26.831,0,-0.5,"?",55.332,0,"Orthogonal",20.064,0,"?",42.277,0,-1.5,2.8331,0,-6.5,4.10045
"DKD9W","11311331","TRI-90","SGC4C","summer22","asynch","Female",51,"English",NA,"USA","I tried my best on each question","5","3","3","","no",11.46285,"1","chrome","1517","734","90","TRI",0.316249191984486,5.10791585865115,-0.527935789700496,0,0,1,1,-7,0.0769230769230769,8.13625,37.5519230769231,10.217,103.989,1,6,1,0,5,1,5,0,0,-1,"Orthogonal",18.266,1,1,"Triangular",26.871,0,"Orthogonal",23.808,0,"Tversky",38.274,1,-2.5,2.18488333333333,0,-4.5,5.95136666666667
"DMUWM","111","ORTH-0","SGC3A","fall21","asynch","Female",24,"Mandarin or Cantonese","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",20.466,"NULL","NULL","NULL","NULL","0","ORTH",-0.315508511096746,7.17307692307692,0.111977483301013,0,0,0,0,-9,0,8.8578,40.8821538461538,5.763,212.91,0,8,1,0,4,1,3,1,0,-1,"Orthogonal",19.741,0,-0.5,"?",27.605,0,"Orthogonal",15.176,0,"Orthogonal",29.174,0,-2.5,1.58661666666667,0,-6.5,7.27118333333333
"DR8S7","11111331","ORTH-90","SGC4C","summer22","asynch","Male",73,"English",NA,"usa","I tried my best on each question","5","5","1","","no",15.4522333333333,"1","chrome","1920","929","90","ORTH",-0.431417602005837,10.9230769230769,-0.646250808015514,0,1,0,0,-11.5,0,12.2662333333333,56.6133846153846,5.983,118.694,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",118.694,0,-0.5,"?",103.855,0,"Orthogonal",14.606,0,"Orthogonal",63.158,0,-3.5,6.93505,0,-8,5.33118333333333
"DTFTN","11111221","ORTH-45","SGC4C","summer22","asynch","Male",35,"English",NA,"United States","I tried my best on each question","2","4","3","I think I misclicked on the last question and only marked X instead of X and K.","None",6.8574,"1","chrome","2560","1289","45","ORTH",12.5,-0.47384184443008,7.75641025641026,0,0,12,13,13,1,3.60791666666667,16.6519230769231,6.616,27.088,13,0,0,0,0,0,0,0,1,1,"Triangular",15.569,1,1,"Triangular",26.445,1,"Triangular",19.156,1,"Triangular",27.088,5,5,1.7206,8,8,1.88731666666667
"DY0BB","113","TRI-0","SGC4D","winter22","asynch","Female",23,"English","Fifth","USA","I tried my best on most questions","1","2","2","","",14.8554833333333,"2","chrome","1440","821","0","TRI",-0.393427405927406,10.4230769230769,-0.528603749191984,0,0,0,0,-11.5,0,8.65275,39.9357692307692,6.423,140.471,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",12.951,0,-0.5,"?",39.17,0,"Orthogonal",17.736,0,"Orthogonal",140.471,0,-4.5,1.81146666666667,0,-7,6.84128333333333
