"subject","mode","condition","question","score","pretty_condition"
"Z39WH","asynch","11115",13,3,"click-point"
"XLH9B","asynch","11115",1,0,"click-point"
"XLH9B","asynch","11115",2,0,"click-point"
"XLH9B","asynch","11115",3,0,"click-point"
"XLH9B","asynch","11115",4,0,"click-point"
"XLH9B","asynch","11115",5,0,"click-point"
"XLH9B","asynch","11115",6,0,"click-point"
"XLH9B","asynch","11115",7,0,"click-point"
"XLH9B","asynch","11115",8,0,"click-point"
"XLH9B","asynch","11115",9,0,"click-point"
"XLH9B","asynch","11115",10,0,"click-point"
"XLH9B","asynch","11115",11,0,"click-point"
"XLH9B","asynch","11115",12,0,"click-point"
"XLH9B","asynch","11115",13,0,"click-point"
"KPQ31","asynch","11115",1,0,"click-point"
"KPQ31","asynch","11115",2,0,"click-point"
"KPQ31","asynch","11115",3,0,"click-point"
"KPQ31","asynch","11115",4,0,"click-point"
"KPQ31","asynch","11115",5,0,"click-point"
"KPQ31","asynch","11115",6,0,"click-point"
"KPQ31","asynch","11115",7,0,"click-point"
"KPQ31","asynch","11115",8,0,"click-point"
"KPQ31","asynch","11115",9,0,"click-point"
"KPQ31","asynch","11115",10,0,"click-point"
"KPQ31","asynch","11115",11,0,"click-point"
"KPQ31","asynch","11115",12,0,"click-point"
"KPQ31","asynch","11115",13,0,"click-point"
"DJ72H","asynch","11115",1,0,"click-point"
"DJ72H","asynch","11115",2,0,"click-point"
"DJ72H","asynch","11115",3,0,"click-point"
"DJ72H","asynch","11115",4,0,"click-point"
"DJ72H","asynch","11115",5,0,"click-point"
"DJ72H","asynch","11115",6,0,"click-point"
"DJ72H","asynch","11115",7,0,"click-point"
"DJ72H","asynch","11115",8,1,"click-point"
"DJ72H","asynch","11115",9,2,"click-point"
"DJ72H","asynch","11115",10,3,"click-point"
"DJ72H","asynch","11115",11,4,"click-point"
"DJ72H","asynch","11115",12,5,"click-point"
"DJ72H","asynch","11115",13,5,"click-point"
"Z6CB2","asynch","11115",1,0,"click-point"
"Z6CB2","asynch","11115",2,0,"click-point"
"Z6CB2","asynch","11115",3,0,"click-point"
"Z6CB2","asynch","11115",4,1,"click-point"
"Z6CB2","asynch","11115",5,1,"click-point"
"Z6CB2","asynch","11115",6,1,"click-point"
"Z6CB2","asynch","11115",7,1,"click-point"
"Z6CB2","asynch","11115",8,1,"click-point"
"Z6CB2","asynch","11115",9,1,"click-point"
"Z6CB2","asynch","11115",10,1,"click-point"
"Z6CB2","asynch","11115",11,1,"click-point"
"Z6CB2","asynch","11115",12,1,"click-point"
"Z6CB2","asynch","11115",13,1,"click-point"
"HNM67","asynch","11115",1,0,"click-point"
"HNM67","asynch","11115",2,0,"click-point"
"HNM67","asynch","11115",3,0,"click-point"
"HNM67","asynch","11115",4,0,"click-point"
"HNM67","asynch","11115",5,0,"click-point"
"HNM67","asynch","11115",6,0,"click-point"
"HNM67","asynch","11115",7,0,"click-point"
"HNM67","asynch","11115",8,0,"click-point"
"HNM67","asynch","11115",9,0,"click-point"
"HNM67","asynch","11115",10,0,"click-point"
"HNM67","asynch","11115",11,0,"click-point"
"HNM67","asynch","11115",12,0,"click-point"
"HNM67","asynch","11115",13,0,"click-point"
"CNMNJ","asynch","11115",1,0,"click-point"
"CNMNJ","asynch","11115",2,0,"click-point"
"CNMNJ","asynch","11115",3,0,"click-point"
"CNMNJ","asynch","11115",4,0,"click-point"
"CNMNJ","asynch","11115",5,0,"click-point"
"CNMNJ","asynch","11115",6,0,"click-point"
"CNMNJ","asynch","11115",7,0,"click-point"
"CNMNJ","asynch","11115",8,0,"click-point"
"CNMNJ","asynch","11115",9,0,"click-point"
"CNMNJ","asynch","11115",10,0,"click-point"
"CNMNJ","asynch","11115",11,0,"click-point"
"CNMNJ","asynch","11115",12,0,"click-point"
"CNMNJ","asynch","11115",13,0,"click-point"
"MJ2W9","asynch","11115",1,0,"click-point"
"MJ2W9","asynch","11115",2,0,"click-point"
"MJ2W9","asynch","11115",3,0,"click-point"
"MJ2W9","asynch","11115",4,0,"click-point"
"MJ2W9","asynch","11115",5,0,"click-point"
"MJ2W9","asynch","11115",6,0,"click-point"
"MJ2W9","asynch","11115",7,0,"click-point"
"MJ2W9","asynch","11115",8,1,"click-point"
"MJ2W9","asynch","11115",9,1,"click-point"
"MJ2W9","asynch","11115",10,1,"click-point"
"MJ2W9","asynch","11115",11,1,"click-point"
"MJ2W9","asynch","11115",12,1,"click-point"
"MJ2W9","asynch","11115",13,1,"click-point"
"F37T6","asynch","11115",1,0,"click-point"
"F37T6","asynch","11115",2,0,"click-point"
"F37T6","asynch","11115",3,0,"click-point"
"F37T6","asynch","11115",4,1,"click-point"
"F37T6","asynch","11115",5,2,"click-point"
"F37T6","asynch","11115",6,2,"click-point"
"F37T6","asynch","11115",7,2,"click-point"
"F37T6","asynch","11115",8,3,"click-point"
"F37T6","asynch","11115",9,3,"click-point"
"F37T6","asynch","11115",10,3,"click-point"
"F37T6","asynch","11115",11,3,"click-point"
"F37T6","asynch","11115",12,4,"click-point"
"F37T6","asynch","11115",13,4,"click-point"
"KZOE9","asynch","11115",1,0,"click-point"
"KZOE9","asynch","11115",2,0,"click-point"
"KZOE9","asynch","11115",3,0,"click-point"
"KZOE9","asynch","11115",4,0,"click-point"
"KZOE9","asynch","11115",5,0,"click-point"
"KZOE9","asynch","11115",6,0,"click-point"
"KZOE9","asynch","11115",7,0,"click-point"
"KZOE9","asynch","11115",8,0,"click-point"
"KZOE9","asynch","11115",9,0,"click-point"
"KZOE9","asynch","11115",10,0,"click-point"
"KZOE9","asynch","11115",11,0,"click-point"
"KZOE9","asynch","11115",12,0,"click-point"
"KZOE9","asynch","11115",13,0,"click-point"
"9OEG6","asynch","11115",1,0,"click-point"
"9OEG6","asynch","11115",2,0,"click-point"
"9OEG6","asynch","11115",3,0,"click-point"
"9OEG6","asynch","11115",4,0,"click-point"
"9OEG6","asynch","11115",5,0,"click-point"
"9OEG6","asynch","11115",6,0,"click-point"
"9OEG6","asynch","11115",7,0,"click-point"
"9OEG6","asynch","11115",8,0,"click-point"
"9OEG6","asynch","11115",9,0,"click-point"
"9OEG6","asynch","11115",10,0,"click-point"
"9OEG6","asynch","11115",11,0,"click-point"
"9OEG6","asynch","11115",12,0,"click-point"
"9OEG6","asynch","11115",13,0,"click-point"
"C8QAW","asynch","11115",1,0,"click-point"
"C8QAW","asynch","11115",2,0,"click-point"
"C8QAW","asynch","11115",3,0,"click-point"
"C8QAW","asynch","11115",4,0,"click-point"
"C8QAW","asynch","11115",5,0,"click-point"
"C8QAW","asynch","11115",6,0,"click-point"
"C8QAW","asynch","11115",7,0,"click-point"
"C8QAW","asynch","11115",8,0,"click-point"
"C8QAW","asynch","11115",9,0,"click-point"
"C8QAW","asynch","11115",10,0,"click-point"
"C8QAW","asynch","11115",11,0,"click-point"
"C8QAW","asynch","11115",12,0,"click-point"
"C8QAW","asynch","11115",13,0,"click-point"
"8NURS","asynch","11115",1,0,"click-point"
"8NURS","asynch","11115",2,0,"click-point"
"8NURS","asynch","11115",3,0,"click-point"
"8NURS","asynch","11115",4,0,"click-point"
"8NURS","asynch","11115",5,1,"click-point"
"8NURS","asynch","11115",6,1,"click-point"
"8NURS","asynch","11115",7,1,"click-point"
"8NURS","asynch","11115",8,2,"click-point"
"8NURS","asynch","11115",9,2,"click-point"
"8NURS","asynch","11115",10,2,"click-point"
"8NURS","asynch","11115",11,2,"click-point"
"8NURS","asynch","11115",12,2,"click-point"
"8NURS","asynch","11115",13,2,"click-point"
"KTUY1","asynch","11115",1,0,"click-point"
"KTUY1","asynch","11115",2,0,"click-point"
"KTUY1","asynch","11115",3,0,"click-point"
"KTUY1","asynch","11115",4,0,"click-point"
"KTUY1","asynch","11115",5,1,"click-point"
"KTUY1","asynch","11115",6,1,"click-point"
"KTUY1","asynch","11115",7,1,"click-point"
"KTUY1","asynch","11115",8,1,"click-point"
"KTUY1","asynch","11115",9,1,"click-point"
"KTUY1","asynch","11115",10,1,"click-point"
"KTUY1","asynch","11115",11,1,"click-point"
"KTUY1","asynch","11115",12,1,"click-point"
"KTUY1","asynch","11115",13,1,"click-point"
"R1K0J","asynch","11115",1,0,"click-point"
"R1K0J","asynch","11115",2,0,"click-point"
"R1K0J","asynch","11115",3,0,"click-point"
"R1K0J","asynch","11115",4,1,"click-point"
"R1K0J","asynch","11115",5,2,"click-point"
"R1K0J","asynch","11115",6,2,"click-point"
"R1K0J","asynch","11115",7,2,"click-point"
"R1K0J","asynch","11115",8,2,"click-point"
"R1K0J","asynch","11115",9,3,"click-point"
"R1K0J","asynch","11115",10,3,"click-point"
"R1K0J","asynch","11115",11,4,"click-point"
"R1K0J","asynch","11115",12,5,"click-point"
"R1K0J","asynch","11115",13,6,"click-point"
"47G4D","asynch","11115",1,0,"click-point"
"47G4D","asynch","11115",2,0,"click-point"
"47G4D","asynch","11115",3,0,"click-point"
"47G4D","asynch","11115",4,0,"click-point"
"47G4D","asynch","11115",5,0,"click-point"
"47G4D","asynch","11115",6,0,"click-point"
"47G4D","asynch","11115",7,0,"click-point"
"47G4D","asynch","11115",8,1,"click-point"
"47G4D","asynch","11115",9,1,"click-point"
"47G4D","asynch","11115",10,1,"click-point"
"47G4D","asynch","11115",11,1,"click-point"
"47G4D","asynch","11115",12,1,"click-point"
"47G4D","asynch","11115",13,1,"click-point"
"FOMHO","asynch","11115",1,0,"click-point"
"FOMHO","asynch","11115",2,0,"click-point"
"FOMHO","asynch","11115",3,0,"click-point"
"FOMHO","asynch","11115",4,0,"click-point"
"FOMHO","asynch","11115",5,0,"click-point"
"FOMHO","asynch","11115",6,0,"click-point"
"FOMHO","asynch","11115",7,0,"click-point"
"FOMHO","asynch","11115",8,0,"click-point"
"FOMHO","asynch","11115",9,0,"click-point"
"FOMHO","asynch","11115",10,0,"click-point"
"FOMHO","asynch","11115",11,0,"click-point"
"FOMHO","asynch","11115",12,0,"click-point"
"FOMHO","asynch","11115",13,0,"click-point"
"GXAV1","asynch","11115",1,0,"click-point"
"GXAV1","asynch","11115",2,0,"click-point"
"GXAV1","asynch","11115",3,0,"click-point"
"GXAV1","asynch","11115",4,0,"click-point"
"GXAV1","asynch","11115",5,0,"click-point"
"GXAV1","asynch","11115",6,0,"click-point"
"GXAV1","asynch","11115",7,0,"click-point"
"GXAV1","asynch","11115",8,1,"click-point"
"GXAV1","asynch","11115",9,1,"click-point"
"GXAV1","asynch","11115",10,1,"click-point"
"GXAV1","asynch","11115",11,1,"click-point"
"GXAV1","asynch","11115",12,1,"click-point"
"GXAV1","asynch","11115",13,1,"click-point"
"PTMPD","asynch","11115",1,0,"click-point"
"PTMPD","asynch","11115",2,0,"click-point"
"PTMPD","asynch","11115",3,0,"click-point"
"PTMPD","asynch","11115",4,0,"click-point"
"PTMPD","asynch","11115",5,0,"click-point"
"PTMPD","asynch","11115",6,0,"click-point"
"PTMPD","asynch","11115",7,0,"click-point"
"PTMPD","asynch","11115",8,0,"click-point"
"PTMPD","asynch","11115",9,0,"click-point"
"PTMPD","asynch","11115",10,0,"click-point"
"PTMPD","asynch","11115",11,0,"click-point"
"PTMPD","asynch","11115",12,0,"click-point"
"PTMPD","asynch","11115",13,0,"click-point"
"YV5WY","asynch","11115",1,0,"click-point"
"YV5WY","asynch","11115",2,0,"click-point"
"YV5WY","asynch","11115",3,0,"click-point"
"YV5WY","asynch","11115",4,0,"click-point"
"YV5WY","asynch","11115",5,0,"click-point"
"YV5WY","asynch","11115",6,0,"click-point"
"YV5WY","asynch","11115",7,0,"click-point"
"YV5WY","asynch","11115",8,0,"click-point"
"YV5WY","asynch","11115",9,0,"click-point"
"YV5WY","asynch","11115",10,0,"click-point"
"YV5WY","asynch","11115",11,0,"click-point"
"YV5WY","asynch","11115",12,0,"click-point"
"YV5WY","asynch","11115",13,0,"click-point"
"LNEF7","asynch","11115",1,0,"click-point"
"LNEF7","asynch","11115",2,0,"click-point"
"LNEF7","asynch","11115",3,0,"click-point"
"LNEF7","asynch","11115",4,1,"click-point"
"LNEF7","asynch","11115",5,1,"click-point"
"LNEF7","asynch","11115",6,2,"click-point"
"LNEF7","asynch","11115",7,2,"click-point"
"LNEF7","asynch","11115",8,3,"click-point"
"LNEF7","asynch","11115",9,4,"click-point"
"LNEF7","asynch","11115",10,5,"click-point"
"LNEF7","asynch","11115",11,6,"click-point"
"LNEF7","asynch","11115",12,7,"click-point"
"LNEF7","asynch","11115",13,8,"click-point"
"0A9WN","asynch","11115",1,0,"click-point"
"0A9WN","asynch","11115",2,0,"click-point"
"0A9WN","asynch","11115",3,0,"click-point"
"0A9WN","asynch","11115",4,0,"click-point"
"0A9WN","asynch","11115",5,0,"click-point"
"0A9WN","asynch","11115",6,1,"click-point"
"0A9WN","asynch","11115",7,1,"click-point"
"0A9WN","asynch","11115",8,2,"click-point"
"0A9WN","asynch","11115",9,2,"click-point"
"0A9WN","asynch","11115",10,2,"click-point"
"0A9WN","asynch","11115",11,3,"click-point"
"0A9WN","asynch","11115",12,4,"click-point"
"0A9WN","asynch","11115",13,4,"click-point"
"XV09T","asynch","11115",1,0,"click-point"
"XV09T","asynch","11115",2,0,"click-point"
"XV09T","asynch","11115",3,0,"click-point"
"XV09T","asynch","11115",4,0,"click-point"
"XV09T","asynch","11115",5,1,"click-point"
"XV09T","asynch","11115",6,1,"click-point"
"XV09T","asynch","11115",7,1,"click-point"
"XV09T","asynch","11115",8,1,"click-point"
"XV09T","asynch","11115",9,1,"click-point"
"XV09T","asynch","11115",10,1,"click-point"
"XV09T","asynch","11115",11,1,"click-point"
"XV09T","asynch","11115",12,1,"click-point"
"XV09T","asynch","11115",13,1,"click-point"
"9Z01R","asynch","11115",1,0,"click-point"
"9Z01R","asynch","11115",2,0,"click-point"
"9Z01R","asynch","11115",3,0,"click-point"
"9Z01R","asynch","11115",4,0,"click-point"
"9Z01R","asynch","11115",5,0,"click-point"
"9Z01R","asynch","11115",6,1,"click-point"
"9Z01R","asynch","11115",7,1,"click-point"
"9Z01R","asynch","11115",8,1,"click-point"
"9Z01R","asynch","11115",9,1,"click-point"
"9Z01R","asynch","11115",10,1,"click-point"
"9Z01R","asynch","11115",11,1,"click-point"
"9Z01R","asynch","11115",12,1,"click-point"
"9Z01R","asynch","11115",13,1,"click-point"
"F6QWV","asynch","11115",1,0,"click-point"
"F6QWV","asynch","11115",2,0,"click-point"
"F6QWV","asynch","11115",3,0,"click-point"
"F6QWV","asynch","11115",4,0,"click-point"
"F6QWV","asynch","11115",5,0,"click-point"
"F6QWV","asynch","11115",6,0,"click-point"
"F6QWV","asynch","11115",7,0,"click-point"
"F6QWV","asynch","11115",8,0,"click-point"
"F6QWV","asynch","11115",9,0,"click-point"
"F6QWV","asynch","11115",10,0,"click-point"
"F6QWV","asynch","11115",11,0,"click-point"
"F6QWV","asynch","11115",12,0,"click-point"
"F6QWV","asynch","11115",13,0,"click-point"
"0AXM8","asynch","11115",1,0,"click-point"
"0AXM8","asynch","11115",2,0,"click-point"
"0AXM8","asynch","11115",3,0,"click-point"
"0AXM8","asynch","11115",4,0,"click-point"
"0AXM8","asynch","11115",5,1,"click-point"
"0AXM8","asynch","11115",6,1,"click-point"
"0AXM8","asynch","11115",7,1,"click-point"
"0AXM8","asynch","11115",8,1,"click-point"
"0AXM8","asynch","11115",9,1,"click-point"
"0AXM8","asynch","11115",10,1,"click-point"
"0AXM8","asynch","11115",11,1,"click-point"
"0AXM8","asynch","11115",12,1,"click-point"
"0AXM8","asynch","11115",13,1,"click-point"
"S3JZD","asynch","11115",1,0,"click-point"
"S3JZD","asynch","11115",2,0,"click-point"
"S3JZD","asynch","11115",3,0,"click-point"
"S3JZD","asynch","11115",4,0,"click-point"
"S3JZD","asynch","11115",5,0,"click-point"
"S3JZD","asynch","11115",6,0,"click-point"
"S3JZD","asynch","11115",7,0,"click-point"
"S3JZD","asynch","11115",8,0,"click-point"
"S3JZD","asynch","11115",9,0,"click-point"
"S3JZD","asynch","11115",10,0,"click-point"
"S3JZD","asynch","11115",11,0,"click-point"
"S3JZD","asynch","11115",12,0,"click-point"
"S3JZD","asynch","11115",13,0,"click-point"
"XHMNM","asynch","11115",1,0,"click-point"
"XHMNM","asynch","11115",2,0,"click-point"
"XHMNM","asynch","11115",3,0,"click-point"
"XHMNM","asynch","11115",4,1,"click-point"
"XHMNM","asynch","11115",5,1,"click-point"
"XHMNM","asynch","11115",6,1,"click-point"
"XHMNM","asynch","11115",7,1,"click-point"
"XHMNM","asynch","11115",8,1,"click-point"
"XHMNM","asynch","11115",9,1,"click-point"
"XHMNM","asynch","11115",10,1,"click-point"
"XHMNM","asynch","11115",11,1,"click-point"
"XHMNM","asynch","11115",12,1,"click-point"
"XHMNM","asynch","11115",13,1,"click-point"
"UV0QH","asynch","11115",1,0,"click-point"
"UV0QH","asynch","11115",2,0,"click-point"
"UV0QH","asynch","11115",3,0,"click-point"
"UV0QH","asynch","11115",4,0,"click-point"
"UV0QH","asynch","11115",5,0,"click-point"
"UV0QH","asynch","11115",6,0,"click-point"
"UV0QH","asynch","11115",7,0,"click-point"
"UV0QH","asynch","11115",8,0,"click-point"
"UV0QH","asynch","11115",9,0,"click-point"
"UV0QH","asynch","11115",10,0,"click-point"
"UV0QH","asynch","11115",11,0,"click-point"
"UV0QH","asynch","11115",12,0,"click-point"
"UV0QH","asynch","11115",13,0,"click-point"
"T2MAH","asynch","11115",1,0,"click-point"
"T2MAH","asynch","11115",2,0,"click-point"
"T2MAH","asynch","11115",3,0,"click-point"
"T2MAH","asynch","11115",4,0,"click-point"
"T2MAH","asynch","11115",5,0,"click-point"
"T2MAH","asynch","11115",6,0,"click-point"
"T2MAH","asynch","11115",7,0,"click-point"
"T2MAH","asynch","11115",8,0,"click-point"
"T2MAH","asynch","11115",9,0,"click-point"
"T2MAH","asynch","11115",10,0,"click-point"
"T2MAH","asynch","11115",11,0,"click-point"
"T2MAH","asynch","11115",12,0,"click-point"
"T2MAH","asynch","11115",13,0,"click-point"
"WEFE3","asynch","11115",1,0,"click-point"
"WEFE3","asynch","11115",2,0,"click-point"
"WEFE3","asynch","11115",3,0,"click-point"
"WEFE3","asynch","11115",4,0,"click-point"
"WEFE3","asynch","11115",5,0,"click-point"
"WEFE3","asynch","11115",6,0,"click-point"
"WEFE3","asynch","11115",7,0,"click-point"
"WEFE3","asynch","11115",8,0,"click-point"
"WEFE3","asynch","11115",9,0,"click-point"
"WEFE3","asynch","11115",10,0,"click-point"
"WEFE3","asynch","11115",11,0,"click-point"
"WEFE3","asynch","11115",12,0,"click-point"
"WEFE3","asynch","11115",13,0,"click-point"
"6TQE3","asynch","11115",1,1,"click-point"
"6TQE3","asynch","11115",2,2,"click-point"
"6TQE3","asynch","11115",3,2,"click-point"
"6TQE3","asynch","11115",4,2,"click-point"
"6TQE3","asynch","11115",5,2,"click-point"
"6TQE3","asynch","11115",6,2,"click-point"
"6TQE3","asynch","11115",7,2,"click-point"
"6TQE3","asynch","11115",8,2,"click-point"
"6TQE3","asynch","11115",9,2,"click-point"
"6TQE3","asynch","11115",10,2,"click-point"
"6TQE3","asynch","11115",11,2,"click-point"
"6TQE3","asynch","11115",12,2,"click-point"
"6TQE3","asynch","11115",13,2,"click-point"
"ES98M","asynch","11115",1,0,"click-point"
"ES98M","asynch","11115",2,0,"click-point"
"ES98M","asynch","11115",3,0,"click-point"
"ES98M","asynch","11115",4,0,"click-point"
"ES98M","asynch","11115",5,0,"click-point"
"ES98M","asynch","11115",6,0,"click-point"
"ES98M","asynch","11115",7,0,"click-point"
"ES98M","asynch","11115",8,1,"click-point"
"ES98M","asynch","11115",9,1,"click-point"
"ES98M","asynch","11115",10,1,"click-point"
"ES98M","asynch","11115",11,1,"click-point"
"ES98M","asynch","11115",12,1,"click-point"
"ES98M","asynch","11115",13,1,"click-point"
"OLFCD","asynch","11115",1,0,"click-point"
"OLFCD","asynch","11115",2,0,"click-point"
"OLFCD","asynch","11115",3,0,"click-point"
"OLFCD","asynch","11115",4,0,"click-point"
"OLFCD","asynch","11115",5,1,"click-point"
"OLFCD","asynch","11115",6,1,"click-point"
"OLFCD","asynch","11115",7,1,"click-point"
"OLFCD","asynch","11115",8,1,"click-point"
"OLFCD","asynch","11115",9,1,"click-point"
"OLFCD","asynch","11115",10,1,"click-point"
"OLFCD","asynch","11115",11,1,"click-point"
"OLFCD","asynch","11115",12,1,"click-point"
"OLFCD","asynch","11115",13,1,"click-point"
"KW3D0","asynch","11115",1,0,"click-point"
"KW3D0","asynch","11115",2,0,"click-point"
"KW3D0","asynch","11115",3,0,"click-point"
"KW3D0","asynch","11115",4,0,"click-point"
"KW3D0","asynch","11115",5,0,"click-point"
"KW3D0","asynch","11115",6,0,"click-point"
"KW3D0","asynch","11115",7,0,"click-point"
"KW3D0","asynch","11115",8,0,"click-point"
"KW3D0","asynch","11115",9,0,"click-point"
"KW3D0","asynch","11115",10,0,"click-point"
"KW3D0","asynch","11115",11,0,"click-point"
"KW3D0","asynch","11115",12,0,"click-point"
"KW3D0","asynch","11115",13,0,"click-point"
"Y82VR","asynch","11115",1,0,"click-point"
"Y82VR","asynch","11115",2,0,"click-point"
"Y82VR","asynch","11115",3,0,"click-point"
"Y82VR","asynch","11115",4,0,"click-point"
"Y82VR","asynch","11115",5,0,"click-point"
"Y82VR","asynch","11115",6,0,"click-point"
"Y82VR","asynch","11115",7,0,"click-point"
"Y82VR","asynch","11115",8,0,"click-point"
"Y82VR","asynch","11115",9,0,"click-point"
"Y82VR","asynch","11115",10,0,"click-point"
"Y82VR","asynch","11115",11,0,"click-point"
"Y82VR","asynch","11115",12,0,"click-point"
"Y82VR","asynch","11115",13,0,"click-point"
"WBJQG","asynch","11115",1,0,"click-point"
"WBJQG","asynch","11115",2,0,"click-point"
"WBJQG","asynch","11115",3,0,"click-point"
"WBJQG","asynch","11115",4,0,"click-point"
"WBJQG","asynch","11115",5,0,"click-point"
"WBJQG","asynch","11115",6,0,"click-point"
"WBJQG","asynch","11115",7,0,"click-point"
"WBJQG","asynch","11115",8,0,"click-point"
"WBJQG","asynch","11115",9,0,"click-point"
"WBJQG","asynch","11115",10,0,"click-point"
"WBJQG","asynch","11115",11,0,"click-point"
"WBJQG","asynch","11115",12,0,"click-point"
"WBJQG","asynch","11115",13,0,"click-point"
"SLYYU","asynch","11115",1,0,"click-point"
"SLYYU","asynch","11115",2,0,"click-point"
"SLYYU","asynch","11115",3,0,"click-point"
"SLYYU","asynch","11115",4,0,"click-point"
"SLYYU","asynch","11115",5,0,"click-point"
"SLYYU","asynch","11115",6,0,"click-point"
"SLYYU","asynch","11115",7,0,"click-point"
"SLYYU","asynch","11115",8,0,"click-point"
"SLYYU","asynch","11115",9,0,"click-point"
"SLYYU","asynch","11115",10,0,"click-point"
"SLYYU","asynch","11115",11,0,"click-point"
"SLYYU","asynch","11115",12,1,"click-point"
"SLYYU","asynch","11115",13,1,"click-point"
"4BCUB","asynch","11115",1,0,"click-point"
"4BCUB","asynch","11115",2,0,"click-point"
"4BCUB","asynch","11115",3,0,"click-point"
"4BCUB","asynch","11115",4,0,"click-point"
"4BCUB","asynch","11115",5,0,"click-point"
"4BCUB","asynch","11115",6,0,"click-point"
"4BCUB","asynch","11115",7,0,"click-point"
"4BCUB","asynch","11115",8,0,"click-point"
"4BCUB","asynch","11115",9,0,"click-point"
"4BCUB","asynch","11115",10,0,"click-point"
"4BCUB","asynch","11115",11,0,"click-point"
"4BCUB","asynch","11115",12,0,"click-point"
"4BCUB","asynch","11115",13,0,"click-point"
"11NFO","asynch","11115",1,0,"click-point"
"11NFO","asynch","11115",2,0,"click-point"
"11NFO","asynch","11115",3,0,"click-point"
"11NFO","asynch","11115",4,0,"click-point"
"11NFO","asynch","11115",5,1,"click-point"
"11NFO","asynch","11115",6,1,"click-point"
"11NFO","asynch","11115",7,1,"click-point"
"11NFO","asynch","11115",8,1,"click-point"
"11NFO","asynch","11115",9,1,"click-point"
"11NFO","asynch","11115",10,1,"click-point"
"11NFO","asynch","11115",11,1,"click-point"
"11NFO","asynch","11115",12,1,"click-point"
"11NFO","asynch","11115",13,1,"click-point"
"WF1M3","asynch","11115",1,0,"click-point"
"WF1M3","asynch","11115",2,0,"click-point"
"WF1M3","asynch","11115",3,0,"click-point"
"WF1M3","asynch","11115",4,0,"click-point"
"WF1M3","asynch","11115",5,0,"click-point"
"WF1M3","asynch","11115",6,0,"click-point"
"WF1M3","asynch","11115",7,0,"click-point"
"WF1M3","asynch","11115",8,0,"click-point"
"WF1M3","asynch","11115",9,0,"click-point"
"WF1M3","asynch","11115",10,0,"click-point"
"WF1M3","asynch","11115",11,0,"click-point"
"WF1M3","asynch","11115",12,0,"click-point"
"WF1M3","asynch","11115",13,0,"click-point"
"MCJ0W","asynch","11115",1,0,"click-point"
"MCJ0W","asynch","11115",2,0,"click-point"
"MCJ0W","asynch","11115",3,0,"click-point"
"MCJ0W","asynch","11115",4,0,"click-point"
"MCJ0W","asynch","11115",5,0,"click-point"
"MCJ0W","asynch","11115",6,0,"click-point"
"MCJ0W","asynch","11115",7,0,"click-point"
"MCJ0W","asynch","11115",8,0,"click-point"
"MCJ0W","asynch","11115",9,0,"click-point"
"MCJ0W","asynch","11115",10,0,"click-point"
"MCJ0W","asynch","11115",11,0,"click-point"
"MCJ0W","asynch","11115",12,0,"click-point"
"MCJ0W","asynch","11115",13,0,"click-point"
"XJLSB","asynch","11115",1,0,"click-point"
"XJLSB","asynch","11115",2,0,"click-point"
"XJLSB","asynch","11115",3,0,"click-point"
"XJLSB","asynch","11115",4,0,"click-point"
"XJLSB","asynch","11115",5,0,"click-point"
"XJLSB","asynch","11115",6,0,"click-point"
"XJLSB","asynch","11115",7,0,"click-point"
"XJLSB","asynch","11115",8,0,"click-point"
"XJLSB","asynch","11115",9,0,"click-point"
"XJLSB","asynch","11115",10,0,"click-point"
"XJLSB","asynch","11115",11,0,"click-point"
"XJLSB","asynch","11115",12,0,"click-point"
"XJLSB","asynch","11115",13,0,"click-point"
"FFHE0","asynch","11115",1,0,"click-point"
"FFHE0","asynch","11115",2,0,"click-point"
"FFHE0","asynch","11115",3,0,"click-point"
"FFHE0","asynch","11115",4,0,"click-point"
"FFHE0","asynch","11115",5,1,"click-point"
"FFHE0","asynch","11115",6,1,"click-point"
"FFHE0","asynch","11115",7,1,"click-point"
"FFHE0","asynch","11115",8,1,"click-point"
"FFHE0","asynch","11115",9,1,"click-point"
"FFHE0","asynch","11115",10,1,"click-point"
"FFHE0","asynch","11115",11,1,"click-point"
"FFHE0","asynch","11115",12,1,"click-point"
"FFHE0","asynch","11115",13,1,"click-point"
"3N5PQ","asynch","11115",1,0,"click-point"
"3N5PQ","asynch","11115",2,0,"click-point"
"3N5PQ","asynch","11115",3,0,"click-point"
"3N5PQ","asynch","11115",4,0,"click-point"
"3N5PQ","asynch","11115",5,1,"click-point"
"3N5PQ","asynch","11115",6,1,"click-point"
"3N5PQ","asynch","11115",7,1,"click-point"
"3N5PQ","asynch","11115",8,1,"click-point"
"3N5PQ","asynch","11115",9,1,"click-point"
"3N5PQ","asynch","11115",10,1,"click-point"
"3N5PQ","asynch","11115",11,1,"click-point"
"3N5PQ","asynch","11115",12,1,"click-point"
"3N5PQ","asynch","11115",13,1,"click-point"
"R8SJJ","asynch","11115",1,0,"click-point"
"R8SJJ","asynch","11115",2,0,"click-point"
"R8SJJ","asynch","11115",3,0,"click-point"
"R8SJJ","asynch","11115",4,0,"click-point"
"R8SJJ","asynch","11115",5,0,"click-point"
"R8SJJ","asynch","11115",6,0,"click-point"
"R8SJJ","asynch","11115",7,0,"click-point"
"R8SJJ","asynch","11115",8,0,"click-point"
"R8SJJ","asynch","11115",9,0,"click-point"
"R8SJJ","asynch","11115",10,0,"click-point"
