"subject","mode","condition","question","score","pretty_condition"
"K4OUL","asynch","11115",2,0,"click-point"
"K4OUL","asynch","11115",3,0,"click-point"
"K4OUL","asynch","11115",4,1,"click-point"
"K4OUL","asynch","11115",5,1,"click-point"
"K4OUL","asynch","11115",6,1,"click-point"
"K4OUL","asynch","11115",7,1,"click-point"
"K4OUL","asynch","11115",8,2,"click-point"
"K4OUL","asynch","11115",9,2,"click-point"
"K4OUL","asynch","11115",10,2,"click-point"
"K4OUL","asynch","11115",11,3,"click-point"
"K4OUL","asynch","11115",12,4,"click-point"
"K4OUL","asynch","11115",13,5,"click-point"
"AEEBQ","asynch","11115",1,0,"click-point"
"AEEBQ","asynch","11115",2,0,"click-point"
"AEEBQ","asynch","11115",3,0,"click-point"
"AEEBQ","asynch","11115",4,0,"click-point"
"AEEBQ","asynch","11115",5,0,"click-point"
"AEEBQ","asynch","11115",6,0,"click-point"
"AEEBQ","asynch","11115",7,0,"click-point"
"AEEBQ","asynch","11115",8,0,"click-point"
"AEEBQ","asynch","11115",9,0,"click-point"
"AEEBQ","asynch","11115",10,0,"click-point"
"AEEBQ","asynch","11115",11,0,"click-point"
"AEEBQ","asynch","11115",12,0,"click-point"
"AEEBQ","asynch","11115",13,0,"click-point"
"Z84ZV","asynch","11115",1,0,"click-point"
"Z84ZV","asynch","11115",2,0,"click-point"
"Z84ZV","asynch","11115",3,0,"click-point"
"Z84ZV","asynch","11115",4,0,"click-point"
"Z84ZV","asynch","11115",5,0,"click-point"
"Z84ZV","asynch","11115",6,0,"click-point"
"Z84ZV","asynch","11115",7,0,"click-point"
"Z84ZV","asynch","11115",8,0,"click-point"
"Z84ZV","asynch","11115",9,0,"click-point"
"Z84ZV","asynch","11115",10,0,"click-point"
"Z84ZV","asynch","11115",11,0,"click-point"
"Z84ZV","asynch","11115",12,0,"click-point"
"Z84ZV","asynch","11115",13,0,"click-point"
"K83ZA","asynch","11115",1,0,"click-point"
"K83ZA","asynch","11115",2,0,"click-point"
"K83ZA","asynch","11115",3,0,"click-point"
"K83ZA","asynch","11115",4,0,"click-point"
"K83ZA","asynch","11115",5,0,"click-point"
"K83ZA","asynch","11115",6,0,"click-point"
"K83ZA","asynch","11115",7,0,"click-point"
"K83ZA","asynch","11115",8,0,"click-point"
"K83ZA","asynch","11115",9,0,"click-point"
"K83ZA","asynch","11115",10,0,"click-point"
"K83ZA","asynch","11115",11,0,"click-point"
