"","subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt","item_q1_state","OSPAN.weighted","OSPAN.math_acc","OSPAN.order_acc","z_ospan","ospan_split"
"11","3SYRX","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.54665,"NULL","NULL","NULL","NULL","impasse","online-replication",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,1,4.4079,20.3441538461538,7.164,71.128,13,0,0,0,0,0,0,0,1,1,"Triangular",35.344,1,1,"Triangular",13.684,1,"Triangular",38.99,1,"Triangular",12.949,5,5,1.42683333333333,8,8,2.98106666666667,"tri-like",24.2068965517241,0.931034482758621,0.866666666666667,0.693334512655508,"high-memory"
"12","431GR","111","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.29108333333333,"NULL","NULL","NULL","NULL","control","online-replication",11.7666666666667,-0.802413273001508,7.33216783216783,0,0,11,11,11.5,0.846153846153846,4.86775,22.4665384615385,7.681,73.987,12,0,0,0,1,0,1,0,1,1,"Triangular",73.987,1,1,"Triangular",15.118,1,"Triangular",32.776,1,"Triangular",16.396,4,3.5,2.17696666666667,7,8,2.69078333333333,"tri-like",21.2413793103448,0.96551724137931,0.733333333333333,0.292102023115729,"high-memory"
"13","57C0V","121","fall21","asynch","Female",20,"Spanish","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",20.4693,"NULL","NULL","NULL","NULL","impasse","online-replication",0.798914565826331,7,-0.512322236586942,1.5,0,1,1,-7,0.0769230769230769,11.90745,54.9574615384615,16.537,132.02,1,7,0,1,4,0,0,4,0,0,"blank",28.553,0,0,"blank",85.633,0,"Orthogonal",29.916,0,"Orthogonal",37.445,1,0,4.02111666666667,0,-7,7.88633333333333,"unknown",19,1,0.633333333333333,-0.0111550910713105,"low-memory"
"14","57KJC","121","fall21","asynch","Male",22,"Spanish","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.4557,"NULL","NULL","NULL","NULL","impasse","online-replication",12.9285714285714,-0.208823529411765,7.50641025641026,0.626373626373626,0,12,12,12.5,0.923076923076923,5.66525,26.1473076923077,9.662,56.166,12,0,1,0,0,1,0,0,0,0.5,"Tversky",27.72,1,1,"Triangular",37.973,1,"Triangular",56.166,1,"Triangular",10.679,4,4.5,2.52621666666667,8,8,3.13903333333333,"tri-like",22.2068965517241,0.96551724137931,0.766666666666667,0.422735856919377,"high-memory"
"15","5P3XF","121","fall21","asynch","Female",20,"Spanish","Second","Ecuador","NULL","NULL","NULL","NULL","NULL","NULL",8.77106666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",10.7333333333333,-0.842156862745098,7.50641025641026,0.697802197802198,0,11,11,10,0.846153846153846,5.96161666666667,27.5151538461538,6.296,118.073,11,0,0,0,2,0,2,0,1,1,"Triangular",8.526,1,1,"Triangular",118.073,1,"Triangular",24.553,1,"Triangular",105.296,5,5,2.6333,6,5,3.32831666666667,"tri-like",17.0344827586207,0.896551724137931,0.633333333333333,-0.277088252743024,"low-memory"
"16","5TMTW","121","fall21","asynch","Male",19,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.3727166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.715050635638871,8,-0.942954104718811,4,0,0,0,-12,0,8.35865,38.5783846153846,6.231,87.621,0,8,0,4,1,0,0,1,0,-1,"Satisfice",59.061,0,0,"blank",87.621,0,"Orthogonal",22.316,0,"Orthogonal",40.702,0,-4,5.04833333333333,0,-8,3.31031666666667,"orth-like",28,0.96551724137931,0.966666666666667,1.20653885974128,"high-memory"
"17","60VNG","121","fall21","asynch","Female",28,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4892833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.272514005602241,5.37450980392157,-0.510504201680672,1.5,0,0,0,-8.5,0,6.12781666666667,28.2822307692308,8.778,55.465,0,5,0,2,6,0,3,3,0,-1,"Satisfice",33.011,0,0,"blank",55.465,0,"Orthogonal",16.916,0,"?",29.354,0,-2,2.60765,0,-6.5,3.52016666666667,"orth-like",10.7586206896552,0.896551724137931,0.4,-1.12620817246674,"low-memory"
"18","694WT","111","fall21","asynch","Female",20,"Mandarin or Cantonese","Third","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",29.49675,"NULL","NULL","NULL","NULL","control","online-replication",-0.385584268672504,9.83974358974359,0.412572721396251,0,0,0,0,-10.5,0,22.9039333333333,105.710461538462,9.797,289.179,0,10,1,0,2,1,2,0,0,-1,"Orthogonal",27.273,0,-0.5,"?",289.179,0,"Orthogonal",41.031,0,"Orthogonal",74.222,0,-3,12.4552,0,-7.5,10.4487333333333,"orth-like",13.0344827586207,0.931034482758621,0.466666666666667,-0.818285564215286,"low-memory"
"19","6VLV8","121","fall21","asynch","Female",19,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",9.54406666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.794675177763413,5.93333333333333,-0.0159987071751778,0.346153846153846,0,0,0,-7.5,0,6.88726666666667,31.7873846153846,3.894,80.911,0,6,1,1,5,1,2,3,0,0,"blank",36.933,0,0.5,"Tversky",56.859,0,"Orthogonal",20.992,0,"?",3.894,0,-1,3.27095,0,-6.5,3.61631666666667,"unknown",6.82758620689655,0.758620689655172,0.3,-1.65807449581018,"low-memory"
"20","776UX","111","fall21","asynch","Female",20,"English","Third","United states","NULL","NULL","NULL","NULL","NULL","NULL",27.4013666666667,"NULL","NULL","NULL","NULL","control","online-replication",-0.702250935339171,10.6166666666667,0.850072721396251,0,0,0,0,-10.5,0,15.7556166666667,72.7182307692308,19.909,200.762,0,10,1,0,2,1,2,0,0,-1,"Orthogonal",19.909,0,-1,"Orthogonal",200.762,0,"Orthogonal",31.338,0,"Tversky",53.76,0,-5,7.24698333333333,0,-5.5,8.50863333333333,"orth-like",22,1,0.733333333333333,0.394742892532886,"high-memory"
