"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",18.9988,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",27.625
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",19.80685,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",48.389
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",21.2396833333333,"Which shift(s) begin when C ends?","meets","3","FALSE","X,J,H,F,K,D,U,E,G,B",85.89
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",22.3345,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U,Z",65.445
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",23.4419166666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","U",66.193
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",23.7300166666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",8.313
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",24.04065,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",18.549
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",24.5583666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E,I",30.974
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",25.1987,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",38.328
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",25.34695,"Which shift(s) end at the same time as F?","ends","10","FALSE","B",8.806
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",25.5374,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",11.34
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",25.6828,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",8.632
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",26.4194,"Which 2 shifts end when Z begins?","meets","13","FALSE","B,F,X",44.108
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",26.7995666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","",22.723
"M2JR0","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",27.27135,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","F",28.22
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",0.4213,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",9.974
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",0.505216666666667,"Which shift(s) start at the same time as D?","starts","2","FALSE","J",4.964
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",0.616583333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","",6.606
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",0.633716666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","A",0.95
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",0.650383333333333,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","A",0.925
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_nondiscriminant","1","1","1","3","",600,600,"triangular",0.743916666666667,"Which shift(s) are six hours long?","duration","6","FALSE","F",1.39
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.770633333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","N",1.535
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.787283333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","J",0.931
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_nondiscriminant","1","1","1","3","",600,600,"triangular",0.802016666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","J",0.814
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.81475,"Which shift(s) end at the same time as F?","ends","10","FALSE","J",0.698
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.826833333333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","J",0.653
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.84045,"Which shift(s) start at the same time as F?","starts","12","FALSE","J",0.746
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_nondiscriminant","1","1","1","3","",600,600,"triangular",0.855783333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE","K",0.849
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.868516666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","O",0.691
"VZBBV","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",0.880733333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","O",0.665
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",0.484033333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",11.164
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",1.01263333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",31.619
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",2.35053333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","I",80.168
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",2.56773333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",12.662
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_scaffold","1","1","1","3","",600,600,"triangular",3.81996666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","U",75.042
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_nondiscriminant","1","1","1","3","",600,600,"triangular",4.11403333333333,"Which shift(s) are six hours long?","duration","6","FALSE","J,M",15.707
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",6.4855,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","H,L",142.181
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",7.7605,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",76.084
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_nondiscriminant","1","1","1","3","",600,600,"triangular",10.8939333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","J",187.685
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",10.9503166666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","N",3.119
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",10.9730666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","N",1.272
