"subject","study","term","pool","mode","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s","condition","pretty_condition"
"N4119","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",1.458,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",17.946,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",1.59293333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",8.009,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",1.94583333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",21.088,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",2.58248333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",38.119,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",3.32566666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",44.502,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",3.59415,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",13.807,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",3.99418333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",23.916,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",4.38163333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E,I",23.165,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",4.63791666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",14.98,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",5.003,"Which shift(s) end at the same time as F?","ends","10","TRUE","E",21.819,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",5.4221,"Which shift(s) start at 12pm?","starttime","11","TRUE","L,M",25.068,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",5.58263333333333,"Which shift(s) start at the same time as F?","starts","12","TRUE","G",8.936,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",5.88583333333333,"Which 2 shifts end when Z begins?","meets","13","TRUE","E,F",18.103,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",5.99423333333333,"Which shift(s) end at 3pm?","endtime","14","TRUE","X",6.422,"1113","cross"
"N4119","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",6.21678333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","TRUE","K,X",13.268,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",0.78285,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",13.066,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",1.05878333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",16.424,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",1.32675,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",15.937,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",2.75755,"Which shift(s) end at 4 pm?","endtime","4","FALSE","O,F,U",85.707,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_scaffold","1","1","1","3","",600,600,"triangular",3.40236666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","H,K,B",38.079,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",3.67971666666667,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",10.81,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",4.54828333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",51.97,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",5.35263333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",48.133,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_nondiscriminant","1","1","1","3","",600,600,"triangular",5.45663333333333,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","H,X",6.102,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",7.32098333333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","X",111.319,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",7.46951666666667,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",8.566,"1113","cross"
"YO7KR","SGC4B","winter22","sona","asynch","item_test","1","1","1","3","",600,600,"triangular",7.68363333333333,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",12.703,"1113","cross"
