"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","override","score_SCALED","score_STATE"
"XAT3N","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,8.358,1,"Orth-Full","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"XAT3N","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,38.638,1,"Orth-Full","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"XAT3N","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,145.419,1,"Orth-Full","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"XAT3N","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"DEHIJO",FALSE,33.98,6,"Orth-Full","online-replication","none",0.636363636363636,-0.384615384615385,0.115384615384615,NA,NA,-0.571428571428571,-0.384615384615385,-0.416666666666667,NA,0,0,0,-0.384615384615385,"score_TV_start",NA,NA,0.636363636363636,"score_TRI",1.02097902097902,"frenzy","frenzy","neg.trans","",-0.5,"unknown"
"XAT3N","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,7.876,2,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"XAT3N","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,34.386,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,-0.2,-0.125,-0.142857142857143,-0.125,0,0,0,-0.125,"score_TV_start",NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"XAT3N","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,66.185,1,"Orth-Full","online-replication","none",-0.0666666666666667,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.06666666666667,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"XAT3N","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,89.071,1,"Orth-Full","online-replication","none",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans","",0.5,"tri-like"
"XAT3N","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,109.111,1,"Orth-Full","online-replication","none",-0.0625,1,0.5,NA,NA,-0.0714285714285714,-0.0625,-0.0625,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
"XAT3N","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,11.712,2,"Orth-Full","online-replication","none",-0.125,1,0.5,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,"score_ORTH",1.125,"Orthogonal","Orthogonal","orthogonal","",-1,"orth-like"
