"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"8LGZ4","111","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0189666666667,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,11.4411764705882,-0.146250808015514,0,0,0,0,-12.5,0,10.35565,47.7953076923077,13.202,90.134,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",52.822,0,-1,"Orthogonal",90.134,0,"Orthogonal",31.523,0,"Orthogonal",49.454,0,-5,4.36541666666667,0,-7.5,5.99023333333333
"8LK9M","121","spring18","lab-synch","Female",20,"English","Fourth","Lebanon","NULL","NULL","NULL","NULL","NULL","NULL",11.10275,"NULL","NULL","NULL","NULL","impasse","laboratory",10.8461538461538,-0.142156862745098,7.42307692307692,0.620879120879121,0,11,11,10.5,0.846153846153846,5.12775,23.6665384615385,7.552,56.608,11,0,0,0,2,0,1,1,1,1,"Triangular",44.79,0,-0.5,"?",56.608,1,"Triangular",23.321,1,"Triangular",29.487,4,3.5,2.39136666666667,7,7,2.73638333333333
"8V51R","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.26815,"NULL","NULL","NULL","NULL","control","laboratory",-0.577250935339171,11.875,-0.208750808015514,0,0,0,0,-12.5,0,7.85155,36.2379230769231,10.142,91.909,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",23.958,0,-1,"Orthogonal",91.909,0,"Orthogonal",16.185,0,"Orthogonal",53.057,0,-5,3.77548333333333,0,-7.5,4.07606666666667
"9393C","121","spring18","lab-synch","Female",20,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.18255,"NULL","NULL","NULL","NULL","impasse","laboratory",-0.488860159448395,8,-0.729584141348847,3,1,0,0,-12,0,10.2809666666667,47.4506153846154,7.655,111.385,0,8,0,4,1,0,0,1,0,-1,"Satisfice",50.148,0,-1,"Satisfice",75.085,0,"Orthogonal",13.905,0,"Orthogonal",99.846,0,-4,5.40266666666667,0,-8,4.8783
"9BBMD","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6271166666667,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.37408333333333,34.0342307692308,7.066,95.222,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",17.959,0,-1,"Orthogonal",95.222,0,"Orthogonal",25.158,0,"Orthogonal",47.246,0,-5,3.1859,0,-8,4.18818333333333
"A9CZD","111","spring18","lab-synch","Female",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.80395,"NULL","NULL","NULL","NULL","control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,12,13,13,1,4.61596666666667,21.3044615384615,8.204,68.595,13,0,0,0,0,0,0,0,1,1,"Triangular",68.595,1,1,"Triangular",34.389,1,"Triangular",27.399,1,"Triangular",17.736,5,5,2.3731,8,8,2.24286666666667
"AFQCB","121","spring18","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.5747666666667,"NULL","NULL","NULL","NULL","impasse","laboratory",1.24923507864684,8,1.00851109674639,1.39010989010989,0,1,1,-9.5,0.0769230769230769,10.3828166666667,47.9206923076923,5.564,148.03,1,8,0,1,3,0,3,0,1,1,"Triangular",50.768,0,-1,"Satisfice",148.03,0,"Orthogonal",17.981,0,"Orthogonal",76.587,1,-1.5,6.84578333333333,0,-8,3.53703333333333
"AJZV2","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2914166666667,"NULL","NULL","NULL","NULL","impasse","laboratory",12,-0.213585434173669,6.50641025641026,0.769230769230769,0,12,12,12,0.923076923076923,8.95838333333333,41.3463846153846,9.463,127.435,12,0,0,0,1,0,0,1,0,0,"blank",127.435,1,1,"Triangular",30.985,1,"Triangular",46.331,1,"Triangular",38.165,4,4,4.73876666666667,8,8,4.21961666666667
"ASEGP","121","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.0948333333333,"NULL","NULL","NULL","NULL","impasse","laboratory",-0.631717302305538,8,-0.866031027795734,3,1,0,0,-11,0,7.66673333333333,35.3849230769231,4.928,82.876,0,8,0,3,2,0,0,2,0,-1,"Satisfice",40.456,0,0,"blank",69.646,0,"Orthogonal",17.245,0,"Orthogonal",26.363,0,-3,4.7566,0,-8,2.91013333333333
"B3OKB","111","fall17","lab-synch","Male",19,"English","First","India","NULL","NULL","NULL","NULL","NULL","NULL",13.4522833333333,"NULL","NULL","NULL","NULL","control","laboratory",5.48573926073926,6.99117647058824,3.82188644688645,0,0,5,6,-1,0.461538461538462,7.3651,33.9927692307692,5.908,111.684,6,7,0,0,0,0,0,0,0,-1,"Orthogonal",25.98,0,-1,"Orthogonal",111.684,0,"Orthogonal",21.583,1,"Triangular",34.206,0,-5,4.27425,6,4,3.09085
"B4LD9","111","spring18","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.3928666666667,"NULL","NULL","NULL","NULL","control","laboratory",1.57209653092006,8.68092006033183,0.622764490411549,0,0,2,2,-6.5,0.153846153846154,7.13236666666667,32.9186153846154,11.501,79.096,2,9,1,0,1,1,0,1,0,-1,"Orthogonal",41.071,1,1,"Triangular",57.625,0,"Orthogonal",18.713,0,"Orthogonal",37.276,2,0.5,2.72613333333333,0,-7,4.40623333333333
"BKTUJ","111","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0787833333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.455927405927406,12,-0.0874272786037492,0,0,0,0,-12,0,11.3720166666667,52.4862307692308,12.115,123.736,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",53.503,0,-1,"Orthogonal",67.152,0,"Orthogonal",18.794,0,"Orthogonal",69.587,0,-5,6.25883333333333,0,-7,5.11318333333333
"CC7G0","111","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","china","NULL","NULL","NULL","NULL","NULL","NULL",10.9969166666667,"NULL","NULL","NULL","NULL","control","laboratory",11.7333333333333,0.388062917474682,8.08974358974359,0,0,12,12,11,0.923076923076923,4.23181666666667,19.5314615384615,6.626,73.064,12,1,0,0,0,0,0,0,1,1,"Triangular",37.525,1,1,"Triangular",20.514,1,"Triangular",24.935,1,"Triangular",11.537,5,5,1.39098333333333,7,6,2.84083333333333
"CK5DF","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0937833333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,0,6.20553333333333,28.6409230769231,12.324,66.932,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",26.179,0,-0.5,"?",66.932,0,"Orthogonal",24.354,0,"Orthogonal",33.899,0,-4.5,2.5769,0,-8,3.62863333333333
"CKRHQ","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.3070333333333,"NULL","NULL","NULL","NULL","impasse","laboratory",-0.703283236371472,6.21428571428571,0.322829131652661,1.26923076923077,0,0,0,-9.5,0,8.6987,40.1478461538462,11.553,83.486,0,7,1,2,3,1,2,1,0,-1,"Satisfice",63.168,0,-1,"Satisfice",50.645,0,"Orthogonal",19.494,0,"Orthogonal",46.335,0,-2,4.24245,0,-7.5,4.45625
"D3LUH","121","spring18","lab-synch","Male",20,"Other","Third","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",10.5063333333333,"NULL","NULL","NULL","NULL","impasse","laboratory",11.8571428571429,-0.213585434173669,6.36355311355311,1.76923076923077,0,12,12,11,0.923076923076923,4.47685,20.6623846153846,7.929,61.056,12,0,0,1,0,0,0,0,0,-1,"Satisfice",61.056,1,1,"Triangular",15.482,1,"Triangular",34.879,1,"Triangular",24.779,4,3,2.15833333333333,8,8,2.31851666666667
"DC2Y0","121","fall17","lab-synch","Male",22,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.4990833333333,"NULL","NULL","NULL","NULL","impasse","laboratory",9.53974358974359,-0.213585434173669,5.81733462615816,1.01714951714952,0,9,9,7.5,0.692307692307692,8.6521,39.9327692307692,7.293,88.787,9,1,1,0,2,1,2,0,1,1,"Triangular",56.673,0,0.5,"Tversky",80.686,0,"Orthogonal",47.24,0,"?",88.787,4,4.5,3.97246666666667,5,3,4.67963333333333
"DD3DE","111","spring18","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0378,"NULL","NULL","NULL","NULL","control","laboratory",-0.452250935339171,12.5,-0.0874272786037492,0,0,0,0,-13,0,8.4072,38.8024615384615,11.695,98.364,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",36.889,0,-1,"Orthogonal",98.364,0,"Orthogonal",27.286,0,"Orthogonal",54.724,0,-5,3.74571666666667,0,-8,4.66148333333333
"DKL3R","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.19505,"NULL","NULL","NULL","NULL","impasse","laboratory",4.28865815556992,6.37083333333333,4.55269607843137,-0.379120879120879,0,5,5,0,0.384615384615385,6.2949,29.0533846153846,6.808,55.95,5,6,2,0,0,2,0,0,1,1,"Triangular",37.247,1,1,"Triangular",28.346,0,"Orthogonal",49.247,0,"Orthogonal",55.95,3,4,1.6972,2,-4,4.5977
"DM4T0","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.4068833333333,"NULL","NULL","NULL","NULL","impasse","laboratory",4.1228021978022,3.67867647058824,3.36173507864684,0.433816183816184,0,4,4,-0.5,0.307692307692308,10.8063666666667,49.8755384615385,3.769,240.581,4,4,2,0,3,2,3,0,1,1,"Triangular",70.053,0,0.5,"Tversky",240.581,0,"Orthogonal",26.785,0,"?",24.368,2,2.5,5.99228333333333,2,-3,4.81408333333333
"DOQRP","121","spring18","lab-synch","Male",21,"English","Fourth","u.S.","NULL","NULL","NULL","NULL","NULL","NULL",9.20731666666667,"NULL","NULL","NULL","NULL","impasse","laboratory",0.588062917474682,8,-0.729584141348847,0.769230769230769,0,1,1,-9,0.0769230769230769,6.86463333333333,31.6829230769231,11.837,67.124,1,8,0,1,3,0,2,1,0,-1,"Satisfice",17.15,1,1,"Triangular",15.543,0,"Orthogonal",41.774,0,"Orthogonal",59.052,1,-1,1.32051666666667,0,-8,5.54411666666667
"DQQQX","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.9024166666667,"NULL","NULL","NULL","NULL","control","laboratory",-1.07357446475094,11.9411764705882,-0.205074337427279,0,0,0,0,-13,0,9.43958333333333,43.5673076923077,8.158,216.639,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",34.394,0,-1,"Orthogonal",216.639,0,"Orthogonal",14.287,0,"Orthogonal",19.61,0,-5,5.88215,0,-8,3.55743333333333
"EC0K7","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.534,"NULL","NULL","NULL","NULL","control","laboratory",-1.01475093533917,12.5,-0.146250808015514,0,0,0,0,-13,0,8.94171666666667,41.2694615384615,8.397,149.386,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",38.747,0,-1,"Orthogonal",149.386,0,"Orthogonal",32.229,0,"Orthogonal",32.773,0,-5,4.59515,0,-8,4.34656666666667
"EENOM","111","fall17","lab-synch","Female",19,"English","Second","usa","NULL","NULL","NULL","NULL","NULL","NULL",11.0401666666667,"NULL","NULL","NULL","NULL","control","laboratory",-0.669512840101075,10.7333333333333,0.115653953889248,0,0,0,0,-11,0,7.82546666666667,36.1175384615385,5.542,115.512,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",14.161,0,-1,"Orthogonal",115.512,0,"Orthogonal",19.989,0,"Orthogonal",44.915,0,-3,3.22411666666667,0,-8,4.60135
"EFTYS","111","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.9688333333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.577250935339171,12.9375,0.853749191984486,0,0,0,0,-11.5,0,7.6111,35.1281538461538,8.877,83.132,0,12,1,0,0,1,0,0,0,-1,"Orthogonal",46.04,0,-1,"Orthogonal",83.132,0,"Orthogonal",16.986,0,"Orthogonal",43.055,0,-5,4.02138333333333,0,-6.5,3.58971666666667
"EGP0T","111","spring18","lab-synch","Female",18,"Mandarin or Cantonese","First","TAIWAN","NULL","NULL","NULL","NULL","NULL","NULL",10.9014833333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.96361666666667,32.1397692307692,8.228,114.486,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",20.331,0,-1,"Orthogonal",114.486,0,"Orthogonal",27.275,0,"Orthogonal",33.667,0,-5,3.32343333333333,0,-8,3.64018333333333
"EN7PB","111","fall17","lab-synch","Male",19,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8360833333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.511937082525318,8.73333333333333,-0.801012712777419,0,0,0,0,-10,0,6.67921666666667,30.8271538461538,7.2,161.026,0,9,0,0,4,0,2,2,0,-1,"Orthogonal",19.132,0,0,"blank",161.026,0,"Orthogonal",16.563,0,"Orthogonal",34.032,0,-3,3.58328333333333,0,-7,3.09593333333333
