"subject","mode","pretty_condition","question","score"
"HV8ZE","asynch","impasse",7,0
"HV8ZE","asynch","impasse",8,0
"HV8ZE","asynch","impasse",9,0
"HV8ZE","asynch","impasse",10,0
"HV8ZE","asynch","impasse",11,0
"HV8ZE","asynch","impasse",12,1
"HV8ZE","asynch","impasse",13,2
"G5HED","asynch","control",1,0
"G5HED","asynch","control",2,0
"G5HED","asynch","control",3,0
"G5HED","asynch","control",4,0
"G5HED","asynch","control",5,0
"G5HED","asynch","control",6,0
"G5HED","asynch","control",7,0
"G5HED","asynch","control",8,0
"G5HED","asynch","control",9,0
"G5HED","asynch","control",10,0
"G5HED","asynch","control",11,0
"G5HED","asynch","control",12,0
"G5HED","asynch","control",13,0
"V9JKJ","asynch","control",1,0
"V9JKJ","asynch","control",2,0
"V9JKJ","asynch","control",3,0
"V9JKJ","asynch","control",4,0
"V9JKJ","asynch","control",5,0
"V9JKJ","asynch","control",6,0
"V9JKJ","asynch","control",7,0
"V9JKJ","asynch","control",8,0
"V9JKJ","asynch","control",9,0
"V9JKJ","asynch","control",10,0
"V9JKJ","asynch","control",11,0
"V9JKJ","asynch","control",12,0
"V9JKJ","asynch","control",13,0
"4YF1J","asynch","control",1,0
"4YF1J","asynch","control",2,0
"4YF1J","asynch","control",3,0
"4YF1J","asynch","control",4,0
"4YF1J","asynch","control",5,1
"4YF1J","asynch","control",6,1
"4YF1J","asynch","control",7,1
"4YF1J","asynch","control",8,1
"4YF1J","asynch","control",9,1
"4YF1J","asynch","control",10,1
"4YF1J","asynch","control",11,1
"4YF1J","asynch","control",12,1
"4YF1J","asynch","control",13,1
"5QAJA","asynch","impasse",1,1
"5QAJA","asynch","impasse",2,2
"5QAJA","asynch","impasse",3,2
"5QAJA","asynch","impasse",4,2
"5QAJA","asynch","impasse",5,2
"5QAJA","asynch","impasse",6,3
"5QAJA","asynch","impasse",7,3
"5QAJA","asynch","impasse",8,4
"5QAJA","asynch","impasse",9,5
"5QAJA","asynch","impasse",10,6
"5QAJA","asynch","impasse",11,7
"5QAJA","asynch","impasse",12,8
"5QAJA","asynch","impasse",13,9
"04YXZ","asynch","control",1,0
"04YXZ","asynch","control",2,0
"04YXZ","asynch","control",3,0
"04YXZ","asynch","control",4,0
"04YXZ","asynch","control",5,0
"04YXZ","asynch","control",6,0
"04YXZ","asynch","control",7,0
"04YXZ","asynch","control",8,0
"04YXZ","asynch","control",9,0
"04YXZ","asynch","control",10,0
"04YXZ","asynch","control",11,0
"04YXZ","asynch","control",12,0
"04YXZ","asynch","control",13,0
"SKPWA","asynch","control",1,0
"SKPWA","asynch","control",2,0
"SKPWA","asynch","control",3,0
"SKPWA","asynch","control",4,0
"SKPWA","asynch","control",5,0
"SKPWA","asynch","control",6,0
"SKPWA","asynch","control",7,0
"SKPWA","asynch","control",8,0
"SKPWA","asynch","control",9,0
"SKPWA","asynch","control",10,0
"SKPWA","asynch","control",11,0
"SKPWA","asynch","control",12,0
"SKPWA","asynch","control",13,0
"76UV0","asynch","control",1,0
"76UV0","asynch","control",2,0
"76UV0","asynch","control",3,0
"76UV0","asynch","control",4,1
"76UV0","asynch","control",5,2
"76UV0","asynch","control",6,3
"76UV0","asynch","control",7,3
"76UV0","asynch","control",8,4
"76UV0","asynch","control",9,5
"76UV0","asynch","control",10,6
"76UV0","asynch","control",11,6
"76UV0","asynch","control",12,7
"76UV0","asynch","control",13,8
"94FR9","asynch","control",1,0
"94FR9","asynch","control",2,0
"94FR9","asynch","control",3,0
"94FR9","asynch","control",4,1
"94FR9","asynch","control",5,2
"94FR9","asynch","control",6,2
"94FR9","asynch","control",7,2
"94FR9","asynch","control",8,2
"94FR9","asynch","control",9,2
"94FR9","asynch","control",10,2
"94FR9","asynch","control",11,2
"94FR9","asynch","control",12,2
"94FR9","asynch","control",13,3
"X7HS7","asynch","impasse",1,0
"X7HS7","asynch","impasse",2,0
"X7HS7","asynch","impasse",3,0
"X7HS7","asynch","impasse",4,0
"X7HS7","asynch","impasse",5,1
