"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"1HLEP","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","2","3","","",44.3193,"impasse",-0.558260611937083,6.3078431372549,-0.146250808015514,-0.302197802197802,1,0,0,-8.5,20.69575,95.5188461538462,5.442,305.939,0,7,1,0,5,1,4,1,0,"?",305.939,0,"Tversky",252.681,0,"Orthogonal",22.266,0,"Orthogonal",65.201,0,923.431,0,318.314
"1JW7Y","121","fall21","asynch","Female",18,"Spanish","First","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",18.5217833333333,"impasse",-0.101039646627882,0.979166666666667,0.672659448394743,0.538461538461538,0,0,0,-5,15.5765833333333,71.8919230769231,8.908,169.615,1,1,1,1,9,1,9,0,0,"Satisfice",8.908,0,"?",73.394,0,"Triangular",123.021,0,"?",34.21,0,404.408,0,530.187
"1QMGP","121","fall21","asynch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.783,"impasse",-0.289285714285714,4.86666666666667,-0.581932773109244,2,0,0,0,-7.5,6.874,31.7261538461538,3.505,97.109,0,5,0,2,6,0,1,5,0,"Satisfice",22.277,0,"blank",36.449,0,"Orthogonal",16.808,0,"?",57.936,0,134.299,0,278.141
"1SY41","121","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.7524333333333,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,11.17565,51.5799230769231,10.349,180.359,13,0,0,0,0,0,0,0,1,"Triangular",180.359,1,"Triangular",91.223,1,"Triangular",34.994,1,"Triangular",111.081,5,361.115,8,309.424
"1THJX","121","fall17","lab-synch","Male",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.3307,"impasse",0.273960353372118,8,-1.04368670545141,2.76282051282051,0,0,0,-11.5,7.45835,34.4231538461538,8.633,138.494,0,8,0,3,2,0,1,1,0,"blank",138.494,0,"?",73.627,0,"Orthogonal",13.901,0,"Orthogonal",21.266,0,281.738,0,165.763
"1ZY3L","111","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"control",12.8017533936652,1.96425339366516,7.95399698340875,0,0,10,10,12,5.88351666666667,27.1546923076923,5.731,77.015,11,0,0,0,2,2,0,0,0,"both tri + orth",60.225,1,"Triangular",77.015,1,"Triangular",23.992,1,"Triangular",27.436,4,190.396,6,162.615
"23WXV","121","winter22","asynch","Female",23,"Spanish","Fifth","United States","I tried my best on most questions","1","4","3","Not applicable. ","Not applicable.",20.2262833333333,"impasse",11.9333333333333,-0.216666666666667,6.50641025641026,0.697802197802198,0,11,11,12,12.1067833333333,55.8774615384615,10.403,278.084,12,0,0,0,1,0,0,1,1,"Triangular",150.903,1,"Triangular",50.705,1,"Triangular",36.197,1,"Triangular",39.017,5,277.784,6,448.623
"240Y4","121","fall21","asynch","Female",21,"Other","Third","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",111.016266666667,"impasse",0.721991488903254,5.87083333333333,-0.599332040508511,-0.230769230769231,0,1,1,-7,5.31231666666667,24.5183846153846,5.856,55.383,1,6,0,0,6,0,4,2,0,"blank",41.14,1,"Triangular",19.82,0,"Orthogonal",27.24,0,"Orthogonal",29.737,1,99.825,0,218.914
"2BBZ9","111","fall17","lab-synch","Female",19,"English","Second","United States ","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,9.53566666666667,44.0107692307692,12.437,156.974,0,13,0,0,0,0,0,0,0,"Orthogonal",23.208,0,"Orthogonal",156.974,0,"Orthogonal",20.594,0,"Orthogonal",26.737,0,357.25,0,214.89
"2CZP7","111","fall21","asynch","Female",19,"English","Second","Untied States of America","NULL","NULL","NULL","NULL","NULL","NULL",19.0795833333333,"control",-0.952250935339171,9.86057692307692,0.398149644473174,0,0,0,0,-11,15.4328833333333,71.2286923076923,16.185,199.396,0,11,1,0,1,1,1,0,0,"Orthogonal",29.627,0,"?",63.714,0,"Orthogonal",199.396,0,"Orthogonal",41.599,0,270.885,0,655.088
