"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"781AU","111","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.52815,"control",-0.444675177763413,8.77083333333333,0.749582525317819,0,1,0,0,-9.5,10.8264666666667,49.9683076923077,9.476,139.274,0,9,1,0,3,1,2,1,0,"Orthogonal",18.289,0,"reference",139.274,0,"Orthogonal",51.633,0,"Orthogonal",80.938,0,312.613,0,336.975
"7BV0L","111","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.59305,"control",-0.514750935339171,11.3708333333333,-0.146250808015514,0,0,0,0,-12,9.22263333333333,42.566,8.678,175.719,0,11,0,0,2,0,2,0,0,"Orthogonal",22.101,0,"Orthogonal",74.202,0,"Orthogonal",29.318,0,"Orthogonal",31.81,0,205.502,0,347.856
"7DJGJ","121","fall21","asynch","Female",20,"Other","Third","india","NULL","NULL","NULL","NULL","NULL","NULL",7.85746666666667,"impasse",-0.024116569704805,1.11200980392157,2.66806722689076,0.0384615384615384,0,0,0,-3,3.62181666666667,16.7160769230769,0.003,40.599,1,2,3,1,6,3,5,1,0,"Satisfice",40.599,0,"Triangular",36.232,0,"Orthogonal",21.499,0,"?",12.394,0,118.552,0,98.757
"7L4J4","111","fall17","lab-synch","Female",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.78185,"control",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,9.53765,44.0199230769231,9.137,161.121,0,12,0,0,1,0,1,0,0,"Orthogonal",43.481,0,"?",161.121,0,"Orthogonal",31.043,0,"Orthogonal",82.157,0,299.297,0,272.962
"7METL","111","fall21","asynch","Female",19,"English","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",5.50298333333333,"control",-0.543160026248262,8.08365384615385,-0.741273432449903,0,0,0,0,-10.5,2.40061666666667,11.0797692307692,5.054,18.739,0,8,0,0,5,0,5,0,0,"Orthogonal",7.257,0,"?",11.208,0,"Orthogonal",15.368,0,"?",18.739,0,50.923,0,93.114
"7OYPU","111","winter22","asynch","Other-Not Listed",23,"X-Other","Fourth","United States","I tried my best on each question","1","5","1","","",4.09963333333333,"control",11.8666666666667,-1.10241327300151,8.08974358974359,0,0,12,12,11.5,2.62421666666667,12.1117692307692,5.826,30.081,12,0,0,0,1,0,1,0,1,"Triangular",8.485,1,"Triangular",7.195,1,"Triangular",17.032,1,"Triangular",17.348,5,44.371,7,113.082
"808YR","121","spring18","lab-synch","Female",20,"Other","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",14.2720833333333,"impasse",-0.498521331609567,6.36666666666667,-0.666168390433096,0.83974358974359,0,0,0,-9,10.1774166666667,46.9726923076923,7.962,122.357,0,7,0,1,5,0,2,3,0,"blank",95.264,0,"blank",84.069,0,"Orthogonal",18.309,0,"Orthogonal",39.007,0,439.316,0,171.329
"853JQ","111","winter22","asynch","Female",20,"Arabic","Third","Kuwait","I tried my best on most questions","2","4","3","","no",13.2265166666667,"control",-0.443322363910599,12,-0.0748222365869425,0,0,0,0,-12,6.25576666666667,28.8727692307692,0.368,91.534,0,12,0,0,1,0,0,1,0,"Orthogonal",18.271,0,"Orthogonal",91.534,0,"Orthogonal",22.482,0,"Orthogonal",57.642,0,150.588,0,224.758
"86P6B","111","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","3","5","I was very confused at first, I do not know if i did it right but the way  answered is what made sense in my head ","No ",15.8369833333333,"control",11.8666666666667,-0.602413273001508,8.08974358974359,0,0,12,12,11.5,8.25106666666667,38.0818461538462,9.508,106.12,12,0,0,0,1,0,1,0,1,"Triangular",105.075,1,"Triangular",106.12,1,"Triangular",61.246,1,"Triangular",36.74,5,274.15,7,220.914
"8BB1M","111","fall21","asynch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8747833333333,"control",-1.01475093533917,10.3564102564103,-0.723173884938591,0,0,0,0,-12,8.37281666666667,38.6437692307692,7.776,116.994,0,11,0,0,2,0,2,0,0,"Orthogonal",29.439,0,"?",69.747,0,"Orthogonal",22.385,0,"Orthogonal",28.008,0,183.925,0,318.444
"8DL90","121","fall21","asynch","Female",22,"English","Third","Japan","NULL","NULL","NULL","NULL","NULL","NULL",2.90885,"impasse",6.6077380952381,-0.646323529411765,5.38141025641026,0.697802197802198,0,7,7,5,1.31688333333333,6.07792307692308,1.402,16.301,7,0,1,0,5,1,5,0,1,"Triangular",5.379,1,"Triangular",5.301,1,"Triangular",16.301,1,"Triangular",7.25,4,36.854,3,42.159
"8LGZ4","111","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0189666666667,"control",-0.514750935339171,11.4411764705882,-0.146250808015514,0,0,0,0,-12.5,10.35565,47.7953076923077,13.202,90.134,0,12,0,0,1,0,1,0,0,"Orthogonal",52.822,0,"Orthogonal",90.134,0,"Orthogonal",31.523,0,"Orthogonal",49.454,0,261.925,0,359.414
"8LK9M","121","spring18","lab-synch","Female",20,"English","Fourth","Lebanon","NULL","NULL","NULL","NULL","NULL","NULL",11.10275,"impasse",10.8461538461538,-0.142156862745098,7.42307692307692,0.620879120879121,0,11,11,10.5,5.12775,23.6665384615385,7.552,56.608,11,0,0,0,2,0,1,1,1,"Triangular",44.79,0,"?",56.608,1,"Triangular",23.321,1,"Triangular",29.487,4,143.482,7,164.183
"8MT4O","121","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.62973333333333,"impasse",-1.10958845076492,4.11200980392157,-0.133645765998707,-0.230769230769231,0,0,0,-7,4.68205,21.6094615384615,8.361,40.741,0,5,1,0,7,1,5,2,0,"blank",32.442,0,"Tversky",31.368,0,"Orthogonal",18.394,0,"Orthogonal",28.256,0,110.922,0,170.001
"8V51R","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.26815,"control",-0.577250935339171,11.875,-0.208750808015514,0,0,0,0,-12.5,7.85155,36.2379230769231,10.142,91.909,0,12,0,0,1,0,1,0,0,"Orthogonal",23.958,0,"Orthogonal",91.909,0,"Orthogonal",16.185,0,"Orthogonal",53.057,0,226.529,0,244.564
"8V8HJ","111","fall21","asynch","Female",19,"Spanish","Second","U.S.A","NULL","NULL","NULL","NULL","NULL","NULL",11.4741,"control",-0.752846173434409,8.60416666666667,1.84482062055591,0,0,0,0,-9,7.98016666666667,36.8315384615385,8.124,93.837,0,9,2,0,2,2,2,0,0,"Orthogonal",36.623,0,"Orthogonal",51.685,0,"Orthogonal",20.279,0,"Orthogonal",45.236,0,207.808,0,271.002
"91D56","111","winter22","asynch","Female",20,"English","Third","USA","I tried my best on most questions","3","2","3","","",8.31815,"control",-0.74478021978022,7.9375,0.521291208791209,0,0,0,0,-7.5,4.80553333333333,22.1793846153846,5.2,64.774,0,8,1,0,4,1,0,4,0,"Orthogonal",51.425,0,"blank",5.2,0,"Orthogonal",30.401,0,"blank",7.686,0,136.311,0,152.021
"9393C","121","spring18","lab-synch","Female",20,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.18255,"impasse",-0.488860159448395,8,-0.729584141348847,1.92307692307692,1,0,0,-11.5,10.2809666666667,47.4506153846154,7.655,111.385,0,8,0,3,2,0,1,1,0,"Satisfice",50.148,0,"?",75.085,0,"Orthogonal",13.905,0,"Orthogonal",99.846,0,324.16,0,292.698
"94FR9","111","winter22","asynch","Female",27,"English","Fourth","USA","I tried my best on each question","4","3","2","","I have astigmatism in both eyes and find black text on a white background hard to read; I also have ADHD",11.2995166666667,"control",2.77258672699849,5.45959653092006,2.86173507864684,0,0,2,2,-2,7.65405,35.3263846153846,5.667,88.689,4,6,1,0,2,1,1,1,0,"Orthogonal",32.297,1,"Triangular",88.689,0,"Orthogonal",25.605,0,"Triangular",84.704,2,184.347,0,274.896
"96GEP","121","fall21","asynch","Female",20,"Other","Second","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",14.1287833333333,"impasse",11.2952380952381,0.791176470588235,6.10164835164835,1.26923076923077,0,10,10,9.5,10.2820833333333,47.4557692307692,7.113,82.214,11,0,0,1,1,0,1,0,0,"Satisfice",28.269,1,"Triangular",82.214,1,"Triangular",41.904,0,"Triangular",75.311,4,230.968,6,385.957
"98R7E","111","fall21","asynch","Female",20,"Spanish","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8169333333333,"control",12.9333333333333,-0.602413273001508,8.08974358974359,0,0,12,12,13,5.14233333333333,23.7338461538462,6.654,65.962,13,0,0,0,0,0,0,0,1,"Triangular",34.264,1,"Triangular",22.122,1,"Triangular",41.083,1,"Triangular",17.538,5,106.025,7,202.515
"98VDX","121","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.6098166666667,"impasse",1.64047619047619,6.94117647058824,0.329239388062917,2.42307692307692,0,2,2,-8,9.94386666666667,45.8947692307692,6.042,84.142,2,7,0,3,1,0,0,1,0,"Satisfice",24.047,1,"Triangular",43.29,0,"Orthogonal",16.757,0,"Orthogonal",84.142,1,241.019,1,355.613
"9BBMD","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6271166666667,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,7.37408333333333,34.0342307692308,7.066,95.222,0,13,0,0,0,0,0,0,0,"Orthogonal",17.959,0,"Orthogonal",95.222,0,"Orthogonal",25.158,0,"Orthogonal",47.246,0,191.154,0,251.291
"9EYZ0","121","fall21","asynch","Female",20,"English","Third","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",13.0657166666667,"impasse",11.7994047619048,0.349509803921569,7.50641025641026,0.626373626373626,0,10,10,10.5,7.12235,32.8723846153846,9.052,62.026,11,1,1,0,0,1,0,0,0,"Tversky",27.496,1,"Triangular",44.461,1,"Triangular",62.026,1,"Triangular",58.626,4,164.652,6,262.689
"9S5Z0","111","fall21","asynch","Male",23,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",23.40185,"control",-0.648084268672504,11.8041666666667,-0.146250808015514,0,0,0,0,-12.5,16.6867333333333,77.0156923076923,11.599,262.081,0,12,0,0,1,0,1,0,0,"Orthogonal",44.119,0,"Orthogonal",87.521,0,"Orthogonal",32.503,0,"Orthogonal",262.081,0,191.912,0,809.292
"9XEMK","111","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","4","3","Wasn't sure how to sue the graph at first, though that may be part of the experiment.","No",10.2299833333333,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,6.1233,28.2613846153846,7.774,79.107,0,13,0,0,0,0,0,0,0,"Orthogonal",27.807,0,"Orthogonal",79.107,0,"Orthogonal",22.911,0,"Orthogonal",64.123,0,167.342,0,200.056
"A3QHP","111","winter22","asynch","Female",22,"X-Other","Fourth","PHL","I tried my best on each question","4","3","4","","",21.0474666666667,"control",-0.440018315018315,9.23333333333333,-0.46978021978022,0,0,0,0,-9,9.42846666666667,43.516,2.68,175.176,0,8,0,0,5,0,2,3,0,"Orthogonal",18.792,0,"blank",44.198,0,"Orthogonal",28.3,0,"blank",2.68,0,168.32,0,397.388
"A9CZD","111","spring18","lab-synch","Female",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.80395,"control",13,-0.535746606334842,8.08974358974359,0,0,12,13,13,4.61596666666667,21.3044615384615,8.204,68.595,13,0,0,0,0,0,0,0,1,"Triangular",68.595,1,"Triangular",34.389,1,"Triangular",27.399,1,"Triangular",17.736,5,142.386,8,134.572
"A9JCU","111","fall21","asynch","Male",18,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.7825,"control",0.169072594072594,8.77724358974359,-0.587427278603749,0,0,0,0,-9,7.61801666666667,35.1600769230769,5.359,84.91,1,9,0,0,3,0,2,1,0,"Orthogonal",18.744,0,"?",84.91,0,"Orthogonal",8.251,0,"Orthogonal",78.79,0,153.811,0,303.27
"ACEXT","121","fall21","asynch","Female",22,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",15.7999166666667,"impasse",1.25521978021978,-0.0166666666666666,1.00938644688645,-0.302197802197802,0,1,1,-1.5,13.3353833333333,61.5479230769231,5.936,233.249,2,0,1,0,10,1,8,2,0,"?",137.973,0,"?",30.207,0,"Triangular",57.951,0,"Tversky",36.733,0,497.624,1,302.499
"AFQCB","121","spring18","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.5747666666667,"impasse",1.24923507864684,8,1.00851109674639,0.313186813186813,0,1,1,-9,10.3828166666667,47.9206923076923,5.564,148.03,1,8,0,0,4,0,4,0,1,"Triangular",50.768,0,"?",148.03,0,"Orthogonal",17.981,0,"Orthogonal",76.587,1,410.747,0,212.222
"AJZV2","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2914166666667,"impasse",12,-0.208823529411765,6.50641025641026,0.769230769230769,0,12,12,12,8.95838333333333,41.3463846153846,9.463,127.435,12,0,0,0,1,0,0,1,0,"blank",127.435,1,"Triangular",30.985,1,"Triangular",46.331,1,"Triangular",38.165,4,284.326,8,253.177
"ALN2P","121","fall21","asynch","Male",23,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2366333333333,"impasse",-0.00833333333333332,6,-0.25,0,0,0,0,-6,6.6853,30.8552307692308,6.33,88.685,0,6,0,0,7,0,0,7,0,"blank",24.853,0,"blank",24.118,0,"Orthogonal",88.685,0,"blank",6.33,0,113.646,0,287.472
"ARCSZ","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","us\nus","NULL","NULL","NULL","NULL","NULL","NULL",12.5807666666667,"impasse",0.526890756302521,6.86666666666667,0.34733893557423,1.35164835164835,0,1,1,-7,7.64428333333333,35.2813076923077,3.826,99.553,1,7,1,1,3,1,1,2,0,"Tversky",48.753,1,"Triangular",22.387,0,"Orthogonal",14.261,0,"Orthogonal",68.353,1,126.343,0,332.314
"ARL8H","121","fall21","asynch","Male",21,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.4830666666667,"impasse",0.0736398405516053,7,0.276826115061409,1.84615384615385,0,0,0,-9.5,11.8194,54.5510769230769,6.612,248.798,0,8,0,1,4,0,1,3,0,"blank",63.18,0,"blank",248.798,0,"Orthogonal",16.607,0,"Orthogonal",46.711,0,481.401,0,227.763
"ASEGP","121","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.0948333333333,"impasse",-0.631717302305538,8,-0.866031027795734,3,1,0,0,-11,7.66673333333333,35.3849230769231,4.928,82.876,0,8,0,3,2,0,0,2,0,"Satisfice",40.456,0,"blank",69.646,0,"Orthogonal",17.245,0,"Orthogonal",26.363,0,285.396,0,174.608
"AU0MW","121","fall21","asynch","Male",20,"Other","Third","United Arab Emirates","NULL","NULL","NULL","NULL","NULL","NULL",7.97011666666667,"impasse",-0.192156862745098,8,-0.426470588235294,0,0,0,0,-8,5.80115,26.7745384615385,6.7,56.284,0,8,0,0,5,0,0,5,0,"blank",22.305,0,"blank",49.189,0,"Orthogonal",16.476,0,"Orthogonal",39.816,0,159.45,0,188.619
"B3OKB","111","fall17","lab-synch","Male",19,"English","First","India","NULL","NULL","NULL","NULL","NULL","NULL",13.4522833333333,"control",5.48573926073926,6.99117647058824,3.82188644688645,0,0,5,6,-1,7.3651,33.9927692307692,5.908,111.684,6,7,0,0,0,0,0,0,0,"Orthogonal",25.98,0,"Orthogonal",111.684,0,"Orthogonal",21.583,1,"Triangular",34.206,0,256.455,6,185.451
"B44PE","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2414833333333,"impasse",11.8619047619048,-0.208823529411765,7.50641025641026,0.626373626373626,0,11,11,11,5.77706666666667,26.6633846153846,6.472,75.289,11,0,1,0,1,1,1,0,0,"Tversky",44.23,1,"Triangular",9.652,1,"Triangular",75.289,1,"Triangular",20.31,4,140.823,7,205.801
"B4LD9","111","spring18","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.3928666666667,"control",1.57209653092006,8.68092006033183,0.622764490411549,0,0,2,2,-7.5,7.13236666666667,32.9186153846154,11.501,79.096,2,9,0,0,2,0,1,1,0,"Orthogonal",41.071,1,"Triangular",57.625,0,"Orthogonal",18.713,0,"Orthogonal",37.276,2,163.568,0,264.374
"BBPLJ","121","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","3","2","2","I realized about halfway through that I had messed up on some questions because I didn't fully understand the question and left it blank. Towards the end, I tried a little harder because I understood it better, I hope.","N/A",15.9513833333333,"impasse",0.284491488903254,6.93333333333333,-0.130252100840336,-0.153846153846154,0,0,0,-7,10.6615166666667,49.207,6.01,147.706,1,7,0,0,5,0,2,3,0,"blank",58.116,0,"?",147.706,0,"Orthogonal",28.665,0,"Triangular",121.401,0,279.777,0,359.914
"BDQEZ","121","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question","2","4","3","","no",9.78451666666667,"impasse",11.875,0.357843137254902,6.68498168498169,0.697802197802198,0,12,12,11,4.93003333333333,22.754,7.266,61.51,12,1,0,0,0,0,0,0,1,"Triangular",61.51,1,"Triangular",16.521,0,"Orthogonal",33.785,1,"Triangular",20.648,5,105.072,7,190.73
"BK0TH","111","fall21","asynch","Male",20,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.3078666666667,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,6.70368333333333,30.9400769230769,6.663,53.918,0,13,0,0,0,0,0,0,0,"Orthogonal",46.408,0,"Orthogonal",51.285,0,"Orthogonal",18.7,0,"Orthogonal",42.128,0,171.708,0,230.513
"BKTUJ","111","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0787833333333,"control",-0.455927405927406,12,-0.0874272786037492,0,0,0,0,-12,11.3720166666667,52.4862307692308,12.115,123.736,0,12,0,0,1,0,0,1,0,"Orthogonal",53.503,0,"Orthogonal",67.152,0,"Orthogonal",18.794,0,"Orthogonal",69.587,0,375.53,0,306.791
"BR500","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.0677,"impasse",-0.0629901960784314,7,-0.367647058823529,0,0,0,0,-7.5,6.05475,27.945,5.222,105.714,0,7,0,0,6,0,1,5,0,"blank",25.127,0,"blank",105.714,0,"Orthogonal",10.459,0,"Orthogonal",27.968,0,230.704,0,132.581
"BYKF0","111","fall21","asynch","Female",20,"Other","Second","turkey","NULL","NULL","NULL","NULL","NULL","NULL",11.4661,"control",0.426425535249065,11.7873303167421,-0.858920491273433,0,0,0,0,-11,8.4443,38.9736923076923,10.235,117.958,1,12,0,0,0,0,0,0,0,"Orthogonal",21.479,0,"Triangular",117.958,0,"Orthogonal",17.476,0,"Orthogonal",45.974,0,228.188,0,278.47
"C2AHN","111","winter22","asynch","Male",20,"English","Third","U.S.","I tried my best on most questions","4","3","4","I'm pretty sure I did the first few questions wrong because I misunderstood the graph but I hopefully understood it by the end. At least, I thought I understood it a little better than at first.","None",19.5675,"control",0.339415731327496,9.60032051282051,-0.945930295195001,0,0,0,0,-10,11.14875,51.4557692307692,6.936,297.569,1,10,0,0,2,0,2,0,0,"Orthogonal",13.199,0,"Triangular",297.569,0,"Orthogonal",18.329,0,"Orthogonal",41.335,0,381.982,0,286.943
"CC7G0","111","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","china","NULL","NULL","NULL","NULL","NULL","NULL",10.9969166666667,"control",11.7333333333333,0.330920060331825,8.08974358974359,0,0,12,12,11,4.23181666666667,19.5314615384615,6.626,73.064,12,1,0,0,0,0,0,0,1,"Triangular",37.525,1,"Triangular",20.514,1,"Triangular",24.935,1,"Triangular",11.537,5,83.459,7,170.45
"CHP0K","121","fall21","asynch","Female",26,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.5368333333333,"impasse",10.817673992674,1.29117647058824,6.93498168498169,-0.21978021978022,0,8,8,7,6.96993333333333,32.1689230769231,13.023,104.923,8,1,2,0,2,2,2,0,0,"Tversky",30.704,1,"Triangular",13.249,0,"Orthogonal",19.137,1,"Triangular",22.284,2,195.112,6,223.084
"CK5DF","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0937833333333,"control",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,6.20553333333333,28.6409230769231,12.324,66.932,0,12,0,0,1,0,1,0,0,"Orthogonal",26.179,0,"?",66.932,0,"Orthogonal",24.354,0,"Orthogonal",33.899,0,154.614,0,217.718
"CKRHQ","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.3070333333333,"impasse",-0.703283236371472,6.23333333333333,0.322829131652661,1.26923076923077,0,0,0,-9.5,8.6987,40.1478461538462,11.553,83.486,0,7,1,2,3,1,2,1,0,"Satisfice",63.168,0,"Satisfice",50.645,0,"Orthogonal",19.494,0,"Orthogonal",46.335,0,254.547,0,267.375
"CLV1E","121","fall21","asynch","Female",20,"Spanish","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",18.5461666666667,"impasse",9.2032967032967,-0.142156862745098,4.9532967032967,2.84615384615385,0,8,8,8,14.2133,65.5998461538462,10.261,235.834,10,0,0,2,1,0,0,1,0,"Satisfice",40.366,0,"Satisfice",235.834,1,"Triangular",79.109,0,"Triangular",37.467,1,535.872,7,316.926
"CN995","121","fall21","asynch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.19825,"impasse",10.7032967032967,-0.208823529411765,6.35805860805861,-0.527472527472527,0,10,10,9.5,5.85975,27.045,8.115,125.115,10,0,1,0,2,1,2,0,0,"Tversky",19.992,1,"Triangular",27.203,1,"Triangular",18.801,1,"Triangular",11.358,2,143.873,8,207.712
"D3LUH","121","spring18","lab-synch","Male",20,"Other","Third","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",10.5063333333333,"impasse",11.8571428571429,-0.208823529411765,6.36355311355311,1.76923076923077,0,12,12,11,4.47685,20.6623846153846,7.929,61.056,12,0,0,1,0,0,0,0,0,"Satisfice",61.056,1,"Triangular",15.482,1,"Triangular",34.879,1,"Triangular",24.779,4,129.5,8,139.111
"DC2Y0","121","fall17","lab-synch","Male",22,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.4990833333333,"impasse",9.53974358974359,-0.208823529411765,5.81733462615816,0.620879120879121,0,9,9,8,8.6521,39.9327692307692,7.293,88.787,10,1,0,0,2,0,2,0,1,"Triangular",56.673,0,"Triangular",80.686,0,"Orthogonal",47.24,0,"?",88.787,4,238.348,5,280.778
"DD3DE","111","spring18","lab-synch","Female",20,"English","Third","United States ","NULL","NULL","NULL","NULL","NULL","NULL",12.0378,"control",-0.452250935339171,12.5,-0.0874272786037492,0,0,0,0,-13,8.4072,38.8024615384615,11.695,98.364,0,13,0,0,0,0,0,0,0,"Orthogonal",36.889,0,"Orthogonal",98.364,0,"Orthogonal",27.286,0,"Orthogonal",54.724,0,224.743,0,279.689
"DGJQ3","111","fall21","asynch","Female",21,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",4.81588333333333,"control",3.19748168498168,0.0725867269984917,5.80175339366516,0,0,3,3,2.5,2.70636666666667,12.4909230769231,4.14,23.244,3,1,5,0,4,5,4,0,0,"Tversky",21.534,1,"Triangular",14.485,0,"Tversky",19.731,0,"?",4.14,2,68.275,1,94.107
"DKL3R","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.19505,"impasse",4.28865815556992,6.37083333333333,4.55269607843137,-0.379120879120879,0,5,5,0,6.2949,29.0533846153846,6.808,55.95,5,6,2,0,0,2,0,0,1,"Triangular",37.247,1,"Triangular",28.346,0,"Orthogonal",49.247,0,"Orthogonal",55.95,3,101.832,2,275.862
"DM4T0","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.4068833333333,"impasse",4.1228021978022,3.67867647058824,3.36173507864684,0.0375457875457876,0,4,4,-1.5,10.8063666666667,49.8755384615385,3.769,240.581,5,4,0,1,3,0,3,0,1,"Triangular",70.053,0,"Triangular",240.581,0,"Orthogonal",26.785,0,"?",24.368,2,359.537,2,288.845
"DMJ14","121","winter22","asynch","Female",25,"Cantonese","Fourth","United States","I tried my best on each question","3","3","3","it would be useful if the question have some instruction to indicate whether it is a multiple-choice or just leave the blank if there is no right answer ","no",5.8638,"impasse",1.47843406593407,1.5375,1.57069597069597,-0.60989010989011,0,1,1,0,2.11091666666667,9.74269230769231,3.625,17.378,3,2,2,0,6,2,4,2,0,"?",14.898,1,"Triangular",9.204,0,"?",4.025,0,"Triangular",10.699,1,60.452,0,66.203
"DMUWM","111","fall21","asynch","Female",24,"Mandarin or Cantonese","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",20.466,"control",-0.315508511096746,7.17307692307692,0.111977483301013,0,0,0,0,-10,8.8578,40.8821538461538,5.763,212.91,0,8,0,0,5,0,4,1,0,"Orthogonal",19.741,0,"?",27.605,0,"Orthogonal",15.176,0,"Orthogonal",29.174,0,95.197,0,436.271
"DOQRP","121","spring18","lab-synch","Male",21,"English","Fourth","u.S.","NULL","NULL","NULL","NULL","NULL","NULL",9.20731666666667,"impasse",0.588062917474682,8,-0.729584141348847,0.769230769230769,0,1,1,-9,6.86463333333333,31.6829230769231,11.837,67.124,1,8,0,1,3,0,2,1,0,"Satisfice",17.15,1,"Triangular",15.543,0,"Orthogonal",41.774,0,"Orthogonal",59.052,1,79.231,0,332.647
"DQQQX","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.9024166666667,"control",-1.07357446475094,11.9411764705882,-0.205074337427279,0,0,0,0,-13,9.43958333333333,43.5673076923077,8.158,216.639,0,13,0,0,0,0,0,0,0,"Orthogonal",34.394,0,"Orthogonal",216.639,0,"Orthogonal",14.287,0,"Orthogonal",19.61,0,352.929,0,213.446
"E0F55","121","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","3","4","5","","",14.9812333333333,"impasse",6.38081501831502,1.22450980392157,4.39331501831502,0.846153846153846,0,5,5,5,8.14546666666667,37.5944615384615,12.064,111.957,7,1,1,1,3,1,1,2,0,"blank",28.383,0,"blank",51.313,0,"Orthogonal",54.983,1,"Triangular",39.6,0,174.948,5,313.78
