"subject","mode","pretty_condition","question","score"
"LJTDL","lab-synch","impasse",1,1
"LJTDL","lab-synch","impasse",2,2
"LJTDL","lab-synch","impasse",3,3
"LJTDL","lab-synch","impasse",4,4
"LJTDL","lab-synch","impasse",5,5
"LJTDL","lab-synch","impasse",6,6
"LJTDL","lab-synch","impasse",7,7
"LJTDL","lab-synch","impasse",8,8
"LJTDL","lab-synch","impasse",9,9
"LJTDL","lab-synch","impasse",10,10
"LJTDL","lab-synch","impasse",11,11
"LJTDL","lab-synch","impasse",12,12
"LJTDL","lab-synch","impasse",13,13
"OTVZR","lab-synch","impasse",1,0
"OTVZR","lab-synch","impasse",2,0.5
"OTVZR","lab-synch","impasse",3,-0.5
"OTVZR","lab-synch","impasse",4,0.5
"OTVZR","lab-synch","impasse",5,1.5
"OTVZR","lab-synch","impasse",6,0.5
"OTVZR","lab-synch","impasse",7,1.5
"OTVZR","lab-synch","impasse",8,2.5
"OTVZR","lab-synch","impasse",9,3.5
"OTVZR","lab-synch","impasse",10,4.5
"OTVZR","lab-synch","impasse",11,4
"OTVZR","lab-synch","impasse",12,5
"OTVZR","lab-synch","impasse",13,6
"KLYG7","lab-synch","control",1,-1
"KLYG7","lab-synch","control",2,-2
"KLYG7","lab-synch","control",3,-1.5
"KLYG7","lab-synch","control",4,-1.5
"KLYG7","lab-synch","control",5,-2
"KLYG7","lab-synch","control",6,-3
"KLYG7","lab-synch","control",7,-3.5
"KLYG7","lab-synch","control",8,-3
"KLYG7","lab-synch","control",9,-3
"KLYG7","lab-synch","control",10,-4
"KLYG7","lab-synch","control",11,-4.5
"KLYG7","lab-synch","control",12,-5.5
"KLYG7","lab-synch","control",13,-6.5
"AJZV2","lab-synch","impasse",1,0
"AJZV2","lab-synch","impasse",2,1
"AJZV2","lab-synch","impasse",3,2
"AJZV2","lab-synch","impasse",4,3
"AJZV2","lab-synch","impasse",5,4
"AJZV2","lab-synch","impasse",6,5
"AJZV2","lab-synch","impasse",7,6
"AJZV2","lab-synch","impasse",8,7
"AJZV2","lab-synch","impasse",9,8
"AJZV2","lab-synch","impasse",10,9
"AJZV2","lab-synch","impasse",11,10
"AJZV2","lab-synch","impasse",12,11
"AJZV2","lab-synch","impasse",13,12
"3OTEP","lab-synch","impasse",1,1
"3OTEP","lab-synch","impasse",2,2
