"subject","mode","pretty_condition","question","score"
"R8PM2","lab-synch","none-none",2,-2
"R8PM2","lab-synch","none-none",3,-3
"R8PM2","lab-synch","none-none",4,-4
"R8PM2","lab-synch","none-none",5,-4.5
"R8PM2","lab-synch","none-none",6,-5.5
"R8PM2","lab-synch","none-none",7,-6.5
"R8PM2","lab-synch","none-none",8,-7.5
"R8PM2","lab-synch","none-none",9,-8.5
"R8PM2","lab-synch","none-none",10,-9.5
"R8PM2","lab-synch","none-none",11,-10.5
"R8PM2","lab-synch","none-none",12,-11.5
"R8PM2","lab-synch","none-none",13,-12.5
"J9XH8","lab-synch","img-impasse",1,0.5
"J9XH8","lab-synch","img-impasse",2,1.5
"J9XH8","lab-synch","img-impasse",3,1
"J9XH8","lab-synch","img-impasse",4,2
"J9XH8","lab-synch","img-impasse",5,3
"J9XH8","lab-synch","img-impasse",6,2.5
"J9XH8","lab-synch","img-impasse",7,1.5
"J9XH8","lab-synch","img-impasse",8,2.5
"J9XH8","lab-synch","img-impasse",9,3.5
"J9XH8","lab-synch","img-impasse",10,4.5
"J9XH8","lab-synch","img-impasse",11,4
"J9XH8","lab-synch","img-impasse",12,5
"J9XH8","lab-synch","img-impasse",13,4.5
"6NY13","lab-synch","ixv-none",1,1
"6NY13","lab-synch","ixv-none",2,2
"6NY13","lab-synch","ixv-none",3,3
"6NY13","lab-synch","ixv-none",4,4
"6NY13","lab-synch","ixv-none",5,5
"6NY13","lab-synch","ixv-none",6,6
"6NY13","lab-synch","ixv-none",7,7
"6NY13","lab-synch","ixv-none",8,8
"6NY13","lab-synch","ixv-none",9,9
"6NY13","lab-synch","ixv-none",10,10
"6NY13","lab-synch","ixv-none",11,11
"6NY13","lab-synch","ixv-none",12,12
"6NY13","lab-synch","ixv-none",13,13
"JFFAY","lab-synch","none-none",1,-1
"JFFAY","lab-synch","none-none",2,-1
"JFFAY","lab-synch","none-none",3,-2
"JFFAY","lab-synch","none-none",4,-3
"JFFAY","lab-synch","none-none",5,-4
"JFFAY","lab-synch","none-none",6,-5
"JFFAY","lab-synch","none-none",7,-6
"JFFAY","lab-synch","none-none",8,-7
"JFFAY","lab-synch","none-none",9,-8
"JFFAY","lab-synch","none-none",10,-9
"JFFAY","lab-synch","none-none",11,-10
"JFFAY","lab-synch","none-none",12,-11
"JFFAY","lab-synch","none-none",13,-12
"A57EU","lab-synch","img-impasse",1,0
"A57EU","lab-synch","img-impasse",2,1
"A57EU","lab-synch","img-impasse",3,2
"A57EU","lab-synch","img-impasse",4,3
"A57EU","lab-synch","img-impasse",5,3.5
"A57EU","lab-synch","img-impasse",6,4.5
"A57EU","lab-synch","img-impasse",7,5.5
"A57EU","lab-synch","img-impasse",8,6.5
"A57EU","lab-synch","img-impasse",9,7.5
"A57EU","lab-synch","img-impasse",10,8.5
"A57EU","lab-synch","img-impasse",11,9.5
"A57EU","lab-synch","img-impasse",12,10.5
"A57EU","lab-synch","img-impasse",13,11.5
"YF1HS","lab-synch","ixv-impasse",1,1
"YF1HS","lab-synch","ixv-impasse",2,2
"YF1HS","lab-synch","ixv-impasse",3,3
"YF1HS","lab-synch","ixv-impasse",4,4
"YF1HS","lab-synch","ixv-impasse",5,5
"YF1HS","lab-synch","ixv-impasse",6,6
"YF1HS","lab-synch","ixv-impasse",7,7
"YF1HS","lab-synch","ixv-impasse",8,8
"YF1HS","lab-synch","ixv-impasse",9,9
"YF1HS","lab-synch","ixv-impasse",10,10
"YF1HS","lab-synch","ixv-impasse",11,11
"YF1HS","lab-synch","ixv-impasse",12,12
"YF1HS","lab-synch","ixv-impasse",13,13
"HKSU4","lab-synch","none-impasse",1,1
"HKSU4","lab-synch","none-impasse",2,1.5
"HKSU4","lab-synch","none-impasse",3,1.5
"HKSU4","lab-synch","none-impasse",4,1
"HKSU4","lab-synch","none-impasse",5,0
"HKSU4","lab-synch","none-impasse",6,1
"HKSU4","lab-synch","none-impasse",7,0
"HKSU4","lab-synch","none-impasse",8,-0.5
"HKSU4","lab-synch","none-impasse",9,0.5
"HKSU4","lab-synch","none-impasse",10,-0.5
"HKSU4","lab-synch","none-impasse",11,-1.5
"HKSU4","lab-synch","none-impasse",12,-2
"HKSU4","lab-synch","none-impasse",13,-3
"HUGFJ","lab-synch","img-none",1,-1
"HUGFJ","lab-synch","img-none",2,-1
"HUGFJ","lab-synch","img-none",3,-1.5
"HUGFJ","lab-synch","img-none",4,-0.5
"HUGFJ","lab-synch","img-none",5,0.5
"HUGFJ","lab-synch","img-none",6,0
"HUGFJ","lab-synch","img-none",7,-0.5
"HUGFJ","lab-synch","img-none",8,0.5
"HUGFJ","lab-synch","img-none",9,-0.5
"HUGFJ","lab-synch","img-none",10,-1.5
"HUGFJ","lab-synch","img-none",11,-0.5
"HUGFJ","lab-synch","img-none",12,0.5
"HUGFJ","lab-synch","img-none",13,1.5
"F66QO","lab-synch","ixv-none",1,1
"F66QO","lab-synch","ixv-none",2,2
"F66QO","lab-synch","ixv-none",3,3
"F66QO","lab-synch","ixv-none",4,4
"F66QO","lab-synch","ixv-none",5,5
"F66QO","lab-synch","ixv-none",6,4
"F66QO","lab-synch","ixv-none",7,3
"F66QO","lab-synch","ixv-none",8,4
"F66QO","lab-synch","ixv-none",9,5
"F66QO","lab-synch","ixv-none",10,6
"F66QO","lab-synch","ixv-none",11,7
"F66QO","lab-synch","ixv-none",12,8
"F66QO","lab-synch","ixv-none",13,7
"RYVXA","lab-synch","img-impasse",1,1
"RYVXA","lab-synch","img-impasse",2,2
"RYVXA","lab-synch","img-impasse",3,3
"RYVXA","lab-synch","img-impasse",4,4
"RYVXA","lab-synch","img-impasse",5,3.5
"RYVXA","lab-synch","img-impasse",6,4.5
"RYVXA","lab-synch","img-impasse",7,5.5
"RYVXA","lab-synch","img-impasse",8,6.5
"RYVXA","lab-synch","img-impasse",9,7.5
"RYVXA","lab-synch","img-impasse",10,8.5
"RYVXA","lab-synch","img-impasse",11,9.5
"RYVXA","lab-synch","img-impasse",12,10.5
"RYVXA","lab-synch","img-impasse",13,11.5
"SMXP5","lab-synch","img-none",1,-1
"SMXP5","lab-synch","img-none",2,-2
"SMXP5","lab-synch","img-none",3,-2.5
"SMXP5","lab-synch","img-none",4,-1.5
"SMXP5","lab-synch","img-none",5,-0.5
"SMXP5","lab-synch","img-none",6,-1.5
"SMXP5","lab-synch","img-none",7,-0.5
"SMXP5","lab-synch","img-none",8,0.5
"SMXP5","lab-synch","img-none",9,1.5
"SMXP5","lab-synch","img-none",10,2.5
"SMXP5","lab-synch","img-none",11,3.5
"SMXP5","lab-synch","img-none",12,4.5
"SMXP5","lab-synch","img-none",13,5.5
"4K1DG","lab-synch","img-none",1,-1
"4K1DG","lab-synch","img-none",2,-1
"4K1DG","lab-synch","img-none",3,-1.5
"4K1DG","lab-synch","img-none",4,-2
"4K1DG","lab-synch","img-none",5,-2.5
"4K1DG","lab-synch","img-none",6,-3.5
"4K1DG","lab-synch","img-none",7,-2.5
"4K1DG","lab-synch","img-none",8,-1.5
"4K1DG","lab-synch","img-none",9,-2.5
"4K1DG","lab-synch","img-none",10,-1.5
"4K1DG","lab-synch","img-none",11,-0.5
"4K1DG","lab-synch","img-none",12,0.5
"4K1DG","lab-synch","img-none",13,1.5
"5FETT","lab-synch","ixv-none",1,0.5
"5FETT","lab-synch","ixv-none",2,0.5
"5FETT","lab-synch","ixv-none",3,1.5
"5FETT","lab-synch","ixv-none",4,2.5
"5FETT","lab-synch","ixv-none",5,3.5
"5FETT","lab-synch","ixv-none",6,4.5
"5FETT","lab-synch","ixv-none",7,5.5
"5FETT","lab-synch","ixv-none",8,6.5
"5FETT","lab-synch","ixv-none",9,7.5
"5FETT","lab-synch","ixv-none",10,8.5
"5FETT","lab-synch","ixv-none",11,9.5
"5FETT","lab-synch","ixv-none",12,10.5
"5FETT","lab-synch","ixv-none",13,11.5
"7EAJ1","lab-synch","img-impasse",1,1
"7EAJ1","lab-synch","img-impasse",2,2
"7EAJ1","lab-synch","img-impasse",3,3
"7EAJ1","lab-synch","img-impasse",4,4
"7EAJ1","lab-synch","img-impasse",5,3.5
"7EAJ1","lab-synch","img-impasse",6,4.5
"7EAJ1","lab-synch","img-impasse",7,5.5
"7EAJ1","lab-synch","img-impasse",8,6.5
"7EAJ1","lab-synch","img-impasse",9,7.5
"7EAJ1","lab-synch","img-impasse",10,8.5
"7EAJ1","lab-synch","img-impasse",11,9.5
"7EAJ1","lab-synch","img-impasse",12,10.5
"7EAJ1","lab-synch","img-impasse",13,11.5
"FUV6R","lab-synch","none-impasse",1,-1
"FUV6R","lab-synch","none-impasse",2,-0.5
"FUV6R","lab-synch","none-impasse",3,0.5
"FUV6R","lab-synch","none-impasse",4,1.5
"FUV6R","lab-synch","none-impasse",5,2.5
"FUV6R","lab-synch","none-impasse",6,1.5
"FUV6R","lab-synch","none-impasse",7,0.5
"FUV6R","lab-synch","none-impasse",8,1.5
"FUV6R","lab-synch","none-impasse",9,2.5
"FUV6R","lab-synch","none-impasse",10,3.5
"FUV6R","lab-synch","none-impasse",11,4.5
