"subject","mode","pretty_condition","question","score"
"CLV1E","asynch","none-impasse",3,0
"CLV1E","asynch","none-impasse",4,1
"CLV1E","asynch","none-impasse",5,1
"CLV1E","asynch","none-impasse",6,2
"CLV1E","asynch","none-impasse",7,3
"CLV1E","asynch","none-impasse",8,4
"CLV1E","asynch","none-impasse",9,5
"CLV1E","asynch","none-impasse",10,6
"CLV1E","asynch","none-impasse",11,7
"CLV1E","asynch","none-impasse",12,8
"CLV1E","asynch","none-impasse",13,8
"BYKF0","asynch","none-none",1,0
"BYKF0","asynch","none-none",2,0
"BYKF0","asynch","none-none",3,0
"BYKF0","asynch","none-none",4,0
"BYKF0","asynch","none-none",5,0
"BYKF0","asynch","none-none",6,0
"BYKF0","asynch","none-none",7,0
"BYKF0","asynch","none-none",8,0
"BYKF0","asynch","none-none",9,0
"BYKF0","asynch","none-none",10,0
"BYKF0","asynch","none-none",11,0
"BYKF0","asynch","none-none",12,0
"BYKF0","asynch","none-none",13,0
"OHLRP","asynch","none-none",1,0
"OHLRP","asynch","none-none",2,0
"OHLRP","asynch","none-none",3,0
"OHLRP","asynch","none-none",4,0
"OHLRP","asynch","none-none",5,0
"OHLRP","asynch","none-none",6,0
"OHLRP","asynch","none-none",7,0
"OHLRP","asynch","none-none",8,0
"OHLRP","asynch","none-none",9,0
"OHLRP","asynch","none-none",10,0
"OHLRP","asynch","none-none",11,0
"OHLRP","asynch","none-none",12,0
"OHLRP","asynch","none-none",13,0
"K7HSV","asynch","none-impasse",1,0
"K7HSV","asynch","none-impasse",2,0
"K7HSV","asynch","none-impasse",3,0
"K7HSV","asynch","none-impasse",4,0
"K7HSV","asynch","none-impasse",5,1
"K7HSV","asynch","none-impasse",6,1
"K7HSV","asynch","none-impasse",7,1
"K7HSV","asynch","none-impasse",8,1
"K7HSV","asynch","none-impasse",9,1
"K7HSV","asynch","none-impasse",10,1
"K7HSV","asynch","none-impasse",11,1
"K7HSV","asynch","none-impasse",12,1
"K7HSV","asynch","none-impasse",13,1
"BK0TH","asynch","none-none",1,0
"BK0TH","asynch","none-none",2,0
"BK0TH","asynch","none-none",3,0
"BK0TH","asynch","none-none",4,0
"BK0TH","asynch","none-none",5,0
"BK0TH","asynch","none-none",6,0
"BK0TH","asynch","none-none",7,0
"BK0TH","asynch","none-none",8,0
"BK0TH","asynch","none-none",9,0
"BK0TH","asynch","none-none",10,0
"BK0TH","asynch","none-none",11,0
"BK0TH","asynch","none-none",12,0
"BK0TH","asynch","none-none",13,0
"SV1K5","asynch","none-none",1,0
"SV1K5","asynch","none-none",2,0
"SV1K5","asynch","none-none",3,0
"SV1K5","asynch","none-none",4,0
"SV1K5","asynch","none-none",5,0
"SV1K5","asynch","none-none",6,0
"SV1K5","asynch","none-none",7,0
"SV1K5","asynch","none-none",8,0
"SV1K5","asynch","none-none",9,0
"SV1K5","asynch","none-none",10,0
"SV1K5","asynch","none-none",11,0
"SV1K5","asynch","none-none",12,0
"SV1K5","asynch","none-none",13,0
"9EYZ0","asynch","none-impasse",1,0
"9EYZ0","asynch","none-impasse",2,1
"9EYZ0","asynch","none-impasse",3,2
"9EYZ0","asynch","none-impasse",4,3
"9EYZ0","asynch","none-impasse",5,4
"9EYZ0","asynch","none-impasse",6,5
"9EYZ0","asynch","none-impasse",7,5
"9EYZ0","asynch","none-impasse",8,6
"9EYZ0","asynch","none-impasse",9,6
"9EYZ0","asynch","none-impasse",10,7
"9EYZ0","asynch","none-impasse",11,8
"9EYZ0","asynch","none-impasse",12,9
"9EYZ0","asynch","none-impasse",13,10
"0EMZW","asynch","none-impasse",1,1
"0EMZW","asynch","none-impasse",2,2
"0EMZW","asynch","none-impasse",3,3
"0EMZW","asynch","none-impasse",4,4
"0EMZW","asynch","none-impasse",5,5
"0EMZW","asynch","none-impasse",6,6
"0EMZW","asynch","none-impasse",7,7
"0EMZW","asynch","none-impasse",8,8
"0EMZW","asynch","none-impasse",9,9
"0EMZW","asynch","none-impasse",10,10
"0EMZW","asynch","none-impasse",11,11
"0EMZW","asynch","none-impasse",12,12
"0EMZW","asynch","none-impasse",13,13
"KEMWH","asynch","none-none",1,0
"KEMWH","asynch","none-none",2,0
"KEMWH","asynch","none-none",3,0
"KEMWH","asynch","none-none",4,0
"KEMWH","asynch","none-none",5,1
"KEMWH","asynch","none-none",6,1
"KEMWH","asynch","none-none",7,1
"KEMWH","asynch","none-none",8,1
"KEMWH","asynch","none-none",9,1
"KEMWH","asynch","none-none",10,1
"KEMWH","asynch","none-none",11,1
"KEMWH","asynch","none-none",12,1
"KEMWH","asynch","none-none",13,1
"TBQB2","asynch","none-impasse",1,0
"TBQB2","asynch","none-impasse",2,0
"TBQB2","asynch","none-impasse",3,1
"TBQB2","asynch","none-impasse",4,2
"TBQB2","asynch","none-impasse",5,3
"TBQB2","asynch","none-impasse",6,4
"TBQB2","asynch","none-impasse",7,5
"TBQB2","asynch","none-impasse",8,6
"TBQB2","asynch","none-impasse",9,7
"TBQB2","asynch","none-impasse",10,8
"TBQB2","asynch","none-impasse",11,9
"TBQB2","asynch","none-impasse",12,10
"TBQB2","asynch","none-impasse",13,11
"MM806","asynch","none-impasse",1,0
"MM806","asynch","none-impasse",2,0
"MM806","asynch","none-impasse",3,0
"MM806","asynch","none-impasse",4,0
"MM806","asynch","none-impasse",5,0
"MM806","asynch","none-impasse",6,0
"MM806","asynch","none-impasse",7,0
"MM806","asynch","none-impasse",8,0
"MM806","asynch","none-impasse",9,0
"MM806","asynch","none-impasse",10,0
"MM806","asynch","none-impasse",11,0
"MM806","asynch","none-impasse",12,0
"MM806","asynch","none-impasse",13,0
"S0WU7","asynch","none-impasse",1,1
"S0WU7","asynch","none-impasse",2,2
"S0WU7","asynch","none-impasse",3,3
"S0WU7","asynch","none-impasse",4,4
"S0WU7","asynch","none-impasse",5,4
"S0WU7","asynch","none-impasse",6,5
"S0WU7","asynch","none-impasse",7,5
"S0WU7","asynch","none-impasse",8,6
"S0WU7","asynch","none-impasse",9,7
"S0WU7","asynch","none-impasse",10,8
