"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"WOJNW","121","winter22","asynch","Male",21,"Spanish","Fourth","United States","I tried my best on each question","2","4","4","I think I got most of them right, there was definitely a learning curve at the start until I figured out how the graphs work. Overall I like the lay out and how most information is presented. ","N/A",11.9848,11
"19SNU","111","winter22","asynch","Female",21,"X-Other","Fourth","USA","I tried my best on most questions","3","2","3","whether or not I got the questions right to know if I'm on the right track","undiagnosed attention disorder",9.4534,0
"76UV0","111","winter22","asynch","Female",20,"English","Second","United States","I tried my best on most questions","2","2","2","","",37.6728,8
"86P6B","111","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","3","5","I was very confused at first, I do not know if i did it right but the way  answered is what made sense in my head ","No ",15.8369833333333,11
"5QAJA","121","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","3","3","","No",10.93155,8
"94FR9","111","winter22","asynch","Female",27,"English","Fourth","USA","I tried my best on each question","4","3","2","","I have astigmatism in both eyes and find black text on a white background hard to read; I also have ADHD",11.2995166666667,2
"M3E87","121","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","4","2","3","I didn't know at all how to interpret the first set of questions about the graph. I left some blank if I couldn't see any that satisfied the condition and guessed on some others. The second set when Korrin (I think?) took over scheduling made sense and was much easier. I hope I answered more of those correctly.","no",18.0362166666667,0
"91D56","111","winter22","asynch","Female",20,"English","Third","USA","I tried my best on most questions","3","2","3","","",8.31815,0
"JMZMZ","121","winter22","asynch","Male",21,"English","Third","United States","I tried my best on most questions","4","3","2","I think it would have been helpful to know that it was possible to move on without selecting an answer from the beginning. ","No",12.6038833333333,0
"WZFMC","111","winter22","asynch","Female",20,"English","Second","US","I tried my best on each question","5","1","3","I was very confused, perhaps if you all used a different spread sheet, I think its hard to see if they times are lined up.","nope",9.45061666666667,1
"04YXZ","111","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on most questions","4","1","2","I was being distracted by my environment unwillingly ","no",9.67681666666667,0
"1HLEP","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","2","3","","",44.3193,0
"FPSQJ","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","3","5","N/A","No",5.9331,11
"TCS5Z","121","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","5","3","5","","",6.15418333333333,0
"T8OB0","111","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question","2","5","4","I initially read the graph differently than I did in the end and did not understand the triangle structure at first.","",11.8846333333333,12
"9XEMK","111","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","4","3","Wasn't sure how to sue the graph at first, though that may be part of the experiment.","No",10.2299833333333,0
"4KH27","111","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question","3","3","2","","no",11.13715,1
"ZMRMB","121","winter22","asynch","Male",21,"Korean","Fourth","South Korea","I tried my best on most questions","4","2","3","","",12.3185166666667,1
"ML0PA","121","winter22","asynch","Female",21,"Arabic","Third","Syria","I tried my best on each question","4","2","1","the overall diagram is hard to interpret.","No",9.5144,0
"ZDA7B","121","winter22","asynch","Male",20,"Spanish","Third","USA","I tried my best on each question","4","2","2","I was kind of confused for most of it because some questions didn't line up with what I interpreted of the graph. ","none",12.6443833333333,1
"YV1XZ","111","winter22","asynch","Female",18,"English","First","Hong Kong","I tried my best on most questions","4","2","4","","",9.0071,0
"HF78R","121","winter22","asynch","Male",21,"English","Fourth","United States of America","I tried my best on each question","3","3","4","","no",35.6469833333333,6
"BDQEZ","121","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question","2","4","3","","no",9.78451666666667,11
"V9JKJ","111","winter22","asynch","Male",21,"Cantonese","Fourth","USA","I tried my best on each question","2","4","4","it made me realize using colored bars on calendars to schedule things with people is better than this","no",13.0894166666667,0
"PVRS1","121","winter22","asynch","Female",22,"English","Fourth","United States","I tried my best on each question","5","3","5","I feel like I just realized a different way to read the darn graph- and I did everything wrong! Hopefully other people feel that too lol, very interesting experience!","no",17.1345833333333,0
"7OYPU","111","winter22","asynch","Other-Not Listed",23,"X-Other","Fourth","United States","I tried my best on each question","1","5","1","","",4.09963333333333,12
"N53LC","111","fall17","lab-synch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",12.2737666666667,2
"LJTDL","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.5134833333333,13
"5WPCV","121","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.8298,2
"KBQPW","121","fall17","lab-synch","Male",27,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0541,3
"KUHF1","121","fall17","lab-synch","Male",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.06356666666667,14
"R8PM2","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.41973333333333,2
"OQB9V","111","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.21741666666667,15
"MABX4","121","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.72021666666667,11
"TX10R","111","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4999,2
"M1REU","111","fall17","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.8817666666667,15
"SAAFX","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.2311666666667,13
"4GSTQ","111","fall17","lab-synch","Male",22,"English","Fifth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.4211833333333,2
"VT3ZX","121","fall17","lab-synch","Female",19,"Other","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9358833333333,11
"HKSU4","121","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.67103333333333,4
"FGMSN","121","fall17","lab-synch","Female",33,"English","Fourth","U.A.E","NULL","NULL","NULL","NULL","NULL","NULL",11.8982666666667,1
"5EWM2","121","fall17","lab-synch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.83036666666667,2
"ZZYXF","121","fall17","lab-synch","Female",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",14.6299666666667,2
"2BBZ9","111","fall17","lab-synch","Female",19,"English","Second","United States ","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,2
