"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"20LM4","113","Tri-Isosceles","winter22","asynch","Male",22,"English","Fourth","USA","I tried my best on each question","4","4","2","","No",13.8327833333333,"2","chrome","1920","937","online-replication",-1.21475093533917,11.7333333333333,-0.146250808015514,0,0,0,0,-12.5,0,9.68531666666667,44.7014615384615,6.646,105.184,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",33.458,0,-1,"Orthogonal",75.784,0,"Orthogonal",17.111,0,"Orthogonal",43.861,0,-5,3.15835,0,-7.5,6.52696666666667
"22FPD","11311112","Tri-Equilateral","summer22","asynch","Female",53,"English",NA,"United States","I tried my best on each question","4","3","3","n/a","n/a",14.0202,"1","chrome","1366","768","online-replication",-0.389750935339171,9.86057692307692,-0.605526826115061,0,0,0,0,-11,0,9.37788333333333,43.2825384615385,3.729,131.765,0,10,0,0,3,0,2,1,0,-1,"Orthogonal",40.479,0,-0.5,"?",64.816,0,"Orthogonal",34.114,0,"blank",3.729,0,-4.5,3.67733333333333,0,-6.5,5.70055
"293QB","113","Tri-Isosceles","winter22","asynch","Female",23,"Spanish","Fourth","United States","I tried my best on each question","4","3","3","","No",11.7343166666667,"1","chrome","1280","721","online-replication",2.24699148890325,6.12248168498169,1.12363984055161,0,0,2,3,-4,0.230769230769231,8.9011,41.082,8.14,83.952,3,6,1,0,3,1,3,0,0,-1,"Orthogonal",23.994,1,1,"Triangular",78.433,0,"Orthogonal",72.04,1,"Triangular",11.095,1,-1,3.2837,2,-3,5.6174
"2BBZ9","111","Orth-Isosceles","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,"NULL","NULL","NULL","NULL","laboratory",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,9.53566666666667,44.0107692307692,12.437,156.974,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",23.208,0,-1,"Orthogonal",156.974,0,"Orthogonal",20.594,0,"Orthogonal",26.737,0,-5,5.95416666666667,0,-8,3.5815
"2FYOZ","11111112","Orth-Equilateral","summer22","asynch","Male",28,"English",NA,"USA","I tried my best on each question","4","5","4","The graph was set up in a very confusing way. I'd go through how to properly read the graph itself before asking questions.","",6.65108333333333,"1","chrome","1910","976","online-replication",2.2363344988345,3.41842006033183,2.99748168498168,0,0,3,3,-1.5,0.230769230769231,3.9601,18.2773846153846,4.586,64.079,3,4,1,0,5,1,2,3,0,-1,"Orthogonal",9.518,0,-0.5,"?",23.927,0,"Orthogonal",17.832,0,"blank",18.349,1,0,1.84555,2,-1.5,2.11455
"2JRT6","111","Orth-Isosceles","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,"NULL","NULL","NULL","NULL","laboratory",8.50115815556992,-1.18385585003232,5.81113984055161,0,0,4,4,2,0.307692307692308,16.26485,75.0685384615385,11.51,223.726,4,1,3,0,5,3,5,0,0,-1,"Orthogonal",37.902,1,1,"Triangular",29.908,1,"Triangular",68.712,1,"Triangular",13.077,2,1,5.41825,2,1,10.8466
"2OPH4","11311112","Tri-Equilateral","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","3","4","2","Not being able to click quickly over to HIT Forker really lowered the amount of money I can make today. Please don't ask people to do this. You are literally depriving impoverished people who make less than $10K a year of money-making opportunities. Thank you.","No.",11.8780833333333,"2","chrome","1680","939","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.77948333333333,31.2899230769231,5.728,86.792,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",14.179,0,-1,"Orthogonal",62.456,0,"Orthogonal",14.263,0,"Orthogonal",32.039,0,-5,3.82126666666667,0,-8,2.95821666666667
"2P7ZX","11111112","Orth-Equilateral","summer22","asynch","Male",39,"English",NA,"USA","I tried my best on each question","4","3","5","I have never seen a scheduling matrix like this and I am very intrigued by it.","None",15.3937,"1","chrome","1920","1007","online-replication",-1.01134184443008,6.53914835164835,1.87983462615816,0,0,0,0,-7.5,0,10.38285,47.9208461538462,9.008,119.877,0,8,3,0,2,3,2,0,0,-1,"Orthogonal",26.126,0,-0.5,"?",86.183,0,"Orthogonal",13.42,0,"Orthogonal",44.376,0,-1.5,5.1787,0,-6,5.20415
"2PQSA","113","Tri-Isosceles","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question","3","4","2","","",8.4372,"3","chrome","1920","961","online-replication",12.9333333333333,-0.611937082525318,8.08974358974359,0,0,12,12,12.5,0.923076923076923,4.80693333333333,22.1858461538462,7.058,70.912,12,0,1,0,0,1,0,0,1,1,"Triangular",38.398,1,1,"Triangular",20.12,1,"Triangular",35.07,1,"Triangular",12.958,5,5,1.82306666666667,7,7.5,2.98386666666667
"2Q16G","113","Tri-Isosceles","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","4","2","2","This graph hurts my brain","no",15.2078833333333,"1","chrome","1194","710","online-replication",-0.023084268672504,9.76071428571429,0.478749191984486,0,0,0,0,-11.5,0,11.2748833333333,52.0379230769231,9.781,111.739,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",34.698,0,-1,"Orthogonal",100.813,0,"frenzy",38.159,0,"Orthogonal",45.191,0,-5,4.91621666666667,0,-6.5,6.35866666666667
"2WLTY","113","Tri-Isosceles","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question","5","1","5","","",9.5947,"2.5","chrome","1536","722","online-replication",4.24331501831502,-0.164913273001508,4.98573926073926,0,0,3,5,4,0.384615384615385,6.93608333333333,32.0126923076923,7.396,68.018,5,1,3,0,4,3,3,1,0,0.5,"Tversky",47.714,1,1,"Triangular",41.094,0,"Orthogonal",68.018,1,"Triangular",38.847,2,2.5,2.32503333333333,3,1.5,4.61105
