"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","OSPAN.order_num","OSPAN.math_acc","OSPAN.order_acc","OSPAN.weighted","ospan_split"
"WWMDF","111","fall21","asynch","Male",25,"English","Third","\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",13.97255,"NULL","NULL","NULL","NULL","control","online-replication",21,0.896551724137931,0.7,18.8275862068966,"low-memory"
"WYZCU","111","fall21","asynch","Male",31,"Other","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.0204,"NULL","NULL","NULL","NULL","control","online-replication",27,0.96551724137931,0.9,26.0689655172414,"high-memory"
"X8P7E","111","fall21","asynch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.35585,"NULL","NULL","NULL","NULL","control","online-replication",13,1,0.433333333333333,13,"low-memory"
"XCK4Q","111","fall21","asynch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",8.58988333333333,"NULL","NULL","NULL","NULL","control","online-replication",15,0.931034482758621,0.5,13.9655172413793,"low-memory"
"XG38D","111","fall21","asynch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.69075,"NULL","NULL","NULL","NULL","control","online-replication",23,0.931034482758621,0.766666666666667,21.4137931034483,"high-memory"
"XKX1V","121","fall21","asynch","Female",22,"English","Fourth","Philippines","NULL","NULL","NULL","NULL","NULL","NULL",10.7724833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",27,0.931034482758621,0.9,25.1379310344828,"high-memory"
"XOZJ7","111","fall21","asynch","Female",22,"Other","Fifth","Morocco","NULL","NULL","NULL","NULL","NULL","NULL",7.70293333333333,"NULL","NULL","NULL","NULL","control","online-replication",0,0.896551724137931,0,0,"low-memory"
"XV7KZ","111","fall21","asynch","Female",20,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.55011666666667,"NULL","NULL","NULL","NULL","control","online-replication",19,0.96551724137931,0.633333333333333,18.3448275862069,"low-memory"
"Y0MZ6","111","fall21","asynch","Female",27,"English","Fourth","Vietnam","NULL","NULL","NULL","NULL","NULL","NULL",13.4351666666667,"NULL","NULL","NULL","NULL","control","online-replication",23,1,0.766666666666667,23,"high-memory"
"Y7EP3","121","fall21","asynch","Female",21,"Spanish","Fourth","north America","NULL","NULL","NULL","NULL","NULL","NULL",10.1717833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",21,0.896551724137931,0.7,18.8275862068966,"low-memory"
"YAFMA","121","fall21","asynch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",3.84163333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",0,0.517241379310345,0,0,"low-memory"
"YAZM5","121","fall21","asynch","Female",19,"Spanish","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",19.4685333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",26,0.896551724137931,0.866666666666667,23.3103448275862,"high-memory"
"YJN2B","121","fall21","asynch","Female",21,"Other","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3882,"NULL","NULL","NULL","NULL","impasse","online-replication",22,0.896551724137931,0.733333333333333,19.7241379310345,"low-memory"
"YK2A6","111","fall21","asynch","Female",20,"English","Third","usa\n","NULL","NULL","NULL","NULL","NULL","NULL",5.93431666666667,"NULL","NULL","NULL","NULL","control","online-replication",22,0.827586206896552,0.733333333333333,18.2068965517241,"low-memory"
"YUWCZ","111","fall21","asynch","Female",22,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.9005166666667,"NULL","NULL","NULL","NULL","control","online-replication",22,0.931034482758621,0.733333333333333,20.4827586206897,"high-memory"
"Z461O","111","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.9450333333333,"NULL","NULL","NULL","NULL","control","online-replication",2,0.655172413793103,0.0666666666666667,1.31034482758621,"low-memory"
"ZL796","111","fall21","asynch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.5413833333333,"NULL","NULL","NULL","NULL","control","online-replication",27,0.96551724137931,0.9,26.0689655172414,"high-memory"
"ZZNSP","111","fall21","asynch","Male",25,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",18.91005,"NULL","NULL","NULL","NULL","control","online-replication",13,0.931034482758621,0.433333333333333,12.1034482758621,"low-memory"
