"subject","mode","pretty_condition","question","score"
"AEEBQ","asynch","11115",13,-12.5
"Z84ZV","asynch","11115",1,-1
"Z84ZV","asynch","11115",2,-2
"Z84ZV","asynch","11115",3,-1.5
"Z84ZV","asynch","11115",4,-2.5
"Z84ZV","asynch","11115",5,-2.5
"Z84ZV","asynch","11115",6,-3.5
"Z84ZV","asynch","11115",7,-4.5
"Z84ZV","asynch","11115",8,-5.5
"Z84ZV","asynch","11115",9,-6.5
"Z84ZV","asynch","11115",10,-7.5
"Z84ZV","asynch","11115",11,-7.5
"Z84ZV","asynch","11115",12,-8.5
"Z84ZV","asynch","11115",13,-9.5
"K83ZA","asynch","11115",1,-1
"K83ZA","asynch","11115",2,-2
"K83ZA","asynch","11115",3,-3
"K83ZA","asynch","11115",4,-4
"K83ZA","asynch","11115",5,-5
"K83ZA","asynch","11115",6,-6
"K83ZA","asynch","11115",7,-6.5
"K83ZA","asynch","11115",8,-7.5
"K83ZA","asynch","11115",9,-8.5
"K83ZA","asynch","11115",10,-9.5
"K83ZA","asynch","11115",11,-10.5
"K83ZA","asynch","11115",12,-10.5
"K83ZA","asynch","11115",13,-11.5
"F6V09","asynch","11115",1,-1
"F6V09","asynch","11115",2,-2
"F6V09","asynch","11115",3,-3
"F6V09","asynch","11115",4,-4
"F6V09","asynch","11115",5,-4.5
"F6V09","asynch","11115",6,-5.5
"F6V09","asynch","11115",7,-6
"F6V09","asynch","11115",8,-7
"F6V09","asynch","11115",9,-8
"F6V09","asynch","11115",10,-9
"F6V09","asynch","11115",11,-10
"F6V09","asynch","11115",12,-11
"F6V09","asynch","11115",13,-12
"YCA39","asynch","11115",1,-1
"YCA39","asynch","11115",2,-2
"YCA39","asynch","11115",3,-3
"YCA39","asynch","11115",4,-4
"YCA39","asynch","11115",5,-5
"YCA39","asynch","11115",6,-6
"YCA39","asynch","11115",7,-7
"YCA39","asynch","11115",8,-8
"YCA39","asynch","11115",9,-9
"YCA39","asynch","11115",10,-10
"YCA39","asynch","11115",11,-11
"YCA39","asynch","11115",12,-12
"YCA39","asynch","11115",13,-13
"4XWJ9","asynch","11115",1,0
"4XWJ9","asynch","11115",2,0.5
"4XWJ9","asynch","11115",3,0
"4XWJ9","asynch","11115",4,-0.5
"4XWJ9","asynch","11115",5,-1
"4XWJ9","asynch","11115",6,-2
"4XWJ9","asynch","11115",7,-2.5
"4XWJ9","asynch","11115",8,-2
"4XWJ9","asynch","11115",9,-3
"4XWJ9","asynch","11115",10,-4
"4XWJ9","asynch","11115",11,-4.5
"4XWJ9","asynch","11115",12,-5.5
"4XWJ9","asynch","11115",13,-4.5
"2ZH12","asynch","11115",1,-1
"2ZH12","asynch","11115",2,-2
"2ZH12","asynch","11115",3,-2
"2ZH12","asynch","11115",4,-2.5
"2ZH12","asynch","11115",5,-3
"2ZH12","asynch","11115",6,-4
"2ZH12","asynch","11115",7,-4.5
"2ZH12","asynch","11115",8,-5
"2ZH12","asynch","11115",9,-6
"2ZH12","asynch","11115",10,-7
"2ZH12","asynch","11115",11,-7.5
"2ZH12","asynch","11115",12,-7.5
"2ZH12","asynch","11115",13,-6.5
"5CNJR","asynch","11115",1,-1
"5CNJR","asynch","11115",2,0
"5CNJR","asynch","11115",3,1
"5CNJR","asynch","11115",4,2
"5CNJR","asynch","11115",5,1.5
"5CNJR","asynch","11115",6,2.5
"5CNJR","asynch","11115",7,2.5
"5CNJR","asynch","11115",8,3.5
"5CNJR","asynch","11115",9,4.5
"5CNJR","asynch","11115",10,5.5
"5CNJR","asynch","11115",11,6.5
"5CNJR","asynch","11115",12,7.5
"5CNJR","asynch","11115",13,8.5
"3TPYE","asynch","11115",1,-1
"3TPYE","asynch","11115",2,-2
"3TPYE","asynch","11115",3,-3
"3TPYE","asynch","11115",4,-4
"3TPYE","asynch","11115",5,-3
"3TPYE","asynch","11115",6,-2
"3TPYE","asynch","11115",7,-1
"3TPYE","asynch","11115",8,0
"3TPYE","asynch","11115",9,1
"3TPYE","asynch","11115",10,2
"3TPYE","asynch","11115",11,3
"3TPYE","asynch","11115",12,4
"3TPYE","asynch","11115",13,5
"F91EW","asynch","11115",1,-1
"F91EW","asynch","11115",2,-2
"F91EW","asynch","11115",3,-3
"F91EW","asynch","11115",4,-4
"F91EW","asynch","11115",5,-4
"F91EW","asynch","11115",6,-5
"F91EW","asynch","11115",7,-6
"F91EW","asynch","11115",8,-7
"F91EW","asynch","11115",9,-8
"F91EW","asynch","11115",10,-9
"F91EW","asynch","11115",11,-10
"F91EW","asynch","11115",12,-11
"F91EW","asynch","11115",13,-12
"61XQA","asynch","11115",1,-1
"61XQA","asynch","11115",2,-2
"61XQA","asynch","11115",3,-3
"61XQA","asynch","11115",4,-4
"61XQA","asynch","11115",5,-4.5
"61XQA","asynch","11115",6,-5.5
"61XQA","asynch","11115",7,-6.5
"61XQA","asynch","11115",8,-7
"61XQA","asynch","11115",9,-8
"61XQA","asynch","11115",10,-9
"61XQA","asynch","11115",11,-10
"61XQA","asynch","11115",12,-10
"61XQA","asynch","11115",13,-11
"XNRRS","asynch","11115",1,-1
"XNRRS","asynch","11115",2,-2
"XNRRS","asynch","11115",3,-3
"XNRRS","asynch","11115",4,-4
"XNRRS","asynch","11115",5,-4
"XNRRS","asynch","11115",6,-5
"XNRRS","asynch","11115",7,-6
"XNRRS","asynch","11115",8,-7
"XNRRS","asynch","11115",9,-8
"XNRRS","asynch","11115",10,-9
"XNRRS","asynch","11115",11,-10
"XNRRS","asynch","11115",12,-11
"XNRRS","asynch","11115",13,-12
"N8UV7","asynch","11115",1,1
"N8UV7","asynch","11115",2,2
"N8UV7","asynch","11115",3,3
"N8UV7","asynch","11115",4,4
"N8UV7","asynch","11115",5,5
"N8UV7","asynch","11115",6,6
"N8UV7","asynch","11115",7,7
"N8UV7","asynch","11115",8,8
"N8UV7","asynch","11115",9,9
"N8UV7","asynch","11115",10,10
"N8UV7","asynch","11115",11,11
"N8UV7","asynch","11115",12,12
"N8UV7","asynch","11115",13,13
"H1PJT","asynch","11115",1,1
"H1PJT","asynch","11115",2,2
"H1PJT","asynch","11115",3,3
"H1PJT","asynch","11115",4,4
"H1PJT","asynch","11115",5,5
"H1PJT","asynch","11115",6,6
"H1PJT","asynch","11115",7,7
"H1PJT","asynch","11115",8,8
"H1PJT","asynch","11115",9,9
"H1PJT","asynch","11115",10,10
"H1PJT","asynch","11115",11,11
"H1PJT","asynch","11115",12,12
"H1PJT","asynch","11115",13,13
"6FM91","asynch","11115",1,-1
"6FM91","asynch","11115",2,-2
"6FM91","asynch","11115",3,-1.5
"6FM91","asynch","11115",4,-0.5
"6FM91","asynch","11115",5,0.5
"6FM91","asynch","11115",6,-0.5
"6FM91","asynch","11115",7,-1.5
"6FM91","asynch","11115",8,-2.5
"6FM91","asynch","11115",9,-3.5
"6FM91","asynch","11115",10,-4.5
"6FM91","asynch","11115",11,-5.5
"6FM91","asynch","11115",12,-6.5
"6FM91","asynch","11115",13,-7
"QGTVP","asynch","11115",1,-1
"QGTVP","asynch","11115",2,-2
"QGTVP","asynch","11115",3,-3
"QGTVP","asynch","11115",4,-4
"QGTVP","asynch","11115",5,-5
"QGTVP","asynch","11115",6,-6
"QGTVP","asynch","11115",7,-7
"QGTVP","asynch","11115",8,-8
"QGTVP","asynch","11115",9,-7
"QGTVP","asynch","11115",10,-8
"QGTVP","asynch","11115",11,-9
"QGTVP","asynch","11115",12,-10
"QGTVP","asynch","11115",13,-11
"LOGAL","asynch","11115",1,-1
"LOGAL","asynch","11115",2,-2
"LOGAL","asynch","11115",3,-3
"LOGAL","asynch","11115",4,-4
"LOGAL","asynch","11115",5,-5
"LOGAL","asynch","11115",6,-6
"LOGAL","asynch","11115",7,-7
"LOGAL","asynch","11115",8,-8
"LOGAL","asynch","11115",9,-9
"LOGAL","asynch","11115",10,-10
"LOGAL","asynch","11115",11,-11
"LOGAL","asynch","11115",12,-12
"LOGAL","asynch","11115",13,-13
"QMZ24","asynch","11115",1,1
"QMZ24","asynch","11115",2,1.5
"QMZ24","asynch","11115",3,2.5
"QMZ24","asynch","11115",4,3.5
"QMZ24","asynch","11115",5,4.5
"QMZ24","asynch","11115",6,5.5
"QMZ24","asynch","11115",7,6.5
"QMZ24","asynch","11115",8,7.5
"QMZ24","asynch","11115",9,8.5
"QMZ24","asynch","11115",10,8
"QMZ24","asynch","11115",11,9
"QMZ24","asynch","11115",12,8.5
"QMZ24","asynch","11115",13,9.5
"ADRO0","asynch","11115",1,-1
"ADRO0","asynch","11115",2,-2
"ADRO0","asynch","11115",3,-3
"ADRO0","asynch","11115",4,-4
"ADRO0","asynch","11115",5,-5
