"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"3QQX3","11115","point-click","winter22","asynch","Male",19,"English","Second","US","I tried my best on most questions",4,2,2,"I originally thought I should follow slanted lines to find the start times (in opposition to straight up), but half way through the questions led me to believe that it should be straight above the lines.","",15.2533333333333,1,"chrome",1440,821,1.24715382656559,6.16057692307692,1.59617343440873,0,0,0,0,-8,0,9.69135,44.7293076923077,6.581,102.035,0,7,2,0,4,2,4,0,0,0.5,"Tversky",45.031,0,-0.5,"?",100.523,0,"Orthogonal",102.035,0,"Orthogonal",62.568,0,-0.5,228.551,0,-7.5,352.93
"3SG1K","11115","point-click","winter22","asynch","Female",20,"Mandarin","Third","China","I tried my best on each question",3,4,5,"","",9.51946666666667,1,"chrome",1440,820,11.875,0.589253393665158,8.08974358974359,0,0,0,12,11,0.923076923076923,6.4584,29.808,6.409,83.417,12,1,0,0,0,0,0,0,1,1,"Triangular",78.703,1,1,"Triangular",51.092,1,"Triangular",29.702,1,"Triangular",15.125,5,5,188.263,7,6,199.241
"3TPYE","11115","point-click","winter22","asynch","Female",21,"English","Third","United States","I tried my best on most questions",4,3,1,"","",8.93703333333333,2,"chrome",1440,821,8.76831501831502,3.71425339366516,4.36996336996337,0,0,0,9,5,0.692307692307692,5.2818,24.3775384615385,6.25,91.21,9,4,0,0,0,0,0,0,0,-1,"Orthogonal",29.797,1,1,"Triangular",91.21,1,"Triangular",48.028,1,"Triangular",15.347,1,-3,151.636,8,8,165.272
"47G4D","11115","point-click","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on most questions",3,3,4,""," NO",6.7302,2,"chrome",1440,733,0.63865815556992,10.9375,0.416249191984486,0,0,0,1,-10,0.0769230769230769,4.51601666666667,20.8431538461538,8.194,76.363,1,11,0,0,1,0,0,1,0,-1,"Orthogonal",76.363,0,0,"blank",37.111,0,"Orthogonal",11.458,0,"Orthogonal",15.245,0,-4,149.151,1,-6,121.81
"4BCUB","11115","point-click","winter22","asynch","Female",20,"X-Other","Third","United States","I tried my best on each question",2,4,1,"Nothing.","No.",24.31175,1,"chrome",1440,821,-0.42384184443008,12,-0.646250808015514,0,0,0,0,-12,0,18.7428166666667,86.5053076923077,5.665,646.386,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",22.785,0,0,"blank",646.386,0,"Orthogonal",12.659,0,"Orthogonal",86.766,0,-4,819.984,0,-8,304.585
"4XWJ9","11115","point-click","winter22","asynch","Female",21,"Mandarin","Third","China","I tried my best on each question",3,3,3,"","",11.2240333333333,3,"chrome",1368,801,-0.0216513878278584,2.71842006033182,2.85007272139625,0,0,0,1,-4.5,0.0769230769230769,4.71358333333333,21.755,5.197,42.896,1,4,2,0,6,2,5,1,0,0,"blank",15.154,0,-0.5,"?",15.273,0,"Orthogonal",17.236,1,"Triangular",23.381,0,-1,95.096,1,-3.5,187.719
"520AG","11115","point-click","winter22","asynch","Female",21,"Mandarin","Fourth","USA","I tried my best on each question",3,4,3,"","",24.6500666666667,1,"chrome",1536,881,-0.598084268672504,11.9,0.187082525317819,0,0,0,0,-12.5,0,18.3862833333333,84.8597692307692,6.532,289.058,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",9.502,0,-1,"Orthogonal",234.791,0,"Orthogonal",46.643,0,"Orthogonal",97.528,0,-4.5,392.635,0,-8,710.542
"5CNJR","11115","point-click","winter22","asynch","Female",22,"English","Fifth","United States","I tried my best on each question",2,4,5,"","",8.74393333333333,2,"chrome",1383,711,9.92307692307692,0.614253393665158,7.09523809523809,0,0,0,10,8.5,0.769230769230769,4.84343333333333,22.3543076923077,7.384,72.557,10,1,0,0,2,0,1,1,0,-1,"Orthogonal",15.427,0,-0.5,"?",72.557,1,"Triangular",26.555,1,"Triangular",9.825,3,1.5,148.589,7,7,142.017
"61XQA","11115","point-click","winter22","asynch","Male",20,"English","Second","United States","I tried my best on most questions",2,3,3,"","",10.33445,1,"chrome",1440,788,-0.618265068265068,9.78365384615385,-0.812702003878474,0,0,0,0,-11,0,7.40383333333333,34.1715384615385,5.322,111.154,0,10,0,0,3,0,2,1,0,-1,"Orthogonal",18.158,0,-0.5,"?",61.088,0,"Orthogonal",14.191,0,"Orthogonal",75.047,0,-4.5,148.321,0,-6.5,295.909
"64VZS","11115","point-click","winter22","asynch","Female",21,"Mandarin","Fourth","China","I tried my best on each question",2,5,5,"","None",12.9173166666667,1,"chrome",1440,703,13,-0.535746606334842,8.08974358974359,0,0,0,13,13,1,3.75931666666667,17.3506923076923,6.853,51.356,13,0,0,0,0,0,0,0,1,1,"Triangular",35.115,1,1,"Triangular",14.36,1,"Triangular",27.002,1,"Triangular",9.226,5,5,88.904,8,8,136.655
