"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"W0BU0","SGC4D","11311112","TRI-equilateral","suPROLIFIC","63058a8765a9341fb889e9f8","60b9af795939f976cb74232a","prolific","asynch","TRUE","I tried my best on each question",3,4,5,"I understood what I was doing more and more as I got more practice reading the chart. Thank you and good luck!",45,"United States","English","some college","Humanities","Male","no","chrome",1452,744,"Windows 10","2022-08-24T05:01:54.033Z","success","summer22",7,3,22.8516,"exceeded-violations"
"MSY24","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62dc2f588e2518753d3e0e12","prolific","asynch","TRUE","I tried my best on each question",4,4,5,"",26,"USA","English","Graduate Degree","Engineering","Male","not at all.","chrome",1366,768,"Windows 10","2022-08-24T19:00:25.753Z","success","summer22",5.5,0,13.1521666666667,"exceeded-violations"
"PGGF2","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","62e6e9bffdcd02bee9c6ebbf","prolific","asynch","TRUE","I tried my best on each question",3,4,5,"None",31,"USA","English","Bachelors Degree","Math or Computer Sciences","Male","None","chrome",1374,936,"Windows 10","2022-08-24T06:39:59.222Z","success","summer22",4.5,1,29.8716166666667,"exceeded-violations"
"MP5P5","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","5658000ca9872d0011e1ba26","prolific","asynch","TRUE","I tried my best on each question",4,4,3,"",33,"United States","English","Secondary School/Highschool","Humanities","Male","","chrome",2560,1367,"Windows 10","2022-08-24T08:11:16.360Z","success","summer22",6,0,23.26385,"exceeded-violations"
"OP4AD","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","62e029395b324b1a05508694","prolific","asynch","FALSE","I started out trying hard, but gave up at some point",5,2,2,"",24,"United States","English","Primary School","Social Sciences (incl. CogSci)","Male","No","chrome",1920,961,"Windows 10","2022-08-24T06:36:07.704Z","success","summer22",1,1,5.90078333333333,"selfrated-effort"
