"subject","condition","term","mode","question","q","answer","correct","rt_s","response","num_o"
"QMZ24","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"G ",FALSE,51.002,"G ",2
"QMZ24","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,304.41,"I ",2
"QMZ24","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,10.758,"E ",2
"QMZ24","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,55.225,"L M ",4
"QMZ24","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"E ",FALSE,7.647,"E ",2
"QMZ24","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,I ",FALSE,15.597,"E I ",4
"QMZ24","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"F ,G ",FALSE,21.544,"F G ",4
"QMZ24","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K ,X ",FALSE,42.595,"K X ",4
"ADRO0","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,19.313,"A ",2
"ADRO0","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,37.052,"E ",2
"ADRO0","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,58.076,"Z ",2
"ADRO0","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,143.762,"U ",2
"ADRO0","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,191.163,"U ",2
"ADRO0","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,15.015,"E G ",4
"ADRO0","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,34.979,"B F ",4
"ADRO0","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,101.807,"E ",2
"ADRO0","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,64.508,"I ",2
"ADRO0","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,118.398,"X ",2
"ADRO0","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,14.069,"B F ",4
"ADRO0","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,13.349,"B ",2
"ADRO0","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,44.011,"F X ",4
"ADRO0","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,58.712,"B ",2
"ADRO0","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,126.915,"E F ",4
"D6P9K","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,53.923,"A ",2
"D6P9K","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.779,"E ",2
"D6P9K","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,29.629,"A ",2
"D6P9K","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"H ",FALSE,9.303,"H ",2
"D6P9K","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,12.473,"O ",2
"D6P9K","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,23.913,"E G ",4
"D6P9K","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"O ,X ",FALSE,28.792,"O X ",4
"D6P9K","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"G ",FALSE,65.211,"G ",2
"D6P9K","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,47.721,"I ",2
"D6P9K","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,16.058,"E ",2
"D6P9K","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,14.367,"L M ",4
"D6P9K","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"G ",FALSE,6.636,"G ",2
"D6P9K","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"",FALSE,13.92,"",0
"D6P9K","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,13.89,"X ",2
"D6P9K","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K ,X ",FALSE,12.45,"K X ",4
"J3FYJ","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,28.057,"A ",2
"J3FYJ","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,38.878,"E ",2
"J3FYJ","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"D ",FALSE,142.653,"D ",2
"J3FYJ","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,63.053,"U ",2
"J3FYJ","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"A ",FALSE,26.67,"A ",2
"J3FYJ","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,5.642,"E G ",4
"J3FYJ","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,22.761,"B F ",4
"J3FYJ","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"I ,J ",FALSE,45.066,"I J ",4
"J3FYJ","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,25.307,"I ",2
"J3FYJ","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"I ,J ",FALSE,17.565,"I J ",4
"J3FYJ","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,10.983,"B F ",4
"J3FYJ","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,9.788,"B ",2
"J3FYJ","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,23.749,"F X ",4
"J3FYJ","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,46.226,"B ",2
"J3FYJ","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"F ",FALSE,27.396,"F ",2
"NHP4G","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,30.052,"A ",2
"NHP4G","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,8.416,"E ",2
"NHP4G","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,22.905,"Z ",2
"NHP4G","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,44.344,"U ",2
"NHP4G","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"D ,E ",FALSE,19.255,"D E ",4
"NHP4G","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,7.912,"E G ",4
"NHP4G","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,D ,F ,I ,J ,M ,N ,O ,Z ,X ",FALSE,28.009,"B D F I J M N O Z X ",20
"NHP4G","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,11.444,"E ",2
"NHP4G","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,8.753,"I ",2
"NHP4G","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,13.871,"X ",2
"NHP4G","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,8.225,"B F ",4
"NHP4G","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ,F ",FALSE,8.051,"B F ",4
"NHP4G","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,23.407,"F X ",4
"NHP4G","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"E ",FALSE,11.901,"E ",2
"NHP4G","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"C ,G ",FALSE,8.075,"C G ",4
"QAU26","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"",FALSE,19.5,"",0
"QAU26","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,22.154,"E ",2
"QAU26","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ,U ,B ",FALSE,25.429,"A U B ",6
"QAU26","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"D ,E ",FALSE,13.045,"D E ",4
"QAU26","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ,K ",FALSE,9.54,"O K ",4
"QAU26","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,15.443,"E G ",4
"QAU26","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,16.197,"B F ",4
"QAU26","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"G ,M ",FALSE,39.522,"G M ",4
"QAU26","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"E ",FALSE,19.486,"E ",2
"QAU26","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,28.713,"E ",2
"QAU26","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,15.731,"L M ",4
"QAU26","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"G ",FALSE,8.376,"G ",2
"QAU26","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,F ",FALSE,19.601,"E F ",4
"QAU26","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,13.324,"X ",2
"QAU26","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,23.55,"E F ",4
"0S724","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,25.008,"A ",2
"0S724","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,20.292,"E ",2
"0S724","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,37.349,"Z ",2
"0S724","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"D ,E ",FALSE,47.42,"D E ",4
"0S724","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,21.984,"O ",2
"0S724","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,16.081,"E G ",4
"0S724","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,28.723,"B F ",4
"0S724","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"D ,J ,N ",FALSE,28.059,"D J N ",6
"0S724","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"F ,I ",FALSE,16.051,"F I ",4
"0S724","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"B ",FALSE,7.246,"B ",2
"0S724","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,21.62,"B F ",4
"0S724","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,5.042,"B ",2
"0S724","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"D ,N ",FALSE,26.162,"D N ",4
"0S724","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"",FALSE,13.99,"",0
"0S724","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K ,X ",FALSE,18.334,"K X ",4
"2W0WT","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,20.552,"A ",2
"2W0WT","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,18.042,"E ",2
"2W0WT","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,8.551,"A ",2
"2W0WT","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"E ",FALSE,16.185,"E ",2
"2W0WT","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,26.67,"O ",2
"2W0WT","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,7.216,"E G ",4
"2W0WT","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,14.03,"B F ",4
"2W0WT","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"D ,E ,I ,J ,N ",FALSE,37.568,"D E I J N ",10
"2W0WT","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ,M ",FALSE,49.531,"I M ",4
"2W0WT","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"I ,J ",FALSE,19.263,"I J ",4
"2W0WT","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,9.117,"B F ",4
"2W0WT","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,10.045,"B ",2
"2W0WT","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,39.735,"F X ",4
"2W0WT","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,40.136,"B ",2
"2W0WT","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"B ,E ",FALSE,48.719,"B E ",4
"NU6LU","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,16.673,"A ",2
"NU6LU","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.909,"E ",2
"NU6LU","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,34.394,"Z ",2
"NU6LU","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,11.953,"U ",2
"NU6LU","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,103.548,"U ",2
"NU6LU","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,8.243,"E G ",4
"NU6LU","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,14.264,"B F ",4
"NU6LU","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,34.33,"E ",2
"NU6LU","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,12.661,"I ",2
"NU6LU","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,30.603,"X ",2
"NU6LU","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,7.576,"B F ",4
"NU6LU","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,3.859,"B ",2
"NU6LU","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,26.221,"F X ",4
"NU6LU","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,29.408,"B ",2
"NU6LU","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,16.458,"E F ",4
"31386","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,57.919,"A ",2
"31386","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"K ",FALSE,72.774,"K ",2
"31386","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,31.326,"Z ",2
"31386","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,12.661,"U ",2
"31386","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,70.167,"O ",2
"31386","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,9.375,"E G ",4
"31386","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"H ,O ",FALSE,51.39,"H O ",4
"31386","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"G ",FALSE,49.677,"G ",2
"31386","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,73.774,"I ",2
"31386","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,9.329,"E ",2
"31386","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,9.708,"L M ",4
"31386","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"G ",FALSE,13.509,"G ",2
"31386","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,F ",FALSE,22.901,"E F ",4
"31386","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,18.404,"X ",2
"31386","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"C ,X ",FALSE,45.024,"C X ",4
"BCPEC","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,22.967,"A ",2
"BCPEC","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"J ",FALSE,17.528,"J ",2
"BCPEC","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,53.794,"Z ",2
"BCPEC","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,45.702,"U ",2
"BCPEC","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"K ",FALSE,29.232,"K ",2
"BCPEC","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,27.485,"E G ",4
"BCPEC","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"C ,H ",FALSE,29.288,"C H ",4
"BCPEC","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"K ",FALSE,71.498,"K ",2
"BCPEC","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,12.069,"I ",2
"BCPEC","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"Z ",FALSE,13.978,"Z ",2
"BCPEC","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,13.974,"B F ",4
"BCPEC","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,13.718,"B ",2
"BCPEC","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"O ,X ",FALSE,21.316,"O X ",4
"BCPEC","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,90.579,"B ",2
"BCPEC","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"B ,F ",FALSE,29.88,"B F ",4
"6Q1UC","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,18.152,"A ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,11.657,"E ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,11.577,"Z ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,40.428,"U ",2
"6Q1UC","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,98.432,"U ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,7.717,"E G ",4
"6Q1UC","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,19.946,"B F ",4
"6Q1UC","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,49.191,"E ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,11.885,"I ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,42.849,"X ",2
"6Q1UC","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,8.945,"B F ",4
"6Q1UC","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,6.084,"B ",2
"6Q1UC","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,17.939,"F X ",4
"6Q1UC","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,26.341,"B ",2
"6Q1UC","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,35.21,"E F ",4
"OU3SL","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,18.589,"A ",2
"OU3SL","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,22.053,"E ",2
"OU3SL","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,16.92,"Z ",2
"OU3SL","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,56.879,"U ",2
"OU3SL","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,262.836,"U ",2
"OU3SL","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,9.702,"E G ",4
"OU3SL","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,27.115,"B F ",4
"OU3SL","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,63.314,"E ",2
"OU3SL","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,43.954,"I ",2
"OU3SL","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,96.246,"X ",2
"OU3SL","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,9.039,"B F ",4
"OU3SL","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,5.768,"B ",2
"OU3SL","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,27.705,"F X ",4
"OU3SL","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,29.428,"B ",2
"OU3SL","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,160.047,"E F ",4
"ZRRZW","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,30.476,"A ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"I ",FALSE,8.469,"I ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,19.427,"Z ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,57.751,"U ",2
"ZRRZW","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,53.096,"U ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,9.47,"E G ",4
"ZRRZW","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,18.708,"B F ",4
"ZRRZW","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,26.611,"E ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,24.533,"I ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,32.443,"X ",2
"ZRRZW","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,15.713,"B F ",4
"ZRRZW","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,6.744,"B ",2
"ZRRZW","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,44.229,"F X ",4
"ZRRZW","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,35.644,"X ",2
"ZRRZW","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,58.962,"E F ",4
"GNP7O","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,14.559,"A ",2
"GNP7O","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"D ,E ",FALSE,12.835,"D E ",4
"GNP7O","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,33.377,"Z ",2
"GNP7O","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,29.57,"U ",2
"GNP7O","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,39.407,"U ",2
"GNP7O","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,9.54,"E G ",4
"GNP7O","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,19.028,"B F ",4
"GNP7O","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,15.241,"E ",2
"GNP7O","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,10.771,"I ",2
"GNP7O","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,12.455,"X ",2
"GNP7O","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,13.925,"B F ",4
"GNP7O","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,8.346,"B ",2
"GNP7O","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"X ",FALSE,21.413,"X ",2
"GNP7O","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"F ",FALSE,21.487,"F ",2
"GNP7O","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"F ",FALSE,18.917,"F ",2
"VWB05","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,24.46,"A ",2
"VWB05","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,7.515,"E ",2
"VWB05","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,13.521,"Z ",2
"VWB05","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,24.502,"U ",2
"VWB05","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,23.075,"",0
"VWB05","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,5.215,"E G ",4
"VWB05","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,13.969,"B F ",4
"VWB05","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,20.651,"E ",2
"VWB05","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"J ",FALSE,34.004,"J ",2
"VWB05","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"J ",FALSE,14.463,"J ",2
"VWB05","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,4.434,"B F ",4
"VWB05","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,2.867,"B ",2
"VWB05","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,23.37,"F X ",4
