"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"L0M3H","121","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.94343333333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory",0.421396250808016,8,-0.883430295195001,2.26923076923077,0,1,1,-10.5,0.0769230769230769,5.75185,26.547,6.13,46.926,1,8,0,3,1,0,1,0,0,-1,"Satisfice",41.653,1,1,"Triangular",23.845,0,"Orthogonal",15.338,0,"Orthogonal",46.926,1,-2.5,2.59096666666667,0,-8,3.16088333333333
"L0W0F","111","spring18","lab-synch","Female",28,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.4247,"NULL","NULL","NULL","NULL","none-control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,6.17576666666667,28.5035384615385,7.994,112.983,13,0,0,0,0,0,0,0,1,1,"Triangular",112.983,1,1,"Triangular",13.877,1,"Triangular",47.76,1,"Triangular",23.736,5,5,2.6276,8,8,3.54816666666667
"LCFZM","211","fall21","asynch","Female",21,"Spanish","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.6483166666667,"NULL","NULL","NULL","NULL","img-control","online-replication",10.7355769230769,0.47615815556992,6.17517776341306,0,0,11,11,9.5,0.846153846153846,9.43905,43.5648461538462,11.317,111.357,11,1,0,0,1,0,1,0,0,-1,"Orthogonal",58.41,1,1,"Triangular",97.776,1,"Triangular",111.357,0,"?",50.847,4,3,4.21621666666667,7,6.5,5.22283333333333
"LFDYR","221","fall17","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.84635,"NULL","NULL","NULL","NULL","img-impasse","laboratory",9.85641025641026,-0.213585434173669,6.50641025641026,0.274725274725275,1,10,10,8.5,0.769230769230769,6.08645,28.0913076923077,6.584,47.088,10,0,0,1,2,0,1,1,1,1,"Triangular",47.088,1,1,"Triangular",12.886,1,"Triangular",44.27,1,"Triangular",26.921,3,2,2.6485,7,6.5,3.43795
"LJTDL","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.5134833333333,"NULL","NULL","NULL","NULL","none-impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,12,13,13,1,8.94476666666667,41.2835384615385,11.201,201.261,13,0,0,0,0,0,0,0,1,1,"Triangular",75.749,1,1,"Triangular",20.532,1,"Triangular",37.563,1,"Triangular",15.445,5,5,5.82491666666667,8,8,3.11985
"LSRUK","311","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",7.97713333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,4.0785,18.8238461538462,4.281,51.817,13,0,0,0,0,0,0,0,1,1,"Triangular",51.817,1,1,"Triangular",17.29,1,"Triangular",34.156,1,"Triangular",24.043,5,5,1.89125,8,8,2.18725
"LST9D","211","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.6654666666667,"NULL","NULL","NULL","NULL","img-control","laboratory",-0.586179506767742,13,-0.217679379444085,0,0,0,0,-13,0,6.0847,28.0832307692308,10.138,95.545,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",18.816,0,-1,"Orthogonal",95.545,0,"Orthogonal",11.893,0,"Orthogonal",38.26,0,-5,3.30745,0,-8,2.77725
"LV9FA","311","fall17","lab-synch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0996833333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory",11.9230769230769,0.542824822236587,7.01831501831502,0,0,12,12,11,0.923076923076923,5.32053333333333,24.5563076923077,8.538,57.322,12,1,0,0,0,0,0,0,0,-1,"Orthogonal",31.595,1,1,"Triangular",30.142,1,"Triangular",38.223,1,"Triangular",21.989,4,3,2.4308,8,8,2.88973333333333
"LY74F","221","fall17","lab-synch","Male",20,"Other","Third","Thailand","NULL","NULL","NULL","NULL","NULL","NULL",7.73688333333333,"NULL","NULL","NULL","NULL","img-impasse","laboratory",12.4375,-0.213585434173669,6.94391025641026,0.697802197802198,0,12,12,12.5,0.923076923076923,5.29551666666667,24.4408461538462,6.292,63.845,12,0,1,0,0,1,0,0,1,1,"Triangular",35.891,1,1,"Triangular",63.845,0,"Tversky",37.666,1,"Triangular",22.378,5,5,2.7751,7,7.5,2.52041666666667
"LYNWR","221","summer22","asynch","Male",21,"English",NA,"United States","I tried my best on each question","3","3","4","","N/A",7.0453,"3","chrome","1920","937","img-impasse","online-replication",-0.786937082525318,6.5,-0.535014005602241,0.846153846153846,0,0,0,-9,0,4.2362,19.5516923076923,3.162,37.426,0,7,0,1,5,0,2,3,0,-1,"Satisfice",28.309,0,-0.5,"?",25.799,0,"Orthogonal",17.694,0,"blank",24.338,0,-2,1.71745,0,-7,2.51875
