"subject","mode","pretty_condition","question","score","implicit","explicit"
"3QO3J","lab-synch","none-control",1,1,"none","none"
"3QO3J","lab-synch","none-control",2,0,"none","none"
"3QO3J","lab-synch","none-control",3,-0.5,"none","none"
"3QO3J","lab-synch","none-control",4,0,"none","none"
"3QO3J","lab-synch","none-control",5,-0.5,"none","none"
"3QO3J","lab-synch","none-control",6,-1.5,"none","none"
"3QO3J","lab-synch","none-control",7,-2,"none","none"
"3QO3J","lab-synch","none-control",8,-2.5,"none","none"
"3QO3J","lab-synch","none-control",9,-3.5,"none","none"
"3QO3J","lab-synch","none-control",10,-4.5,"none","none"
"3QO3J","lab-synch","none-control",11,-5,"none","none"
"3QO3J","lab-synch","none-control",12,-5.5,"none","none"
"3QO3J","lab-synch","none-control",13,-4.5,"none","none"
"O577M","lab-synch","img-control",1,1,"none","img"
"O577M","lab-synch","img-control",2,2,"none","img"
"O577M","lab-synch","img-control",3,3,"none","img"
"O577M","lab-synch","img-control",4,4,"none","img"
"O577M","lab-synch","img-control",5,4.5,"none","img"
"O577M","lab-synch","img-control",6,5.5,"none","img"
"O577M","lab-synch","img-control",7,6.5,"none","img"
"O577M","lab-synch","img-control",8,7.5,"none","img"
"O577M","lab-synch","img-control",9,8.5,"none","img"
"O577M","lab-synch","img-control",10,9.5,"none","img"
"O577M","lab-synch","img-control",11,9,"none","img"
"O577M","lab-synch","img-control",12,10,"none","img"
"O577M","lab-synch","img-control",13,11,"none","img"
"AHBMC","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",2,2,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",3,3,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",4,4,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",5,5,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",6,4,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",7,3,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",8,4,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",9,5,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",10,6,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",11,7,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",12,8,"impasse","ixv"
"AHBMC","lab-synch","ixv-impasse",13,9,"impasse","ixv"
"M675E","lab-synch","none-impasse",1,0,"impasse","none"
"M675E","lab-synch","none-impasse",2,1,"impasse","none"
"M675E","lab-synch","none-impasse",3,2,"impasse","none"
"M675E","lab-synch","none-impasse",4,3,"impasse","none"
"M675E","lab-synch","none-impasse",5,4,"impasse","none"
"M675E","lab-synch","none-impasse",6,5,"impasse","none"
"M675E","lab-synch","none-impasse",7,6,"impasse","none"
"M675E","lab-synch","none-impasse",8,7,"impasse","none"
"M675E","lab-synch","none-impasse",9,8,"impasse","none"
"M675E","lab-synch","none-impasse",10,9,"impasse","none"
"M675E","lab-synch","none-impasse",11,10,"impasse","none"
"M675E","lab-synch","none-impasse",12,11,"impasse","none"
"M675E","lab-synch","none-impasse",13,12,"impasse","none"
"HK4RU","lab-synch","ixv-control",1,1,"none","ixv"
"HK4RU","lab-synch","ixv-control",2,2,"none","ixv"
"HK4RU","lab-synch","ixv-control",3,3,"none","ixv"
"HK4RU","lab-synch","ixv-control",4,4,"none","ixv"
"HK4RU","lab-synch","ixv-control",5,5,"none","ixv"
"HK4RU","lab-synch","ixv-control",6,6,"none","ixv"
"HK4RU","lab-synch","ixv-control",7,7,"none","ixv"
"HK4RU","lab-synch","ixv-control",8,8,"none","ixv"
"HK4RU","lab-synch","ixv-control",9,9,"none","ixv"
"HK4RU","lab-synch","ixv-control",10,10,"none","ixv"
"HK4RU","lab-synch","ixv-control",11,11,"none","ixv"
"HK4RU","lab-synch","ixv-control",12,12,"none","ixv"
"HK4RU","lab-synch","ixv-control",13,13,"none","ixv"
"SZH6M","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",2,1,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",3,2,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",4,3,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",5,4,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",6,5,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",7,6,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",8,7,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",9,8,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",10,9,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",11,10,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",12,11,"impasse","ixv"
"SZH6M","lab-synch","ixv-impasse",13,12,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",2,2,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",3,3,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",4,4,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",5,5,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",6,6,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",7,7,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",8,8,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",9,9,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",10,10,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",11,11,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",12,12,"impasse","ixv"
"18BB6","lab-synch","ixv-impasse",13,13,"impasse","ixv"
"DXES9","lab-synch","img-impasse",1,1,"impasse","img"
"DXES9","lab-synch","img-impasse",2,2,"impasse","img"
"DXES9","lab-synch","img-impasse",3,3,"impasse","img"
"DXES9","lab-synch","img-impasse",4,4,"impasse","img"
"DXES9","lab-synch","img-impasse",5,5,"impasse","img"
"DXES9","lab-synch","img-impasse",6,6,"impasse","img"
"DXES9","lab-synch","img-impasse",7,7,"impasse","img"
"DXES9","lab-synch","img-impasse",8,8,"impasse","img"
"DXES9","lab-synch","img-impasse",9,9,"impasse","img"
"DXES9","lab-synch","img-impasse",10,10,"impasse","img"
"DXES9","lab-synch","img-impasse",11,11,"impasse","img"
"DXES9","lab-synch","img-impasse",12,12,"impasse","img"
"DXES9","lab-synch","img-impasse",13,13,"impasse","img"
"137NC","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",2,2,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",3,3,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",4,4,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",5,4.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",6,5.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",7,6.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",8,7.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",9,8.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",10,9.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",11,10.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",12,11.5,"impasse","ixv"
"137NC","lab-synch","ixv-impasse",13,12.5,"impasse","ixv"
"R8PM2","lab-synch","none-control",1,-1,"none","none"
"R8PM2","lab-synch","none-control",2,-2,"none","none"
"R8PM2","lab-synch","none-control",3,-3,"none","none"
"R8PM2","lab-synch","none-control",4,-4,"none","none"
"R8PM2","lab-synch","none-control",5,-4.5,"none","none"
"R8PM2","lab-synch","none-control",6,-5.5,"none","none"
"R8PM2","lab-synch","none-control",7,-6.5,"none","none"
"R8PM2","lab-synch","none-control",8,-7.5,"none","none"
"R8PM2","lab-synch","none-control",9,-8.5,"none","none"
"R8PM2","lab-synch","none-control",10,-9.5,"none","none"
"R8PM2","lab-synch","none-control",11,-10.5,"none","none"
"R8PM2","lab-synch","none-control",12,-11.5,"none","none"
"R8PM2","lab-synch","none-control",13,-12.5,"none","none"
"J9XH8","lab-synch","img-impasse",1,0.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",2,1.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",3,0.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",4,1.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",5,2,"impasse","img"
"J9XH8","lab-synch","img-impasse",6,1.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",7,0.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",8,1.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",9,2.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",10,3,"impasse","img"
"J9XH8","lab-synch","img-impasse",11,2.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",12,3.5,"impasse","img"
"J9XH8","lab-synch","img-impasse",13,3,"impasse","img"
"6NY13","lab-synch","ixv-control",1,1,"none","ixv"
"6NY13","lab-synch","ixv-control",2,2,"none","ixv"
"6NY13","lab-synch","ixv-control",3,3,"none","ixv"
"6NY13","lab-synch","ixv-control",4,4,"none","ixv"
"6NY13","lab-synch","ixv-control",5,5,"none","ixv"
"6NY13","lab-synch","ixv-control",6,6,"none","ixv"
"6NY13","lab-synch","ixv-control",7,7,"none","ixv"
"6NY13","lab-synch","ixv-control",8,8,"none","ixv"
"6NY13","lab-synch","ixv-control",9,9,"none","ixv"
"6NY13","lab-synch","ixv-control",10,10,"none","ixv"
"6NY13","lab-synch","ixv-control",11,11,"none","ixv"
"6NY13","lab-synch","ixv-control",12,12,"none","ixv"
"6NY13","lab-synch","ixv-control",13,13,"none","ixv"
"JFFAY","lab-synch","none-control",1,-1,"none","none"
"JFFAY","lab-synch","none-control",2,-1,"none","none"
"JFFAY","lab-synch","none-control",3,-2,"none","none"
"JFFAY","lab-synch","none-control",4,-3,"none","none"
"JFFAY","lab-synch","none-control",5,-4,"none","none"
"JFFAY","lab-synch","none-control",6,-5,"none","none"
"JFFAY","lab-synch","none-control",7,-6,"none","none"
"JFFAY","lab-synch","none-control",8,-7,"none","none"
"JFFAY","lab-synch","none-control",9,-8,"none","none"
"JFFAY","lab-synch","none-control",10,-9,"none","none"
"JFFAY","lab-synch","none-control",11,-10,"none","none"
"JFFAY","lab-synch","none-control",12,-11,"none","none"
"JFFAY","lab-synch","none-control",13,-12,"none","none"
"A57EU","lab-synch","img-impasse",1,0,"impasse","img"
"A57EU","lab-synch","img-impasse",2,1,"impasse","img"
"A57EU","lab-synch","img-impasse",3,2,"impasse","img"
"A57EU","lab-synch","img-impasse",4,3,"impasse","img"
"A57EU","lab-synch","img-impasse",5,3.5,"impasse","img"
"A57EU","lab-synch","img-impasse",6,4.5,"impasse","img"
"A57EU","lab-synch","img-impasse",7,5.5,"impasse","img"
"A57EU","lab-synch","img-impasse",8,6.5,"impasse","img"
"A57EU","lab-synch","img-impasse",9,7.5,"impasse","img"
"A57EU","lab-synch","img-impasse",10,8.5,"impasse","img"
"A57EU","lab-synch","img-impasse",11,9.5,"impasse","img"
"A57EU","lab-synch","img-impasse",12,10.5,"impasse","img"
"A57EU","lab-synch","img-impasse",13,11.5,"impasse","img"
"YF1HS","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",2,2,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",3,3,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",4,4,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",5,4.5,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",6,5.5,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",7,6.5,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",8,7.5,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",9,8,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",10,9,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",11,10,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",12,11,"impasse","ixv"
"YF1HS","lab-synch","ixv-impasse",13,12,"impasse","ixv"
"HKSU4","lab-synch","none-impasse",1,1,"impasse","none"
"HKSU4","lab-synch","none-impasse",2,1.5,"impasse","none"
"HKSU4","lab-synch","none-impasse",3,1.5,"impasse","none"
"HKSU4","lab-synch","none-impasse",4,1,"impasse","none"
"HKSU4","lab-synch","none-impasse",5,0,"impasse","none"
"HKSU4","lab-synch","none-impasse",6,1,"impasse","none"
"HKSU4","lab-synch","none-impasse",7,0,"impasse","none"
"HKSU4","lab-synch","none-impasse",8,-0.5,"impasse","none"
"HKSU4","lab-synch","none-impasse",9,0.5,"impasse","none"
"HKSU4","lab-synch","none-impasse",10,-0.5,"impasse","none"
"HKSU4","lab-synch","none-impasse",11,-1.5,"impasse","none"
"HKSU4","lab-synch","none-impasse",12,-2,"impasse","none"
"HKSU4","lab-synch","none-impasse",13,-3,"impasse","none"
"HUGFJ","lab-synch","img-control",1,-1,"none","img"
"HUGFJ","lab-synch","img-control",2,-1,"none","img"
"HUGFJ","lab-synch","img-control",3,-0.5,"none","img"
"HUGFJ","lab-synch","img-control",4,0.5,"none","img"
"HUGFJ","lab-synch","img-control",5,1.5,"none","img"
"HUGFJ","lab-synch","img-control",6,1,"none","img"
"HUGFJ","lab-synch","img-control",7,0.5,"none","img"
"HUGFJ","lab-synch","img-control",8,1.5,"none","img"
"HUGFJ","lab-synch","img-control",9,0.5,"none","img"
"HUGFJ","lab-synch","img-control",10,-0.5,"none","img"
"HUGFJ","lab-synch","img-control",11,0.5,"none","img"
"HUGFJ","lab-synch","img-control",12,1.5,"none","img"
"HUGFJ","lab-synch","img-control",13,2.5,"none","img"
"F66QO","lab-synch","ixv-control",1,1,"none","ixv"
"F66QO","lab-synch","ixv-control",2,2,"none","ixv"
"F66QO","lab-synch","ixv-control",3,3,"none","ixv"
"F66QO","lab-synch","ixv-control",4,3.5,"none","ixv"
"F66QO","lab-synch","ixv-control",5,4.5,"none","ixv"
"F66QO","lab-synch","ixv-control",6,3.5,"none","ixv"
"F66QO","lab-synch","ixv-control",7,2.5,"none","ixv"
"F66QO","lab-synch","ixv-control",8,3.5,"none","ixv"
"F66QO","lab-synch","ixv-control",9,4.5,"none","ixv"
"F66QO","lab-synch","ixv-control",10,5.5,"none","ixv"
"F66QO","lab-synch","ixv-control",11,6.5,"none","ixv"
"F66QO","lab-synch","ixv-control",12,7.5,"none","ixv"
"F66QO","lab-synch","ixv-control",13,6.5,"none","ixv"
"RYVXA","lab-synch","img-impasse",1,1,"impasse","img"
"RYVXA","lab-synch","img-impasse",2,2,"impasse","img"
"RYVXA","lab-synch","img-impasse",3,3,"impasse","img"
"RYVXA","lab-synch","img-impasse",4,4,"impasse","img"
"RYVXA","lab-synch","img-impasse",5,5,"impasse","img"
"RYVXA","lab-synch","img-impasse",6,6,"impasse","img"
"RYVXA","lab-synch","img-impasse",7,7,"impasse","img"
"RYVXA","lab-synch","img-impasse",8,8,"impasse","img"
"RYVXA","lab-synch","img-impasse",9,9,"impasse","img"
"RYVXA","lab-synch","img-impasse",10,10,"impasse","img"
"RYVXA","lab-synch","img-impasse",11,11,"impasse","img"
"RYVXA","lab-synch","img-impasse",12,12,"impasse","img"
"RYVXA","lab-synch","img-impasse",13,13,"impasse","img"
"SMXP5","lab-synch","img-control",1,-1,"none","img"
"SMXP5","lab-synch","img-control",2,-2,"none","img"
"SMXP5","lab-synch","img-control",3,-1.5,"none","img"
"SMXP5","lab-synch","img-control",4,-0.5,"none","img"
"SMXP5","lab-synch","img-control",5,0.5,"none","img"
"SMXP5","lab-synch","img-control",6,-0.5,"none","img"
"SMXP5","lab-synch","img-control",7,0.5,"none","img"
"SMXP5","lab-synch","img-control",8,1.5,"none","img"
"SMXP5","lab-synch","img-control",9,2.5,"none","img"
"SMXP5","lab-synch","img-control",10,3.5,"none","img"
"SMXP5","lab-synch","img-control",11,4.5,"none","img"
"SMXP5","lab-synch","img-control",12,5.5,"none","img"
"SMXP5","lab-synch","img-control",13,6.5,"none","img"
"4K1DG","lab-synch","img-control",1,-1,"none","img"
"4K1DG","lab-synch","img-control",2,-1,"none","img"
"4K1DG","lab-synch","img-control",3,-1.5,"none","img"
"4K1DG","lab-synch","img-control",4,-2,"none","img"
"4K1DG","lab-synch","img-control",5,-2.5,"none","img"
"4K1DG","lab-synch","img-control",6,-3.5,"none","img"
"4K1DG","lab-synch","img-control",7,-3,"none","img"
"4K1DG","lab-synch","img-control",8,-2,"none","img"
"4K1DG","lab-synch","img-control",9,-3,"none","img"
"4K1DG","lab-synch","img-control",10,-2,"none","img"
"4K1DG","lab-synch","img-control",11,-1,"none","img"
"4K1DG","lab-synch","img-control",12,0,"none","img"
"4K1DG","lab-synch","img-control",13,1,"none","img"
"5FETT","lab-synch","ixv-control",1,0.5,"none","ixv"
"5FETT","lab-synch","ixv-control",2,0.5,"none","ixv"
"5FETT","lab-synch","ixv-control",3,1.5,"none","ixv"
"5FETT","lab-synch","ixv-control",4,2.5,"none","ixv"
"5FETT","lab-synch","ixv-control",5,3.5,"none","ixv"
"5FETT","lab-synch","ixv-control",6,4.5,"none","ixv"
"5FETT","lab-synch","ixv-control",7,5.5,"none","ixv"
"5FETT","lab-synch","ixv-control",8,6.5,"none","ixv"
"5FETT","lab-synch","ixv-control",9,7.5,"none","ixv"
"5FETT","lab-synch","ixv-control",10,8.5,"none","ixv"
"5FETT","lab-synch","ixv-control",11,9.5,"none","ixv"
"5FETT","lab-synch","ixv-control",12,10.5,"none","ixv"
"5FETT","lab-synch","ixv-control",13,11.5,"none","ixv"
"7EAJ1","lab-synch","img-impasse",1,1,"impasse","img"
"7EAJ1","lab-synch","img-impasse",2,2,"impasse","img"
"7EAJ1","lab-synch","img-impasse",3,3,"impasse","img"
"7EAJ1","lab-synch","img-impasse",4,4,"impasse","img"
"7EAJ1","lab-synch","img-impasse",5,5,"impasse","img"
"7EAJ1","lab-synch","img-impasse",6,6,"impasse","img"
"7EAJ1","lab-synch","img-impasse",7,7,"impasse","img"
"7EAJ1","lab-synch","img-impasse",8,8,"impasse","img"
"7EAJ1","lab-synch","img-impasse",9,9,"impasse","img"
"7EAJ1","lab-synch","img-impasse",10,10,"impasse","img"
"7EAJ1","lab-synch","img-impasse",11,11,"impasse","img"
"7EAJ1","lab-synch","img-impasse",12,12,"impasse","img"
"7EAJ1","lab-synch","img-impasse",13,13,"impasse","img"
"FUV6R","lab-synch","none-impasse",1,-1,"impasse","none"
"FUV6R","lab-synch","none-impasse",2,-0.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",3,0.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",4,1.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",5,2.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",6,1.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",7,0.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",8,1.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",9,2.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",10,3.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",11,4.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",12,5.5,"impasse","none"
"FUV6R","lab-synch","none-impasse",13,6.5,"impasse","none"
"D2B1E","lab-synch","ixv-control",1,1,"none","ixv"
"D2B1E","lab-synch","ixv-control",2,2,"none","ixv"
"D2B1E","lab-synch","ixv-control",3,3,"none","ixv"
"D2B1E","lab-synch","ixv-control",4,4,"none","ixv"
"D2B1E","lab-synch","ixv-control",5,5,"none","ixv"
"D2B1E","lab-synch","ixv-control",6,6,"none","ixv"
"D2B1E","lab-synch","ixv-control",7,7,"none","ixv"
"D2B1E","lab-synch","ixv-control",8,8,"none","ixv"
"D2B1E","lab-synch","ixv-control",9,9,"none","ixv"
"D2B1E","lab-synch","ixv-control",10,10,"none","ixv"
"D2B1E","lab-synch","ixv-control",11,11,"none","ixv"
"D2B1E","lab-synch","ixv-control",12,12,"none","ixv"
"D2B1E","lab-synch","ixv-control",13,13,"none","ixv"
"987KZ","lab-synch","img-impasse",1,1,"impasse","img"
"987KZ","lab-synch","img-impasse",2,2,"impasse","img"
"987KZ","lab-synch","img-impasse",3,3,"impasse","img"
"987KZ","lab-synch","img-impasse",4,4,"impasse","img"
"987KZ","lab-synch","img-impasse",5,5,"impasse","img"
"987KZ","lab-synch","img-impasse",6,6,"impasse","img"
"987KZ","lab-synch","img-impasse",7,7,"impasse","img"
"987KZ","lab-synch","img-impasse",8,8,"impasse","img"
"987KZ","lab-synch","img-impasse",9,9,"impasse","img"
"987KZ","lab-synch","img-impasse",10,10,"impasse","img"
"987KZ","lab-synch","img-impasse",11,11,"impasse","img"
"987KZ","lab-synch","img-impasse",12,12,"impasse","img"
"987KZ","lab-synch","img-impasse",13,13,"impasse","img"
"4GSTQ","lab-synch","none-control",1,-1,"none","none"
"4GSTQ","lab-synch","none-control",2,-2,"none","none"
"4GSTQ","lab-synch","none-control",3,-3,"none","none"
"4GSTQ","lab-synch","none-control",4,-4,"none","none"
"4GSTQ","lab-synch","none-control",5,-5,"none","none"
"4GSTQ","lab-synch","none-control",6,-6,"none","none"
"4GSTQ","lab-synch","none-control",7,-7,"none","none"
"4GSTQ","lab-synch","none-control",8,-8,"none","none"
"4GSTQ","lab-synch","none-control",9,-9,"none","none"
"4GSTQ","lab-synch","none-control",10,-10,"none","none"
"4GSTQ","lab-synch","none-control",11,-11,"none","none"
"4GSTQ","lab-synch","none-control",12,-12,"none","none"
"4GSTQ","lab-synch","none-control",13,-13,"none","none"
"P1BZ9","lab-synch","img-control",1,-1,"none","img"
"P1BZ9","lab-synch","img-control",2,-2,"none","img"
"P1BZ9","lab-synch","img-control",3,-1.5,"none","img"
"P1BZ9","lab-synch","img-control",4,-2,"none","img"
"P1BZ9","lab-synch","img-control",5,-1,"none","img"
"P1BZ9","lab-synch","img-control",6,-2,"none","img"
"P1BZ9","lab-synch","img-control",7,-2.5,"none","img"
"P1BZ9","lab-synch","img-control",8,-3,"none","img"
"P1BZ9","lab-synch","img-control",9,-4,"none","img"
"P1BZ9","lab-synch","img-control",10,-5,"none","img"
"P1BZ9","lab-synch","img-control",11,-5.5,"none","img"
"P1BZ9","lab-synch","img-control",12,-6,"none","img"
"P1BZ9","lab-synch","img-control",13,-6.5,"none","img"
"EN7PB","lab-synch","none-control",1,-1,"none","none"
"EN7PB","lab-synch","none-control",2,-2,"none","none"
"EN7PB","lab-synch","none-control",3,-2.5,"none","none"
"EN7PB","lab-synch","none-control",4,-3,"none","none"
"EN7PB","lab-synch","none-control",5,-3,"none","none"
"EN7PB","lab-synch","none-control",6,-4,"none","none"
"EN7PB","lab-synch","none-control",7,-4,"none","none"
"EN7PB","lab-synch","none-control",8,-5,"none","none"
"EN7PB","lab-synch","none-control",9,-6,"none","none"
"EN7PB","lab-synch","none-control",10,-7,"none","none"
"EN7PB","lab-synch","none-control",11,-8,"none","none"
"EN7PB","lab-synch","none-control",12,-9,"none","none"
"EN7PB","lab-synch","none-control",13,-10,"none","none"
"1EKS2","lab-synch","ixv-impasse",1,0,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",2,0,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",3,1,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",4,2,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",5,3,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",6,4,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",7,5,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",8,6,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",9,7,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",10,8,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",11,9,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",12,10,"impasse","ixv"
"1EKS2","lab-synch","ixv-impasse",13,11,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",2,2,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",3,3,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",4,4,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",5,5,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",6,6,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",7,7,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",8,8,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",9,9,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",10,10,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",11,11,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",12,12,"impasse","ixv"
"KAK9U","lab-synch","ixv-impasse",13,13,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",1,1,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",2,2,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",3,3,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",4,4,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",5,5,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",6,6,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",7,7,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",8,8,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",9,9,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",10,10,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",11,11,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",12,12,"impasse","ixv"
"QX48K","lab-synch","ixv-impasse",13,13,"impasse","ixv"
"SOGCE","lab-synch","img-impasse",1,1,"impasse","img"
"SOGCE","lab-synch","img-impasse",2,2,"impasse","img"
"SOGCE","lab-synch","img-impasse",3,3,"impasse","img"
"SOGCE","lab-synch","img-impasse",4,4,"impasse","img"
"SOGCE","lab-synch","img-impasse",5,5,"impasse","img"
"SOGCE","lab-synch","img-impasse",6,4,"impasse","img"
"SOGCE","lab-synch","img-impasse",7,5,"impasse","img"
"SOGCE","lab-synch","img-impasse",8,6,"impasse","img"
"SOGCE","lab-synch","img-impasse",9,7,"impasse","img"
"SOGCE","lab-synch","img-impasse",10,8,"impasse","img"
"SOGCE","lab-synch","img-impasse",11,9,"impasse","img"
"SOGCE","lab-synch","img-impasse",12,10,"impasse","img"
"SOGCE","lab-synch","img-impasse",13,11,"impasse","img"
"W2WL2","lab-synch","ixv-control",1,0.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",2,1,"none","ixv"
"W2WL2","lab-synch","ixv-control",3,0.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",4,1.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",5,2.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",6,1.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",7,0.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",8,1.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",9,0.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",10,-0.5,"none","ixv"
"W2WL2","lab-synch","ixv-control",11,-1,"none","ixv"
"W2WL2","lab-synch","ixv-control",12,0,"none","ixv"
"W2WL2","lab-synch","ixv-control",13,1,"none","ixv"
"KBQPW","lab-synch","none-impasse",1,0,"impasse","none"
"KBQPW","lab-synch","none-impasse",2,-0.5,"impasse","none"
"KBQPW","lab-synch","none-impasse",3,-1,"impasse","none"
"KBQPW","lab-synch","none-impasse",4,-1.5,"impasse","none"
